number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_feature_rate,params_lr,params_n_tree,params_tree_depth,state
0,0.31795555468627923,0.4104632240196784,2025-02-01 01:07:56.558406,2025-02-01 01:46:12.417169,0 days 00:38:15.858763,256,0.55,0.0001716320743080521,29,1,COMPLETE
1,0.31489918068890166,0.4119065643820269,2025-02-01 01:46:12.420218,2025-02-01 01:54:04.820127,0 days 00:07:52.399909,256,0.85,0.0008037634869908505,17,3,COMPLETE
2,0.20871879642463678,0.4572898704730486,2025-02-01 01:54:04.827003,2025-02-01 02:23:03.003494,0 days 00:28:58.176491,256,0.45000000000000007,0.00025956113076227097,17,4,COMPLETE
3,0.2994945695939573,0.41738727360358946,2025-02-01 02:23:03.006174,2025-02-01 04:06:00.185463,0 days 01:42:57.179289,128,0.15000000000000002,0.00020999126334513563,67,3,COMPLETE
4,0.28172296092048593,0.4217873007168619,2025-02-01 04:06:00.192746,2025-02-01 05:23:07.963007,0 days 01:17:07.770261,256,0.1,0.0007513740617477921,79,3,COMPLETE
5,0.2116414941345651,0.46699590009831005,2025-02-01 05:23:07.970197,2025-02-01 05:35:26.630972,0 days 00:12:18.660775,128,0.15000000000000002,0.0007777459668222854,11,4,COMPLETE
6,0.14352784016537246,0.5041831398354255,2025-02-01 05:35:26.636792,2025-02-01 06:34:02.931669,0 days 00:58:36.294877,128,0.25,0.0007055910292359783,63,5,COMPLETE
7,0.18820257210443284,0.47014649840306566,2025-02-01 06:34:02.939484,2025-02-01 08:47:31.880174,0 days 02:13:28.940690,128,0.2,0.00019853872404677517,75,5,COMPLETE
8,0.37257357743972586,0.3862366825803881,2025-02-01 08:47:31.887592,2025-02-01 10:32:23.720373,0 days 01:44:51.832781,256,0.35,0.0002817253118395797,75,2,COMPLETE
9,0.31585360626944153,0.4136877285853716,2025-02-01 10:32:23.727404,2025-02-01 11:40:58.446859,0 days 01:08:34.719455,256,0.1,0.0007056692734661958,53,1,COMPLETE
10,0.3171149814824059,0.4027218105426701,2025-02-01 11:40:58.452476,2025-02-01 13:59:31.553922,0 days 02:18:33.101446,256,0.45000000000000007,0.00010037257761651647,88,2,COMPLETE
11,0.32602765078489754,0.4012786527218988,2025-02-01 13:59:31.561458,2025-02-01 16:29:41.535134,0 days 02:30:09.973676,256,0.45000000000000007,0.00010304077757746394,98,2,COMPLETE
12,0.385772399152101,0.3783174163964419,2025-02-01 16:29:41.542670,2025-02-01 17:28:50.507638,0 days 00:59:08.964968,256,0.65,0.00042142534020612825,96,2,COMPLETE
13,0.38551352013060963,0.37881765089498176,2025-02-01 17:28:50.514153,2025-02-01 18:16:08.050611,0 days 00:47:17.536458,256,0.85,0.00047254792907656327,95,2,COMPLETE
14,0.39680042066999144,0.3751828933308824,2025-02-01 18:16:08.057018,2025-02-01 19:12:23.080512,0 days 00:56:15.023494,256,0.7000000000000001,0.0004517295853684512,100,2,COMPLETE
15,0.37190316119428457,0.394519789579176,2025-02-01 19:12:23.087081,2025-02-01 19:38:37.909838,0 days 00:26:14.822757,128,0.7000000000000001,0.000429952097330015,40,1,COMPLETE
16,0.2628097672890138,0.4292356117042628,2025-02-01 19:38:37.915771,2025-02-01 21:08:29.213679,0 days 01:29:51.297908,256,0.7000000000000001,0.00040507002750562635,100,4,COMPLETE
17,0.3855746483556907,0.3773073913477646,2025-02-01 21:08:29.219399,2025-02-01 21:32:42.596479,0 days 00:24:13.377080,256,0.95,0.0009920553679181,85,2,COMPLETE
18,0.3740486358308458,0.39426102230343835,2025-02-01 21:32:42.602962,2025-02-01 22:09:21.119810,0 days 00:36:38.516848,128,0.9,0.0005466654777210086,84,1,COMPLETE
19,0.3833946054444881,0.38436506920850555,2025-02-01 22:09:21.127026,2025-02-01 23:01:01.609644,0 days 00:51:40.482618,256,0.95,0.0003282105218799509,88,3,COMPLETE
20,0.3845723562628957,0.38216543217895754,2025-02-01 23:01:01.615203,2025-02-01 23:21:29.776495,0 days 00:20:28.161292,256,0.6,0.0009932863197300026,54,2,COMPLETE
21,0.3896617672235964,0.3771864205395562,2025-02-01 23:21:29.784577,2025-02-02 00:09:12.759171,0 days 00:47:42.974594,256,0.7000000000000001,0.0005626145803047009,92,2,COMPLETE
22,0.38180150963193354,0.38755121723007335,2025-02-02 00:09:12.765412,2025-02-02 00:59:32.307783,0 days 00:50:19.542371,256,0.75,0.0005691971409201837,90,3,COMPLETE
23,0.38116648617655063,0.38581740898220673,2025-02-02 00:59:32.314727,2025-02-02 01:20:41.800502,0 days 00:21:09.485775,128,0.8,0.0003403862199098075,39,2,COMPLETE
24,0.36438263769580714,0.39657470062627764,2025-02-02 01:20:41.807843,2025-02-02 02:27:47.152420,0 days 01:07:05.344577,256,0.55,0.0005665828844002977,80,1,COMPLETE
25,0.34439294286119554,0.39237449351188664,2025-02-02 02:27:47.159786,2025-02-02 03:01:48.496266,0 days 00:34:01.336480,256,0.65,0.0003463173746145024,67,3,COMPLETE
26,0.2659933113169316,0.4229520767240798,2025-02-02 03:01:48.503262,2025-02-02 03:52:18.177753,0 days 00:50:29.674491,128,0.75,0.0004762527924182821,100,4,COMPLETE
27,0.3903802097285186,0.3787646872713816,2025-02-02 03:52:18.184758,2025-02-02 04:55:30.497254,0 days 01:03:12.312496,256,0.6,0.0003862479941175824,91,2,COMPLETE
28,0.35703192443222437,0.39872543691911166,2025-02-02 04:55:30.504186,2025-02-02 06:29:41.874936,0 days 01:34:11.370750,256,0.35,0.0005961728711227415,91,1,COMPLETE
29,0.3152382527809996,0.41142998010609916,2025-02-02 06:29:41.881599,2025-02-02 07:08:31.943405,0 days 00:38:50.061806,256,0.55,0.00014501328006001637,31,1,COMPLETE
30,0.17128441101399944,0.47827381178830886,2025-02-02 07:08:31.946421,2025-02-02 08:20:01.512903,0 days 01:11:29.566482,128,0.6,0.0002648028359438785,60,5,COMPLETE
31,0.31552929907359395,0.40896284316154097,2025-02-02 08:20:01.520765,2025-02-02 08:28:31.139966,0 days 00:08:29.619201,256,0.35,0.00038623013816147515,5,2,COMPLETE
32,0.3950229405991971,0.3780423268633713,2025-02-02 08:28:31.142347,2025-02-02 09:28:47.048260,0 days 01:00:15.905913,256,0.95,0.0002923752295557234,93,2,COMPLETE
33,0.39705242174153144,0.38029177521926444,2025-02-02 09:28:47.055403,2025-02-02 10:33:16.159339,0 days 01:04:29.103936,256,0.85,0.0002901603360230974,94,3,COMPLETE
34,0.3839087037291053,0.38458154602787514,2025-02-02 10:33:16.166409,2025-02-02 11:43:56.076011,0 days 01:10:39.909602,256,0.85,0.0003022398096112031,94,3,COMPLETE
35,0.3390605221963357,0.40172050008106625,2025-02-02 11:43:56.083224,2025-02-02 12:05:31.703549,0 days 00:21:35.620325,256,0.8,0.0002532968031581073,26,3,COMPLETE
36,0.27761068038786,0.4203523732156049,2025-02-02 12:05:31.711024,2025-02-02 13:05:09.535603,0 days 00:59:37.824579,128,0.5,0.0004920716011570016,81,4,COMPLETE
37,0.4023271730326702,0.37397358601298814,2025-02-02 13:05:09.543166,2025-02-02 13:44:31.863106,0 days 00:39:22.319940,256,0.7000000000000001,0.0006510557756244714,75,2,COMPLETE
38,0.01701322455428176,1.2725430517855105,2025-02-02 13:44:31.870528,2025-02-02 13:53:13.515669,0 days 00:08:41.645141,128,0.75,0.0008583951855231484,48,5,COMPLETE
39,0.3530916650600945,0.3905301613859658,2025-02-02 13:53:13.524441,2025-02-02 14:42:53.496702,0 days 00:49:39.972261,256,0.5,0.0006471387538029413,72,3,COMPLETE
40,0.26433550606284345,0.4249924855089805,2025-02-02 14:42:53.504093,2025-02-02 15:24:54.244089,0 days 00:42:00.739996,128,0.25,0.0008307328251725244,62,4,COMPLETE
41,0.36902728443861804,0.3954515656132483,2025-02-02 15:24:54.252035,2025-02-02 16:09:06.571444,0 days 00:44:12.319409,256,0.7000000000000001,0.0006512444422980588,70,1,COMPLETE
42,0.38835115776270007,0.38090442791189877,2025-02-02 16:09:06.579065,2025-02-02 16:28:12.984261,0 days 00:19:06.405196,256,0.65,0.0007496073664438347,45,2,COMPLETE
43,0.3655960946588597,0.39138083342708774,2025-02-02 16:28:12.992280,2025-02-02 16:55:49.639751,0 days 00:27:36.647471,256,0.8,0.0006732305188593893,57,3,COMPLETE
44,0.36551349865912164,0.3966236784169622,2025-02-02 16:55:49.648309,2025-02-02 17:17:51.726093,0 days 00:22:02.077784,256,0.7000000000000001,0.0005255541161894604,28,1,COMPLETE
45,0.06800049207664036,0.6083968582218391,2025-02-02 17:17:51.731032,2025-02-02 17:29:17.724649,0 days 00:11:25.993617,128,0.30000000000000004,0.0006311167934710955,15,5,COMPLETE
46,0.3654647727518595,0.3856390420653592,2025-02-02 17:29:17.727139,2025-02-02 19:07:15.802451,0 days 01:37:58.075312,256,0.15000000000000002,0.0007498379366647502,77,2,COMPLETE
47,0.23323112686368713,0.4604883575669497,2025-02-02 19:07:15.809694,2025-02-02 20:27:20.719520,0 days 01:20:04.909826,256,0.4,0.000233022643793195,66,4,COMPLETE
48,0.39385218517446774,0.3757568747840138,2025-02-02 20:27:20.725507,2025-02-02 21:35:51.648276,0 days 01:08:30.922769,128,0.65,0.00016553996063209525,73,2,COMPLETE
49,0.38498490417505044,0.37949555858723966,2025-02-02 21:35:51.652939,2025-02-02 22:18:16.141816,0 days 00:42:24.488877,128,0.9,0.00018660099378425124,71,2,COMPLETE
