number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lasso_weight,params_lr,params_n_layers,params_neurons,state
0,0.3719905074919478,0.3987182038693918,2025-01-07 20:13:35.835614,2025-01-07 20:14:17.165571,0 days 00:00:41.329957,128,0.35000000000000003,0.35132459079008205,0.0003834502380984207,2,400,COMPLETE
1,0.3411778325807509,0.41847724383457835,2025-01-07 20:14:17.174920,2025-01-07 20:14:56.931918,0 days 00:00:39.756998,64,0.4,0.12687667807012679,0.0005886849413941739,2,1600,COMPLETE
2,0.4685962507424538,0.36393472981205166,2025-01-07 20:14:56.935752,2025-01-07 20:16:21.476804,0 days 00:01:24.541052,128,0.0,0.0015606742329120405,0.000696228980950518,3,900,COMPLETE
3,0.3894067185276716,0.3965750122363683,2025-01-07 20:16:21.490623,2025-01-07 20:17:10.418869,0 days 00:00:48.928246,32,0.5,0.25226086556718474,0.0005451512514581048,1,1400,COMPLETE
4,0.44127507404331234,0.3762828741615765,2025-01-07 20:17:10.425529,2025-01-07 20:18:01.085866,0 days 00:00:50.660337,128,0.4,0.07761243268197862,0.0009632857990071106,1,800,COMPLETE
5,0.32330970023692884,0.4204246663994242,2025-01-07 20:18:01.091809,2025-01-07 20:19:27.845815,0 days 00:01:26.754006,16,0.4,0.25058744501198793,0.00010125849318881975,3,1300,COMPLETE
6,0.402338959103034,0.3907565272752734,2025-01-07 20:19:27.846670,2025-01-07 20:20:21.888857,0 days 00:00:54.042187,128,0.35000000000000003,0.3405881324359906,0.00032829485933328224,2,1800,COMPLETE
7,0.2094638368014489,0.5350189267962102,2025-01-07 20:20:21.889849,2025-01-07 20:20:55.518765,0 days 00:00:33.628916,128,0.5,0.11134323170654659,0.0008924394700266716,3,1200,COMPLETE
8,0.25955031751468793,0.6263113030977457,2025-01-07 20:20:55.519728,2025-01-07 20:22:08.148081,0 days 00:01:12.628353,16,0.5,0.08270163122108914,0.000775054782990844,3,800,COMPLETE
9,0.2718999364200815,0.7934587247186885,2025-01-07 20:22:08.148997,2025-01-07 20:23:35.901693,0 days 00:01:27.752696,16,0.45,0.16888142030408604,0.0009625105219803804,2,1900,COMPLETE
10,0.46681686979738257,0.3592485249180667,2025-01-07 20:23:35.902626,2025-01-07 20:26:14.891569,0 days 00:02:38.988943,32,0.0,0.014268153574616254,0.00021076979274676849,3,100,COMPLETE
11,0.4665124988492807,0.35599894082170674,2025-01-07 20:26:14.892350,2025-01-07 20:27:51.850896,0 days 00:01:36.958546,32,0.0,0.020308639937026186,0.00019400271104173203,3,100,COMPLETE
12,0.45805618798058656,0.363589834530593,2025-01-07 20:27:51.864898,2025-01-07 20:29:22.078960,0 days 00:01:30.214062,32,0.0,0.016498237387610942,0.0001996503251949135,3,100,COMPLETE
13,0.48593634377966166,0.35478902849491967,2025-01-07 20:29:22.092651,2025-01-07 20:31:41.446006,0 days 00:02:19.353355,32,0.15000000000000002,0.017693332818332103,0.0002072113327151702,3,500,COMPLETE
14,0.4779930682612732,0.35726599369934664,2025-01-07 20:31:41.458881,2025-01-07 20:33:42.365044,0 days 00:02:00.906163,32,0.15000000000000002,0.059852918612956905,0.0002149082045761451,3,500,COMPLETE
15,0.45712168506700923,0.3614403682516765,2025-01-07 20:33:42.365842,2025-01-07 20:35:10.942860,0 days 00:01:28.577018,64,0.15000000000000002,0.05913291336917692,0.00014793109616075372,1,500,COMPLETE
16,0.4666974591370122,0.36951410219240577,2025-01-07 20:35:10.943643,2025-01-07 20:37:09.037820,0 days 00:01:58.094177,32,0.15000000000000002,0.16010515257322888,0.0002652821857161233,2,500,COMPLETE
17,0.44974402144563524,0.3710680637205428,2025-01-07 20:37:09.038719,2025-01-07 20:38:28.168721,0 days 00:01:19.130002,32,0.2,0.05812597428175422,0.00038575489479087066,1,400,COMPLETE
18,0.45732991574311194,0.3719835444898398,2025-01-07 20:38:28.174824,2025-01-07 20:40:44.239410,0 days 00:02:16.064586,64,0.1,0.3909119797725548,0.0001436344925182102,2,1000,COMPLETE
19,0.41415198776986123,0.39058115064276766,2025-01-07 20:40:44.244926,2025-01-07 20:41:55.171614,0 days 00:01:10.926688,32,0.25,0.11272261133472648,0.00027162574235252705,3,700,COMPLETE
20,0.4937565434966963,0.35166022324777246,2025-01-07 20:41:55.172440,2025-01-07 20:43:58.349853,0 days 00:02:03.177413,32,0.1,0.046762084356713404,0.00042476919520749527,2,600,COMPLETE
21,0.4619589780054505,0.3689105371202973,2025-01-07 20:43:58.357736,2025-01-07 20:45:56.193212,0 days 00:01:57.835476,32,0.1,0.21641801039132594,0.0004549990970995301,1,600,COMPLETE
22,0.49287263973291606,0.3524237983891257,2025-01-07 20:45:56.194135,2025-01-07 20:48:05.229516,0 days 00:02:09.035381,32,0.1,0.044715869164261894,0.00048386284861516614,2,300,COMPLETE
23,0.4756183836759682,0.3569873425688629,2025-01-07 20:48:05.234098,2025-01-07 20:49:49.093042,0 days 00:01:43.858944,64,0.1,0.1706069820906487,0.0005070471658357994,2,1100,COMPLETE
24,0.45760327844510157,0.36327723185452065,2025-01-07 20:49:49.098077,2025-01-07 20:52:48.605084,0 days 00:02:59.507007,16,0.05,0.20295343047629666,0.00043538850343745035,2,1600,COMPLETE
25,0.4438296846256808,0.3750188989559927,2025-01-07 20:52:48.605942,2025-01-07 20:53:49.523361,0 days 00:01:00.917419,32,0.25,0.0357106532093036,0.0006542030713192308,2,300,COMPLETE
26,0.49493856681402326,0.34998816338928956,2025-01-07 20:53:49.526304,2025-01-07 20:56:29.654812,0 days 00:02:40.128508,32,0.05,0.0014021724927759799,0.0005606798826718495,2,300,COMPLETE
27,0.4899040329250492,0.3531310259278297,2025-01-07 20:56:29.659512,2025-01-07 20:58:50.519260,0 days 00:02:20.859748,32,0.05,0.0009701387213264228,0.0006097541397535386,2,300,COMPLETE
28,0.4525526587445892,0.3632707783422461,2025-01-07 20:58:50.528887,2025-01-07 21:00:03.428846,0 days 00:01:12.899959,64,0.05,0.038469466789462906,0.0006966149885115538,1,200,COMPLETE
29,0.4257631561411371,0.3957010306732984,2025-01-07 21:00:03.431241,2025-01-07 21:01:19.252124,0 days 00:01:15.820883,16,0.25,0.08686928260235131,0.00038473706192350513,2,300,COMPLETE
30,0.46792612052878085,0.35875527531016516,2025-01-07 21:01:19.255656,2025-01-07 21:02:27.924907,0 days 00:01:08.669251,128,0.2,0.03740902324358853,0.0005182617412218903,2,300,COMPLETE
31,0.4895982907715276,0.352985931839784,2025-01-07 21:02:27.930127,2025-01-07 21:04:41.668460,0 days 00:02:13.738333,32,0.05,0.0015003709993151207,0.0006280581053929053,2,700,COMPLETE
32,0.457424649441512,0.3644931724469872,2025-01-07 21:04:41.682119,2025-01-07 21:07:53.443934,0 days 00:03:11.761815,32,0.05,0.3304190409483701,0.0005750996473809923,2,2000,COMPLETE
33,0.4639759224466493,0.37347267477462054,2025-01-07 21:07:53.444846,2025-01-07 21:08:54.804760,0 days 00:01:01.359914,64,0.30000000000000004,0.0014803304790001405,0.0007410306151189391,2,300,COMPLETE
34,0.48148713813517074,0.35855207729757715,2025-01-07 21:08:54.805640,2025-01-07 21:10:53.611066,0 days 00:01:58.805426,32,0.1,0.04176545181234794,0.0008196295767859441,2,1500,COMPLETE
35,0.45792493390788025,0.3603740745555537,2025-01-07 21:10:53.616685,2025-01-07 21:12:17.046031,0 days 00:01:23.429346,128,0.05,0.2952820665188281,0.0006369777606239211,1,200,COMPLETE
36,0.42643549857104884,0.38069006352580237,2025-01-07 21:12:17.049657,2025-01-07 21:14:01.923146,0 days 00:01:44.873489,32,0.0,0.39395816876754813,0.0005750081608491949,1,400,COMPLETE
37,0.4759601868386625,0.3565627550867322,2025-01-07 21:14:01.929859,2025-01-07 21:15:14.750950,0 days 00:01:12.821091,128,0.1,0.13214169568188042,0.0004903771177741672,2,600,COMPLETE
38,0.324762153347694,0.45897743508582306,2025-01-07 21:15:14.760244,2025-01-07 21:16:25.808469,0 days 00:01:11.048225,16,0.35000000000000003,0.274629552146319,0.00042614030654317396,2,1700,COMPLETE
39,0.42984841358994164,0.3927996478169439,2025-01-07 21:16:25.814421,2025-01-07 21:17:38.328290,0 days 00:01:12.513869,32,0.2,0.22207127034243276,0.000335286555568935,2,900,COMPLETE
40,0.44173099418678474,0.36783158119194664,2025-01-07 21:17:38.333807,2025-01-07 21:18:34.394050,0 days 00:00:56.060243,128,0.05,0.07674631605666098,0.0008111515020818474,1,1300,COMPLETE
41,0.49594020275667894,0.345732323675578,2025-01-07 21:18:34.400264,2025-01-07 21:21:39.633407,0 days 00:03:05.233143,32,0.05,0.0027065948661006978,0.0006114351242829509,2,200,COMPLETE
