number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_n_layers,params_neurons,state
0,0.4573458010027669,0.37435566879178206,2024-12-11 19:17:29.032240,2024-12-11 19:18:31.646610,0 days 00:01:02.614370,16,0.30000000000000004,0.0002633700371835941,3,500,COMPLETE
1,0.44759467356434185,0.3706169476377233,2024-12-11 19:18:31.647331,2024-12-11 19:19:40.894120,0 days 00:01:09.246789,128,0.2,0.00012565098239559802,3,1900,COMPLETE
2,0.42000532318842143,0.37847297426431237,2024-12-11 19:19:40.894869,2024-12-11 19:20:19.162873,0 days 00:00:38.268004,128,0.1,0.0004951234621204492,1,100,COMPLETE
3,0.4510716947737679,0.3657816328734663,2024-12-11 19:20:19.168602,2024-12-11 19:21:53.066518,0 days 00:01:33.897916,128,0.15000000000000002,0.0001795114754364181,2,100,COMPLETE
4,0.3870881227803801,0.4054259536467969,2024-12-11 19:21:53.074954,2024-12-11 19:22:26.122328,0 days 00:00:33.047374,16,0.45,0.0004713664298157085,1,300,COMPLETE
5,0.4030867300619524,0.3967234379062895,2024-12-11 19:22:26.123059,2024-12-11 19:23:01.298434,0 days 00:00:35.175375,128,0.15000000000000002,0.0005938156423496549,1,1800,COMPLETE
6,0.4353005331282942,0.3786805535554362,2024-12-11 19:23:01.304877,2024-12-11 19:23:50.884560,0 days 00:00:49.579683,16,0.05,0.0005515639501444422,1,400,COMPLETE
7,0.38378523578376406,0.42973909326212,2024-12-11 19:23:50.890057,2024-12-11 19:24:26.651313,0 days 00:00:35.761256,32,0.35000000000000003,0.0005561830567303254,3,1100,COMPLETE
8,0.44910072373215976,0.3771684283624919,2024-12-11 19:24:26.651996,2024-12-11 19:25:16.042021,0 days 00:00:49.390025,16,0.15000000000000002,0.0005474123674362733,1,500,COMPLETE
9,0.44195885468681073,0.3955373199686908,2024-12-11 19:25:16.044440,2024-12-11 19:26:10.430091,0 days 00:00:54.385651,16,0.25,0.0003993852242996349,3,1000,COMPLETE
10,0.439990818334274,0.37521956088123043,2024-12-11 19:26:10.430943,2024-12-11 19:26:46.434603,0 days 00:00:36.003660,64,0.0,0.00021438953516097957,2,1000,COMPLETE
11,0.4576874445371658,0.3647342193007695,2024-12-11 19:26:46.444764,2024-12-11 19:27:49.899853,0 days 00:01:03.455089,128,0.30000000000000004,0.0002367216415534914,2,700,COMPLETE
12,0.3770067760154549,0.4173740572678589,2024-12-11 19:27:49.900558,2024-12-11 19:28:14.204531,0 days 00:00:24.303973,128,0.5,0.0008742450093173913,2,1400,COMPLETE
13,0.44538232239302006,0.3717076091983862,2024-12-11 19:28:14.214338,2024-12-11 19:28:58.603683,0 days 00:00:44.389345,32,0.4,0.00018709702334498854,2,800,COMPLETE
14,0.44420899398325303,0.37554611122111553,2024-12-11 19:28:58.608412,2024-12-11 19:29:43.630633,0 days 00:00:45.022221,64,0.30000000000000004,0.00031336878745403076,2,1400,COMPLETE
