number,values_0,values_1,datetime_start,datetime_complete,duration,params_BN,params_aggregation,params_batch_size,params_depth,params_dropout_bond,params_dropout_ffn,params_hidden_bond,params_hidden_ffn,params_init_lr,params_layer,params_warmup_epochs,state
0,0.3510305218264924,0.40203234553337097,2024-12-20 00:47:20.826413,2024-12-20 00:56:27.571877,0 days 00:09:06.745464,True,norm,32,5,0.35000000000000003,0.0,100,1300,0.0001473599540365631,1,9,COMPLETE
1,0.24575420215237942,0.4417476952075958,2024-12-20 00:56:27.574945,2024-12-20 01:07:17.585152,0 days 00:10:50.010207,False,norm,128,1,0.35000000000000003,0.5,300,1100,0.0006019805050747758,1,2,COMPLETE
2,0.23683863205252498,0.4446296691894531,2024-12-20 01:07:17.593577,2024-12-20 01:15:20.499134,0 days 00:08:02.905557,True,sum,64,2,0.05,0.15000000000000002,900,400,0.00031460076804621615,5,8,COMPLETE
3,0.359737876314725,0.3755016326904297,2024-12-20 01:15:20.551374,2024-12-20 01:24:07.550629,0 days 00:08:46.999255,True,norm,64,4,0.45,0.1,300,700,0.0003932277765141166,2,7,COMPLETE
4,0.4071320835079691,0.40813615918159485,2024-12-20 01:24:07.559434,2024-12-20 01:35:11.980208,0 days 00:11:04.420774,False,mean,32,4,0.25,0.5,700,1100,0.00028790988211953696,1,3,COMPLETE
5,0.3141819625189947,0.41702428460121155,2024-12-20 01:35:11.983268,2024-12-20 01:46:58.150954,0 days 00:11:46.167686,False,sum,64,3,0.25,0.35000000000000003,200,100,0.0009737940983867228,4,2,COMPLETE
6,0.354927551113909,0.39839085936546326,2024-12-20 01:46:58.154206,2024-12-20 01:56:58.020721,0 days 00:09:59.866515,True,sum,32,3,0.15000000000000002,0.5,100,1600,0.00032918851131067827,1,5,COMPLETE
7,0.38148401443587926,0.43501532077789307,2024-12-20 01:56:58.022953,2024-12-20 02:05:23.611403,0 days 00:08:25.588450,False,norm,64,4,0.35000000000000003,0.2,400,1000,0.0004624094282255391,1,4,COMPLETE
8,0.32432090296247096,0.4066678285598755,2024-12-20 02:05:23.614719,2024-12-20 02:13:11.001984,0 days 00:07:47.387265,True,sum,64,3,0.30000000000000004,0.35000000000000003,200,1700,0.00014213297591955714,1,4,COMPLETE
9,0.17568710542233662,0.5026934742927551,2024-12-20 02:13:11.005531,2024-12-20 02:20:35.945047,0 days 00:07:24.939516,True,mean,128,3,0.45,0.2,800,600,0.0002031910684034785,4,9,COMPLETE
10,,,2024-12-20 02:20:36.026102,2024-12-20 02:30:20.911129,0 days 00:09:44.885027,False,mean,16,5,0.0,0.35000000000000003,600,2000,0.0002272749607673652,3,6,FAIL
11,,,2024-12-20 02:30:20.962636,2024-12-20 02:43:09.572292,0 days 00:12:48.609656,False,mean,16,5,0.0,0.35000000000000003,600,2000,0.00010753301096560183,3,6,FAIL
12,,,2024-12-20 02:43:09.642652,2024-12-20 02:52:17.182421,0 days 00:09:07.539769,False,mean,16,5,0.0,0.35000000000000003,600,1400,0.00010857307786209266,3,6,FAIL
13,,,2024-12-20 02:52:17.187137,2024-12-20 03:01:08.895174,0 days 00:08:51.708037,False,mean,16,5,0.0,0.35000000000000003,600,2000,0.00010327353478605177,3,6,FAIL
14,,,2024-12-20 03:01:08.954698,2024-12-20 03:11:03.930562,0 days 00:09:54.975864,False,mean,16,5,0.0,0.35000000000000003,600,2000,0.00010296779173809618,3,6,FAIL
15,,,2024-12-20 03:11:03.993356,2024-12-20 03:19:52.200288,0 days 00:08:48.206932,False,mean,16,5,0.0,0.35000000000000003,600,1400,0.00022439958900288517,3,6,FAIL
16,,,2024-12-20 03:19:52.240245,2024-12-20 03:31:17.347036,0 days 00:11:25.106791,False,mean,16,5,0.0,0.35000000000000003,600,2000,0.00010284844493729868,3,6,FAIL
17,,,2024-12-20 03:31:17.405370,2024-12-20 03:40:50.952965,0 days 00:09:33.547595,False,mean,16,5,0.0,0.35000000000000003,600,2000,0.0002284071882429193,3,6,FAIL
18,,,2024-12-20 03:40:50.956617,2024-12-20 03:50:34.119560,0 days 00:09:43.162943,False,mean,16,5,0.0,0.35000000000000003,600,2000,0.00010368924024898821,3,6,FAIL
19,,,2024-12-20 03:50:34.189449,2024-12-20 04:03:55.784384,0 days 00:13:21.594935,False,mean,16,5,0.15000000000000002,0.35000000000000003,600,2000,0.0002122497625817573,3,6,FAIL
20,,,2024-12-20 04:03:55.841040,2024-12-20 04:17:38.724437,0 days 00:13:42.883397,False,mean,16,5,0.0,0.35000000000000003,600,1900,0.0002247316847126776,3,6,FAIL
