number,values_0,values_1,datetime_start,datetime_complete,duration,params_average_before_softmax,params_n_estimators,params_softmax_temperature,state
0,0.45494072950542674,0.34306766981326786,2025-01-15 08:19:29.427554,2025-01-15 08:35:12.173501,0 days 00:15:42.745947,False,25,0.770897423446025,COMPLETE
1,0.4607195093082751,0.3521283479030275,2025-01-15 08:35:12.174726,2025-01-15 09:31:30.384831,0 days 00:56:18.210105,True,83,0.9355410914497252,COMPLETE
2,0.38158620000728866,0.3864507638917501,2025-01-15 09:31:30.385799,2025-01-15 10:06:15.298418,0 days 00:34:44.912619,False,52,0.4013539575351902,COMPLETE
3,0.3424899205841022,0.4170652471849956,2025-01-15 10:06:15.299747,2025-01-15 10:17:00.238222,0 days 00:10:44.938475,False,15,0.30109264955212506,COMPLETE
4,0.45868665344814447,0.3535612628903707,2025-01-15 10:17:00.239424,2025-01-15 10:25:29.230260,0 days 00:08:28.990836,True,13,0.9416422936554592,COMPLETE
5,0.45347314406081385,0.34187844252598865,2025-01-15 10:25:29.231410,2025-01-15 11:17:22.347106,0 days 00:51:53.115696,False,78,0.735748950472389,COMPLETE
6,0.4577363595752207,0.36040081892336884,2025-01-15 11:17:22.348593,2025-01-15 11:29:25.248076,0 days 00:12:02.899483,False,17,0.965663842666526,COMPLETE
7,0.41093793802106593,0.36586621006223674,2025-01-15 11:29:25.249297,2025-01-15 12:27:45.996107,0 days 00:58:20.746810,False,87,0.4901342244401128,COMPLETE
8,0.4404718257807927,0.3472959496321549,2025-01-15 12:27:45.997543,2025-01-15 12:56:20.692779,0 days 00:28:34.695236,True,41,0.663597061010301,COMPLETE
9,0.45559240078711616,0.34296365664422873,2025-01-15 12:56:20.694145,2025-01-15 13:55:03.697586,0 days 00:58:43.003441,True,87,0.7890945712668171,COMPLETE
10,0.21220171007577218,0.508079318577151,2025-01-15 13:55:03.699036,2025-01-15 14:38:45.376459,0 days 00:43:41.677423,True,65,0.09752567576079557,COMPLETE
11,0.4576603864842845,0.34551787501828024,2025-01-15 14:38:45.377812,2025-01-15 15:44:42.885243,0 days 01:05:57.507431,True,99,0.8455048585436815,COMPLETE
12,0.43163889925812676,0.3521745435885406,2025-01-15 15:44:42.886469,2025-01-15 16:33:11.571978,0 days 00:48:28.685509,True,75,0.6137498511927597,COMPLETE
13,0.4583877871877964,0.3464992875817455,2025-01-15 16:33:11.573448,2025-01-15 17:33:17.536420,0 days 01:00:05.962972,True,93,0.8636338227333813,COMPLETE
14,0.4608492110031269,0.3583538929651904,2025-01-15 17:33:17.537892,2025-01-15 18:12:56.087106,0 days 00:39:38.549214,True,60,0.9991798924304724,COMPLETE
15,0.4355890392691018,0.34978114828415363,2025-01-15 18:12:56.088564,2025-01-15 19:05:17.061847,0 days 00:52:20.973283,True,79,0.6305894617657299,COMPLETE
16,0.45539767287797234,0.34473509312650885,2025-01-15 19:05:17.063334,2025-01-15 19:26:14.196732,0 days 00:20:57.133398,True,32,0.8153543212729915,COMPLETE
17,0.44927957570156274,0.3435842011807903,2025-01-15 19:26:14.198008,2025-01-15 20:11:11.583074,0 days 00:44:57.385066,True,66,0.7213873062781364,COMPLETE
18,0.46038863079138415,0.3483716601683471,2025-01-15 20:11:11.584680,2025-01-15 21:08:35.142266,0 days 00:57:23.557586,True,86,0.8927574448331852,COMPLETE
19,0.4591056205402738,0.3475683546638565,2025-01-15 21:08:35.143840,2025-01-15 22:13:33.838935,0 days 01:04:58.695095,True,97,0.879212749360883,COMPLETE
20,0.45640665068610853,0.34343368657138706,2025-01-15 22:13:33.840446,2025-01-15 22:46:54.455637,0 days 00:33:20.615191,True,49,0.8024007483597217,COMPLETE
21,0.4188731235095168,0.3519662999796126,2025-01-15 22:46:54.457304,2025-01-15 22:47:15.506655,0 days 00:00:21.049351,False,1,0.724441282087627,COMPLETE
22,0.46007169035374995,0.35252044987383313,2025-01-15 22:47:15.507501,2025-01-15 23:37:57.053615,0 days 00:50:41.546114,False,74,0.9022198818671103,COMPLETE
23,0.45394563468806925,0.34266936521962205,2025-01-15 23:37:57.055179,2025-01-16 00:12:46.727172,0 days 00:34:49.671993,False,51,0.7571644105990472,COMPLETE
24,0.429092454375433,0.35309558874230057,2025-01-16 00:12:46.728596,2025-01-16 00:58:53.817502,0 days 00:46:07.088906,False,70,0.5636346217038927,COMPLETE
