number,values_0,values_1,datetime_start,datetime_complete,duration,params_amount_heads,params_attn_dropout,params_batch_size,params_dropout,params_encoder_output_dim,params_ff_dropout,params_head_dim,params_layer_norm,params_lr,params_n_layers,params_neurons,params_transformer_depth,state
0,0.41319823265075684,0.372100830078125,2025-01-19 15:03:47.507326,2025-01-19 15:30:46.739607,0 days 00:26:59.232281,2,0.45,128,0.25,273,0.30000000000000004,103,0,0.0004298244070774018,1,1600,5,COMPLETE
1,0.38544145226478577,0.38922733068466187,2025-01-19 15:30:46.740331,2025-01-19 15:41:11.997114,0 days 00:10:25.256783,5,0.15000000000000002,16,0.15000000000000002,238,0.1,48,0,0.00044852344703552214,3,900,3,COMPLETE
2,-0.00016400814638473094,0.5374122858047485,2025-01-19 15:41:11.997940,2025-01-19 15:43:42.925397,0 days 00:02:30.927457,3,0.1,32,0.45,191,0.2,44,1,0.0023322092684081603,2,1800,3,COMPLETE
3,0.010395574383437634,0.5357515215873718,2025-01-19 15:43:42.926254,2025-01-19 15:53:09.978172,0 days 00:09:27.051918,5,0.2,16,0.25,269,0.0,105,1,0.0014065469919119404,1,1400,4,COMPLETE
4,0.3698039650917053,0.38462868332862854,2025-01-19 15:53:09.979183,2025-01-19 16:03:47.382462,0 days 00:10:37.403279,2,0.30000000000000004,16,0.4,248,0.0,114,0,0.0017817748422750868,1,700,4,COMPLETE
5,0.4181177616119385,0.3657364845275879,2025-01-19 16:03:47.383451,2025-01-19 16:15:42.609377,0 days 00:11:55.225926,5,0.2,32,0.35000000000000003,158,0.2,65,1,0.00012811822782540674,2,1300,3,COMPLETE
6,-0.000465822231490165,0.5376409292221069,2025-01-19 16:15:42.610474,2025-01-19 16:18:51.130593,0 days 00:03:08.520119,5,0.05,16,0.1,173,0.4,48,1,0.0036945968376715208,2,1200,2,COMPLETE
7,0.41965317726135254,0.37119218707084656,2025-01-19 16:18:51.131405,2025-01-19 16:34:49.100331,0 days 00:15:57.968926,3,0.2,64,0.30000000000000004,172,0.35000000000000003,58,0,0.0011356937518640611,1,100,5,COMPLETE
8,0.4200304448604584,0.36223384737968445,2025-01-19 16:34:49.101128,2025-01-19 16:45:57.468432,0 days 00:11:08.367304,2,0.05,32,0.35000000000000003,139,0.45,70,0,0.00014932847877708322,3,1900,5,COMPLETE
9,0.4476292133331299,0.35159868001937866,2025-01-19 16:45:57.469594,2025-01-19 16:53:43.125267,0 days 00:07:45.655673,2,0.1,32,0.5,153,0.30000000000000004,123,0,0.0003725394910450448,1,1100,2,COMPLETE
10,0.3867131769657135,0.37977200746536255,2025-01-19 16:53:43.126101,2025-01-19 17:00:08.098804,0 days 00:06:24.972703,4,0.35000000000000003,64,0.5,130,0.5,88,0,0.005426323517159853,1,500,2,COMPLETE
11,0.42471393942832947,0.36306822299957275,2025-01-19 17:00:08.099694,2025-01-19 17:08:08.078794,0 days 00:07:59.979100,2,0.0,32,0.5,213,0.5,126,0,0.00043831978720536443,3,200,2,COMPLETE
12,0.013535392470657825,0.5345147848129272,2025-01-19 17:08:08.079630,2025-01-19 17:12:46.543988,0 days 00:04:38.464358,3,0.45,32,0.05,209,0.25,127,0,0.007357800909710745,2,800,2,COMPLETE
13,0.39518147706985474,0.3755587935447693,2025-01-19 17:12:46.545035,2025-01-19 17:26:01.722443,0 days 00:13:15.177408,2,0.0,128,0.5,297,0.1,83,0,0.0005622754672474905,2,300,2,COMPLETE
14,0.4447254240512848,0.3510945439338684,2025-01-19 17:26:01.723260,2025-01-19 17:38:34.709209,0 days 00:12:32.985949,4,0.35000000000000003,32,0.0,215,0.35000000000000003,127,0,0.00020490541495254522,3,1100,2,COMPLETE
15,0.3951660990715027,0.3816359043121338,2025-01-19 17:38:34.710192,2025-01-19 17:49:42.424147,0 days 00:11:07.713955,4,0.35000000000000003,32,0.0,192,0.35000000000000003,97,1,0.00021439924288194206,1,1100,3,COMPLETE
16,0.4094540476799011,0.3769039511680603,2025-01-19 17:49:42.425304,2025-01-19 17:57:17.668142,0 days 00:07:35.242838,4,0.1,32,0.2,154,0.25,115,0,0.000251693919027755,2,1500,2,COMPLETE
17,0.39195775985717773,0.3835030496120453,2025-01-19 17:57:17.668944,2025-01-19 18:13:01.360439,0 days 00:15:43.691495,3,0.5,128,0.4,239,0.35000000000000003,32,0,0.0008383992376018909,3,1000,4,COMPLETE
18,0.3879217505455017,0.3752826750278473,2025-01-19 18:13:01.361313,2025-01-19 18:26:48.620861,0 days 00:13:47.259548,4,0.30000000000000004,64,0.15000000000000002,199,0.15000000000000002,92,1,0.0001067975137054326,1,500,3,COMPLETE
