number,values_0,values_1,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.28648060397107056,0.42644056277920817,2024-12-11 12:27:45.323046,2024-12-11 12:27:59.596927,0 days 00:00:14.273881,0.6494150261190401,2.3837800112718743,0.8323770923301818,72,14,632,1.869565649031123,0.285435900049407,0.6893787649168501,COMPLETE
1,0.39897059054612505,0.38761032850038035,2024-12-11 12:27:59.597598,2024-12-11 12:28:11.412286,0 days 00:00:11.814688,0.6721674437567815,2.5406999439759974,0.09980870578971791,4,14,468,1.1028398740711198,0.866088384490826,0.5251785913851028,COMPLETE
2,0.31470795097444343,0.4073586332582382,2024-12-11 12:28:11.412934,2024-12-11 12:28:37.672687,0 days 00:00:26.259753,0.9081043205118527,1.5122182143816447,0.6491004002670592,14,3,1179,1.5056909894435924,1.0316381821180438,0.9740281470929255,COMPLETE
3,0.2974979819150284,0.418678382093802,2024-12-11 12:28:37.673434,2024-12-11 12:29:14.861055,0 days 00:00:37.187621,0.8719927712205282,1.6700287292646452,0.7567548169422371,63,43,1760,2.6238106860617183,1.7327168099773127,0.7732512403009013,COMPLETE
4,0.3356751959488752,0.4085554211170826,2024-12-11 12:29:14.861691,2024-12-11 12:29:30.115078,0 days 00:00:15.253387,0.6076894948819567,0.12892525298984403,0.4259603191578817,49,47,464,1.1418237701678542,1.8970267546746102,0.701024222163634,COMPLETE
5,0.27307355212067685,0.4406957115896798,2024-12-11 12:29:30.115757,2024-12-11 12:29:50.909711,0 days 00:00:20.793954,0.5693900603884976,2.8016213284551172,0.8239754015799556,2,33,1004,1.4951592640583602,2.1684357543655772,0.5612866089456715,COMPLETE
6,0.3811299153924225,0.3899565006673983,2024-12-11 12:29:50.910342,2024-12-11 12:29:56.214578,0 days 00:00:05.304236,0.7588218826250464,1.9027462052014599,0.24421272723220305,12,29,142,2.463335496215717,0.48487417623783785,0.7851295582371448,COMPLETE
7,0.4231255301602824,0.372894668498832,2024-12-11 12:29:56.215237,2024-12-11 12:30:34.186276,0 days 00:00:37.971039,0.9683872641534776,1.1654652462975177,0.08195438323195314,44,41,1533,0.090581784130758,0.35977439932034827,0.5950194140035043,COMPLETE
8,0.19133681616519288,0.5199173545090237,2024-12-11 12:30:34.186928,2024-12-11 12:30:49.651939,0 days 00:00:15.465011,0.6045964928326064,0.048524884267337365,0.8667396556036776,59,17,522,1.0849519951265525,0.22865266973640247,0.7276705518791937,COMPLETE
9,0.417368827495941,0.37689719568233804,2024-12-11 12:30:49.652641,2024-12-11 12:31:15.614535,0 days 00:00:25.961894,0.5988705729489341,1.3902785116347396,0.08915977446689549,48,22,1115,1.1828350717444538,2.684518153522482,0.6564385017323597,COMPLETE
10,0.44043221219906137,0.36731147534407127,2024-12-11 12:31:15.615180,2024-12-11 12:32:36.868213,0 days 00:01:21.253033,0.9789038792198559,0.9218467789818001,0.013686362596147153,28,38,1971,0.038018218191996134,1.170418704028783,0.5204826250287047,COMPLETE
11,0.44127997391552665,0.3675847070882267,2024-12-11 12:32:36.868883,2024-12-11 12:33:39.287253,0 days 00:01:02.418370,0.980797589827934,0.9647026762592678,0.02725449776841756,28,38,1992,0.05388248123601437,1.212327032249808,0.5038525628662323,COMPLETE
12,0.3440295404905835,0.40566722759737006,2024-12-11 12:33:39.287964,2024-12-11 12:34:23.913895,0 days 00:00:44.625931,0.9912365459529642,0.7905829838018534,0.31915868743567705,30,35,1998,0.02625044864706942,1.2921190353581578,0.507641352408079,COMPLETE
13,0.4462885897255841,0.3674348792606309,2024-12-11 12:34:23.914561,2024-12-11 12:35:50.487196,0 days 00:01:26.572635,0.847157752998227,0.834586979093164,0.010874976932587911,28,38,1992,0.4838557526734475,1.3461370049071713,0.6006594637718756,COMPLETE
14,0.37921176083148844,0.3854295498278848,2024-12-11 12:35:50.487935,2024-12-11 12:36:24.026074,0 days 00:00:33.538139,0.5054280657608221,0.6163673423090251,0.22178696603519607,29,26,1537,0.7174159094446952,1.5179859301262129,0.6238198470816432,COMPLETE
15,0.1395545219987456,0.6355498482019108,2024-12-11 12:36:24.026828,2024-12-11 12:37:01.885058,0 days 00:00:37.858230,0.7929092540057918,0.47276479037099417,0.9585058430782836,20,49,1681,0.5988590948173661,0.7779070038057639,0.6200548674395866,COMPLETE
16,0.4299406713927483,0.37860811950087525,2024-12-11 12:37:01.885725,2024-12-11 12:37:57.188186,0 days 00:00:55.302461,0.8266612459627373,1.0884685547674455,0.010375776132810753,36,31,1316,2.933694329967179,2.9174752769225583,0.8272592653819361,COMPLETE
17,0.2398715546398719,0.4634895380410737,2024-12-11 12:37:57.188863,2024-12-11 12:38:36.207981,0 days 00:00:39.019118,0.7419181921993399,0.4271800153972192,0.5520025582375736,39,3,1803,0.524854265830551,0.04248486214947489,0.5859906803976724,COMPLETE
18,0.4048662933694234,0.37897370662015395,2024-12-11 12:38:36.208674,2024-12-11 12:39:08.678159,0 days 00:00:32.469485,0.9006061517559024,0.8002405192354782,0.1849419359379968,19,42,1416,0.546669571673544,1.436078475598556,0.6602898421015806,COMPLETE
19,0.35133009479883126,0.3932122494117308,2024-12-11 12:39:08.678833,2024-12-11 12:39:25.657429,0 days 00:00:16.978596,0.724245904934441,2.0968228031881697,0.3613541432199275,56,23,781,1.9141229969179427,0.6826015559140391,0.5568673696292256,COMPLETE
20,0.40184892168465475,0.377644706040972,2024-12-11 12:39:25.658104,2024-12-11 12:40:05.143937,0 days 00:00:39.485833,0.8336174336797754,1.3092968915306218,0.15719548645636439,24,37,1839,0.43697187183356556,1.1642018194367614,0.5571980717440194,COMPLETE
21,0.42015173970439906,0.3831736954748779,2024-12-11 12:40:05.144599,2024-12-11 12:43:05.229926,0 days 00:03:00.085327,0.9268341568362086,0.9815001507121623,0.0018903281096050994,33,38,1980,0.2514460921406987,1.0436527023536017,0.5086057157101285,COMPLETE
22,0.3809496451379129,0.3850512082481847,2024-12-11 12:43:05.230685,2024-12-11 12:43:39.705005,0 days 00:00:34.474320,0.86186018495293,0.9039727876164967,0.2949418570249,27,43,1650,0.8367112317639436,2.193419381706903,0.8359222513078586,COMPLETE
23,0.43701710488526374,0.37325409697778034,2024-12-11 12:43:39.705675,2024-12-11 12:45:32.738195,0 days 00:01:53.032520,0.7987343000036784,1.1646768424549487,0.004573268173023486,11,47,1981,0.21205386653268454,1.47042055163968,0.6406947544179818,COMPLETE
24,0.3196155183944461,0.4052227560106402,2024-12-11 12:45:32.738910,2024-12-11 12:45:38.650535,0 days 00:00:05.911625,0.9452600705187311,1.6059185108085985,0.4801594519250884,41,29,165,0.3477126563211407,0.6122475491943985,0.7233638949166029,COMPLETE
25,0.39945044463054835,0.3771691262170964,2024-12-11 12:45:38.651221,2024-12-11 12:46:22.444792,0 days 00:00:43.793571,0.9832288204212543,0.325579143682308,0.15739402535029723,21,9,1854,0.8245833974259454,0.9134661938336899,0.6738494930354202,COMPLETE
26,0.33308978696203617,0.4124818060050548,2024-12-11 12:46:22.445472,2024-12-11 12:46:57.235794,0 days 00:00:34.790322,0.8780631371833076,0.6149725116193259,0.36596660719569885,75,38,1569,0.04416142951678714,1.2158686770890959,0.6063147752579171,COMPLETE
27,0.33906613470068203,0.40272462142941734,2024-12-11 12:46:57.236480,2024-12-11 12:47:23.443304,0 days 00:00:26.206824,0.9383201257529039,0.24050889192928893,0.2546665134865439,35,35,915,0.3866297315516827,1.7177290903712623,0.5404987911974578,COMPLETE
28,0.4236034850063314,0.3721777190963743,2024-12-11 12:47:23.444013,2024-12-11 12:47:57.685626,0 days 00:00:34.241613,0.7110142701682653,0.6769650710395534,0.0944781907515331,7,26,1434,0.7981140949657947,0.5906681076331244,0.6332119441099942,COMPLETE
29,0.2765116546395995,0.4445133959792583,2024-12-11 12:47:57.686386,2024-12-11 12:48:35.630356,0 days 00:00:37.943970,0.683896760060557,0.9807769710926608,0.5608893188344936,68,16,1861,0.27393689450926995,1.2469363954508144,0.584470129330338,COMPLETE
30,0.3893657878153153,0.38972802076235863,2024-12-11 12:48:35.631034,2024-12-11 12:48:44.117329,0 days 00:00:08.486295,0.7717021995077469,2.2838303650063443,0.17332687691808124,16,45,305,1.9038046745012653,0.8971131538560247,0.6838463432195983,COMPLETE
31,0.4259702067394473,0.37659120587846906,2024-12-11 12:48:44.118014,2024-12-11 12:49:42.234010,0 days 00:00:58.115996,0.7998164637288077,1.2874688989608893,0.015819966315042365,25,38,1992,2.1293138549663486,1.4104388623057829,0.6526710461007144,COMPLETE
32,0.3900623258823032,0.3937320332537613,2024-12-11 12:49:42.234690,2024-12-11 12:50:18.545232,0 days 00:00:36.310542,0.8408323503296977,2.9128495740649716,0.054441143735654174,8,50,1705,1.5196532798249507,1.564301067948407,0.5349954213327519,COMPLETE
33,0.4077270767750357,0.38397251090825096,2024-12-11 12:50:18.545885,2024-12-11 12:50:58.712713,0 days 00:00:40.166828,0.7909098615105069,1.1490161562887211,0.13973820792962544,32,9,1892,0.9893579898791018,1.051844394043045,0.9711172904312924,COMPLETE
34,0.38942294359341245,0.39363507612482296,2024-12-11 12:50:58.713379,2024-12-11 12:51:16.810255,0 days 00:00:18.096876,0.9032340791038811,2.6997930388475946,0.04726885572151291,51,41,691,1.3131682202825172,0.7961835866637027,0.5046681879786602,COMPLETE
35,0.317665727591783,0.4146589494753897,2024-12-11 12:51:16.810948,2024-12-11 12:51:42.786562,0 days 00:00:25.975614,0.6807783189231578,2.4920907010753526,0.6495262678221632,43,32,1286,0.9466763231211189,1.9146007691551858,0.641944125991376,COMPLETE
36,0.4101502725145094,0.3784311105899961,2024-12-11 12:51:42.787300,2024-12-11 12:52:20.516908,0 days 00:00:37.729608,0.9559168017685135,1.7709682306744123,0.11378564598274332,11,46,1739,0.6707841158708557,1.3346079381443063,0.5801736575427052,COMPLETE
37,0.4217428721616934,0.37758724027461266,2024-12-11 12:52:20.517665,2024-12-11 12:53:01.918894,0 days 00:00:41.401229,0.6395597007170082,1.4762882909425863,0.06805964006021664,16,35,1917,1.6644485860211091,1.0774396844247427,0.6066827166309489,COMPLETE
38,0.3829667201093273,0.38813090813300277,2024-12-11 12:53:01.919592,2024-12-11 12:53:34.947643,0 days 00:00:33.028051,0.8849080491809467,2.972704586211737,0.19642302164018888,69,29,1619,1.236627459664223,1.5768254106131283,0.5662618532229274,COMPLETE
39,0.40828883552276485,0.3816059535120345,2024-12-11 12:53:34.948341,2024-12-11 12:54:13.834379,0 days 00:00:38.886038,0.923082235018824,1.897719299521523,0.11539362743329443,23,1,1779,0.23016989075918626,0.9923920841401389,0.6921610635322232,COMPLETE
40,0.19519894498971957,0.5085916779678913,2024-12-11 12:54:13.835059,2024-12-11 12:54:38.896960,0 days 00:00:25.061901,0.8500591592840144,0.0476446604039924,0.7382653898672986,46,20,919,1.3256651227423417,0.3830770771702129,0.6171291764817521,COMPLETE
41,0.42475638016644135,0.3717210321322586,2024-12-11 12:54:38.897658,2024-12-11 12:55:12.923696,0 days 00:00:34.026038,0.7053429012539061,0.6694856981708369,0.08894976515068581,5,11,1412,0.7602833956411041,0.5075909960032985,0.5363014731287625,COMPLETE
42,0.1015440401606292,0.7737586950611692,2024-12-11 12:55:12.924433,2024-12-11 12:55:29.201022,0 days 00:00:16.276589,0.9967241742676798,0.18424548380283357,0.9840227490213871,27,11,364,0.4431681842644646,1.1781003165405304,0.5288514402177573,COMPLETE
43,0.4334753959827144,0.37216728688150746,2024-12-11 12:55:29.201783,2024-12-11 12:56:15.915991,0 days 00:00:46.714208,0.958476272687396,1.25611759838594,0.048297058251371865,38,40,1926,0.15094417978522406,1.388287747288905,0.7105732115917085,COMPLETE
44,0.3837497595282844,0.38507915335184223,2024-12-11 12:56:15.916724,2024-12-11 12:56:52.346091,0 days 00:00:36.429367,0.8172248696853524,1.4920946898963598,0.25541457003871554,54,46,1764,0.6642245476533908,0.16594095191902758,0.6389917445051247,COMPLETE
45,0.32562339103815663,0.4268024792261106,2024-12-11 12:56:52.346758,2024-12-11 12:57:22.552601,0 days 00:00:30.205843,0.8614465220559471,0.790140620001943,0.0037010855583302863,1,33,1445,0.9997875575543189,0.448922874390264,0.5960679134540555,COMPLETE
46,0.41560597739985006,0.3747570173187723,2024-12-11 12:57:22.553365,2024-12-11 12:58:05.495176,0 days 00:00:42.941811,0.7465715946523828,1.0626006261714012,0.12559727964289302,64,44,2000,0.5051826649863125,0.010036967307394562,0.6748804333288894,COMPLETE
47,0.23262658877134434,0.4788833786655757,2024-12-11 12:58:05.495891,2024-12-11 12:58:30.968127,0 days 00:00:25.472236,0.770747623177349,0.5155404376327498,0.8963907814438719,30,48,1152,2.4620975758903665,2.468852842412352,0.7319847691169347,COMPLETE
48,0.40019043374558266,0.3775800223795005,2024-12-11 12:58:30.968795,2024-12-11 12:58:46.373260,0 days 00:00:15.404465,0.8168822513661151,0.8659594326082808,0.22015077301700506,33,27,589,0.598260778352822,2.9592407900798823,0.7604616159872318,COMPLETE
