number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_feature_rate,params_lr,params_n_tree,params_tree_depth,state
0,0.4835544130384748,0.3754454963328448,2025-01-31 07:25:31.788360,2025-01-31 07:48:17.451954,0 days 00:22:45.663594,256,0.85,0.0002125925587144074,34,1,COMPLETE
1,0.214048695460796,0.49482037264546347,2025-01-31 07:48:17.454873,2025-01-31 08:05:31.026015,0 days 00:17:13.571142,128,0.30000000000000004,0.00013216308130731077,14,5,COMPLETE
2,0.4842400889637231,0.37364355287300877,2025-01-31 08:05:31.030118,2025-01-31 08:34:14.304411,0 days 00:28:43.274293,256,0.30000000000000004,0.000869045533398199,87,3,COMPLETE
3,0.34116956870935544,0.4151951150954659,2025-01-31 08:34:14.310571,2025-01-31 09:00:36.828500,0 days 00:26:22.517929,128,0.65,0.00022576142805893457,50,5,COMPLETE
4,0.37428078675657284,0.4162051673262499,2025-01-31 09:00:36.834486,2025-01-31 09:07:37.544420,0 days 00:07:00.709934,128,0.65,0.0001363961768549758,11,3,COMPLETE
5,0.4109669083138968,0.39955198868858555,2025-01-31 09:07:37.546411,2025-01-31 10:06:25.880096,0 days 00:58:48.333685,256,0.35,0.00020599571169396312,92,4,COMPLETE
6,0.23742357301579703,0.465416075815911,2025-01-31 10:06:25.883894,2025-01-31 10:54:52.979997,0 days 00:48:27.096103,256,0.1,0.0006557603074553555,99,5,COMPLETE
7,0.49359110003242374,0.3709975111274419,2025-01-31 10:54:52.984813,2025-01-31 11:56:08.690780,0 days 01:01:15.705967,256,0.7000000000000001,0.00030076369793676123,87,1,COMPLETE
8,0.5009726906862816,0.3649967710228913,2025-01-31 11:56:08.694311,2025-01-31 12:25:37.469871,0 days 00:29:28.775560,128,0.85,0.0002650157976899041,99,3,COMPLETE
9,0.24817234771951271,0.4772849678681624,2025-01-31 12:25:37.473178,2025-01-31 12:32:24.105540,0 days 00:06:46.632362,128,0.75,0.000331479816234525,12,5,COMPLETE
10,0.5208764414914608,0.36254857714570216,2025-01-31 12:32:24.108808,2025-01-31 12:47:21.536084,0 days 00:14:57.427276,128,0.95,0.00047627551626638464,68,2,COMPLETE
11,0.525894800352223,0.3585295561412834,2025-01-31 12:47:21.538728,2025-01-31 13:04:22.740866,0 days 00:17:01.202138,128,0.95,0.0004851384689153367,69,2,COMPLETE
12,0.5277148761353403,0.35764757500709293,2025-01-31 13:04:22.742242,2025-01-31 13:20:58.715915,0 days 00:16:35.973673,128,0.95,0.0004832801115740822,65,2,COMPLETE
13,0.528911741153902,0.35779049446791567,2025-01-31 13:20:58.719103,2025-01-31 13:36:34.044675,0 days 00:15:35.325572,128,0.95,0.0004706730546908285,67,2,COMPLETE
14,0.516003509665951,0.36239061177439347,2025-01-31 13:36:34.046017,2025-01-31 13:57:42.662086,0 days 00:21:08.616069,128,0.55,0.0004349651331181711,65,2,COMPLETE
15,0.5049755048934418,0.3640071509270839,2025-01-31 13:57:42.665725,2025-01-31 14:06:18.508526,0 days 00:08:35.842801,128,0.85,0.0009710538669017386,47,2,COMPLETE
16,0.4964154124789989,0.36932907805015774,2025-01-31 14:06:18.511120,2025-01-31 14:15:01.828645,0 days 00:08:43.317525,128,0.95,0.0006391134558450378,32,1,COMPLETE
17,0.43192186648421266,0.38851355656455244,2025-01-31 14:15:01.831574,2025-01-31 14:41:46.257347,0 days 00:26:44.425773,128,0.5,0.00040376337247749445,75,4,COMPLETE
18,0.4032471460704407,0.4046044469903526,2025-01-31 14:41:46.261668,2025-01-31 15:10:14.657465,0 days 00:28:28.395797,128,0.8,0.00010038857515315797,58,4,COMPLETE
19,0.5189390210278677,0.36016306479537147,2025-01-31 15:10:14.664169,2025-01-31 15:41:58.560069,0 days 00:31:43.895900,256,0.5,0.0005811227430817264,78,2,COMPLETE
20,0.4866724698259812,0.369268173337017,2025-01-31 15:41:58.563954,2025-01-31 15:48:52.260870,0 days 00:06:53.696916,128,0.9,0.0008316596389413746,36,3,COMPLETE
21,0.5226401292109968,0.3601669931045803,2025-01-31 15:48:52.266391,2025-01-31 16:00:23.250196,0 days 00:11:30.983805,128,0.95,0.0004988718290010422,60,2,COMPLETE
22,0.4637253033844823,0.3884155762388585,2025-01-31 16:00:23.254231,2025-01-31 17:13:31.273974,0 days 01:13:08.019743,128,0.1,0.00036667430901182616,72,1,COMPLETE
23,0.5166066184737829,0.3601425788813642,2025-01-31 17:13:31.279279,2025-01-31 17:25:21.004301,0 days 00:11:49.725022,128,0.75,0.0005513780894980164,43,2,COMPLETE
24,0.532735129744385,0.35722956545831985,2025-01-31 17:25:21.008973,2025-01-31 17:46:37.167461,0 days 00:21:16.158488,256,0.9,0.00041315522769654067,57,2,COMPLETE
25,0.46652922501328675,0.38495284715081635,2025-01-31 17:46:37.172114,2025-01-31 18:12:23.834030,0 days 00:25:46.661916,256,0.2,0.000382878193184922,23,1,COMPLETE
26,0.4737485249157891,0.37339905927277084,2025-01-31 18:12:23.836919,2025-01-31 18:29:50.491758,0 days 00:17:26.654839,256,0.4,0.0007166331912024441,55,3,COMPLETE
27,0.40883396404052796,0.400029271031711,2025-01-31 18:29:50.496238,2025-01-31 18:51:33.158463,0 days 00:21:42.662225,256,0.6,0.0003227047987984719,41,4,COMPLETE
28,0.519722376448844,0.3593962980039433,2025-01-31 18:51:33.163749,2025-01-31 19:28:12.324097,0 days 00:36:39.160348,256,0.4,0.0004272709345980209,61,2,COMPLETE
29,0.47753270154031763,0.3799289298303908,2025-01-31 19:28:12.327514,2025-01-31 19:55:46.349272,0 days 00:27:34.021758,256,0.2,0.0005421833303895666,28,1,COMPLETE
30,0.37660019242653897,0.424830321425752,2025-01-31 19:55:46.351806,2025-01-31 20:00:59.471956,0 days 00:05:13.120150,256,0.55,0.0002772089695016249,5,3,COMPLETE
31,0.5091296708143306,0.36402090694976685,2025-01-31 20:00:59.473797,2025-01-31 20:25:01.664439,0 days 00:24:02.190642,256,0.45000000000000007,0.00045253607584945277,52,2,COMPLETE
32,0.4923990628934252,0.3712867631303345,2025-01-31 20:25:01.668202,2025-01-31 21:08:02.876916,0 days 00:43:01.208714,256,0.8,0.000360169572124104,81,1,COMPLETE
33,0.4629306369508527,0.37554393442381645,2025-01-31 21:08:02.882134,2025-01-31 21:46:42.979311,0 days 00:38:40.097177,256,0.25,0.000502201086393139,65,3,COMPLETE
34,0.510580836840445,0.36143935872721605,2025-01-31 21:46:42.983523,2025-01-31 22:02:00.585640,0 days 00:15:17.602117,256,0.65,0.0007302273915527665,46,2,COMPLETE
35,0.4776735273996254,0.3764766610324612,2025-01-31 22:02:00.590792,2025-01-31 22:25:36.669205,0 days 00:23:36.078413,256,0.7000000000000001,0.000193865126395318,22,1,COMPLETE
36,0.408478035665284,0.39989404512695603,2025-01-31 22:25:36.672231,2025-01-31 22:45:56.230210,0 days 00:20:19.557979,256,0.85,0.0002338798706842287,39,4,COMPLETE
37,0.32603122775314325,0.42264115643360745,2025-01-31 22:45:56.236989,2025-01-31 23:20:46.782433,0 days 00:34:50.545444,256,0.6,0.00040021272166302117,53,5,COMPLETE
38,0.49822342240265644,0.36948886919957435,2025-01-31 23:20:46.787932,2025-02-01 00:26:02.808455,0 days 01:05:16.020523,256,0.30000000000000004,0.00016817384304847178,49,2,COMPLETE
39,0.48068774774892525,0.3746632936052331,2025-02-01 00:26:02.813376,2025-02-01 00:54:48.968523,0 days 00:28:46.155147,256,0.75,0.00025830723013734597,70,3,COMPLETE
40,0.47969563663529974,0.3680095940519344,2025-02-01 00:54:48.972388,2025-02-01 01:28:02.308659,0 days 00:33:13.336271,256,0.7000000000000001,0.00033862272384748343,91,3,COMPLETE
41,0.5196360811769131,0.36020396619878126,2025-02-01 01:28:02.313714,2025-02-01 01:54:54.174402,0 days 00:26:51.860688,256,0.9,0.00030399496242582635,60,2,COMPLETE
42,0.44002961857064654,0.38641768819271954,2025-02-01 01:54:54.178753,2025-02-01 02:16:56.177475,0 days 00:22:01.998722,256,0.6,0.0005017406672478104,57,4,COMPLETE
43,0.517775724943207,0.36177009305272007,2025-02-01 02:16:56.182965,2025-02-01 02:31:55.130502,0 days 00:14:58.947537,256,0.95,0.00047220568683652305,63,2,COMPLETE
44,0.2875479687494332,0.447649652673028,2025-02-01 02:31:55.133954,2025-02-01 03:33:36.228909,0 days 01:01:41.094955,256,0.35,0.0002981766235661171,81,5,COMPLETE
45,0.45819002745619575,0.3888975062839329,2025-02-01 03:33:36.231617,2025-02-01 04:47:00.892731,0 days 01:13:24.661114,256,0.15000000000000002,0.00036854743466161816,69,1,COMPLETE
46,0.4783367647964104,0.3726529606806661,2025-02-01 04:47:00.896240,2025-02-01 04:57:23.115766,0 days 00:10:22.219526,128,0.9,0.00042984055436917043,44,3,COMPLETE
47,0.4795538301818896,0.37540832793449913,2025-02-01 04:57:23.121560,2025-02-01 05:13:34.616120,0 days 00:16:11.494560,256,0.8,0.0001469994593350958,17,2,COMPLETE
48,0.38905331834682105,0.41556041505266944,2025-02-01 05:13:34.619492,2025-02-01 05:49:54.405216,0 days 00:36:19.785724,128,0.45000000000000007,0.00010893554464235811,51,4,COMPLETE
49,0.4962862186447735,0.3694132044191548,2025-02-01 05:49:54.411967,2025-02-01 06:10:37.513177,0 days 00:20:43.101210,256,0.75,0.0009659916897271149,74,1,COMPLETE
