number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lasso_weight,params_lr,params_n_layers,params_neurons,state
0,0.519938134714918,0.3676489465900647,2025-01-07 23:02:35.016603,2025-01-07 23:03:32.074155,0 days 00:00:57.057552,128,0.35000000000000003,0.2476533522918783,0.0009179658868570533,3,1800,COMPLETE
1,0.5484437633044524,0.34302275429212775,2025-01-07 23:03:32.085858,2025-01-07 23:05:15.973478,0 days 00:01:43.887620,32,0.05,0.09364881189730828,0.0008006892668993229,2,1700,COMPLETE
2,0.5221214123591719,0.36859208751708017,2025-01-07 23:05:15.978909,2025-01-07 23:06:10.999359,0 days 00:00:55.020450,32,0.5,0.15500658250908292,0.00033125230206671824,1,1200,COMPLETE
3,0.5387659889668954,0.3542889245245351,2025-01-07 23:06:11.001259,2025-01-07 23:07:02.659843,0 days 00:00:51.658584,128,0.30000000000000004,0.034839211371109347,0.0006244851972711984,1,800,COMPLETE
4,0.543794116468064,0.3472183064806382,2025-01-07 23:07:02.662236,2025-01-07 23:08:19.618437,0 days 00:01:16.956201,64,0.1,0.0995217477143918,0.00030245666954116637,2,1400,COMPLETE
5,0.5153599443103242,0.372658750780975,2025-01-07 23:08:19.619577,2025-01-07 23:09:00.104621,0 days 00:00:40.485044,64,0.4,0.3195378513554901,0.0008186106601137624,1,500,COMPLETE
6,0.5383293473131603,0.35095095165156176,2025-01-07 23:09:00.105510,2025-01-07 23:10:36.785301,0 days 00:01:36.679791,32,0.2,0.2176162021711796,0.0003843383584187481,3,1600,COMPLETE
7,0.5349719468172113,0.35271743900474223,2025-01-07 23:10:36.786373,2025-01-07 23:11:50.619944,0 days 00:01:13.833571,128,0.2,0.397266902733997,0.00030231560657602595,2,1800,COMPLETE
8,0.5615398626073,0.3419616444878537,2025-01-07 23:11:50.628644,2025-01-07 23:13:09.704471,0 days 00:01:19.075827,32,0.2,0.030132467971713785,0.00042997037883126915,2,600,COMPLETE
9,0.5323518522099869,0.35750076203357006,2025-01-07 23:13:09.708022,2025-01-07 23:13:58.904428,0 days 00:00:49.196406,128,0.4,0.028789794525143277,0.0002004242534487565,1,1600,COMPLETE
10,0.517861920263892,0.3616035130621432,2025-01-07 23:13:58.908808,2025-01-07 23:15:11.077917,0 days 00:01:12.169109,16,0.0,0.0003890807402204266,0.00012318950612123157,2,100,COMPLETE
11,0.5572907683918854,0.33867296988504486,2025-01-07 23:15:11.081835,2025-01-07 23:16:45.760463,0 days 00:01:34.678628,32,0.1,0.10144948614778766,0.0005292063091806875,2,700,COMPLETE
12,0.5654246275923075,0.3396666269108704,2025-01-07 23:16:45.764698,2025-01-07 23:18:04.930353,0 days 00:01:19.165655,32,0.15000000000000002,0.10462386512304395,0.0005072103780952099,3,700,COMPLETE
13,0.5506440980159572,0.3444571324504063,2025-01-07 23:18:04.935895,2025-01-07 23:20:06.524788,0 days 00:02:01.588893,16,0.1,0.15114763091472433,0.0005508992422508092,3,900,COMPLETE
14,0.5684829265189144,0.33453592389354736,2025-01-07 23:20:06.525737,2025-01-07 23:21:33.006982,0 days 00:01:26.481245,32,0.15000000000000002,0.08803750646475224,0.0005497975369307773,3,300,COMPLETE
15,0.5418807628090365,0.3426162145612661,2025-01-07 23:21:33.017318,2025-01-07 23:23:58.267757,0 days 00:02:25.250439,32,0.25,0.17113240409191544,0.0006539228857278935,3,100,COMPLETE
16,0.5662328765422381,0.3361717018007838,2025-01-07 23:23:58.277892,2025-01-07 23:25:24.672792,0 days 00:01:26.394900,64,0.15000000000000002,0.2704073274613553,0.0009582846470907335,3,400,COMPLETE
17,0.548021269540755,0.34324201501047763,2025-01-07 23:25:24.673740,2025-01-07 23:26:58.635923,0 days 00:01:33.962183,64,0.0,0.23562100847303052,0.00023912138308419662,3,400,COMPLETE
18,0.3907137849881266,0.44414725683529543,2025-01-07 23:26:58.636865,2025-01-07 23:27:52.066595,0 days 00:00:53.429730,16,0.30000000000000004,0.27825770651586496,0.0009858767734834163,3,300,COMPLETE
19,0.4613009240241346,0.40922657090890474,2025-01-07 23:27:52.070572,2025-01-07 23:28:41.133708,0 days 00:00:49.063136,32,0.5,0.1880120050388991,0.0007154329572547531,3,1100,COMPLETE
20,0.546848802887678,0.3538231767688718,2025-01-07 23:28:41.134484,2025-01-07 23:29:44.877025,0 days 00:01:03.742541,64,0.15000000000000002,0.06651289265148566,0.0004645004200094641,2,2000,COMPLETE
21,0.5667127912916381,0.3339870316054662,2025-01-07 23:29:44.886440,2025-01-07 23:31:02.895801,0 days 00:01:18.009361,32,0.15000000000000002,0.1265848856802788,0.0005094227415238597,3,300,COMPLETE
22,0.5683828382152047,0.3354591014909278,2025-01-07 23:31:02.896760,2025-01-07 23:32:12.537552,0 days 00:01:09.640792,32,0.15000000000000002,0.12668699081796628,0.0006667375803511645,3,300,COMPLETE
23,0.5734996246474007,0.32752210037209667,2025-01-07 23:32:12.542663,2025-01-07 23:33:49.098389,0 days 00:01:36.555726,32,0.05,0.1407755295672581,0.0006336011168865431,3,200,COMPLETE
24,0.546406747582241,0.343041038580973,2025-01-07 23:33:49.099054,2025-01-07 23:42:02.834070,0 days 00:08:13.735016,16,0.05,0.18458705873075312,0.0001015596740262901,3,100,COMPLETE
25,0.5724843205439003,0.33388367562534393,2025-01-07 23:42:02.834833,2025-01-07 23:43:21.546074,0 days 00:01:18.711241,32,0.05,0.14350977803043946,0.0005746792705104683,3,300,COMPLETE
26,0.559324813806532,0.3357651944528148,2025-01-07 23:43:21.557071,2025-01-07 23:45:18.375299,0 days 00:01:56.818228,32,0.05,0.2027369558926709,0.000762120101232593,3,200,COMPLETE
27,0.5523258183113777,0.3447230552394914,2025-01-07 23:45:18.376204,2025-01-07 23:46:28.665338,0 days 00:01:10.289134,32,0.0,0.1364345851597347,0.0006012559016820325,2,500,COMPLETE
28,0.5376884891929624,0.3451846563123503,2025-01-07 23:46:28.669836,2025-01-07 23:49:03.078733,0 days 00:02:34.408897,16,0.05,0.17690412373845746,0.0004435689865339694,3,1300,COMPLETE
29,0.5483332002656912,0.3435656440217173,2025-01-07 23:49:03.085968,2025-01-07 23:49:52.901290,0 days 00:00:49.815322,128,0.0,0.21844035058993136,0.0008367180930543342,3,500,COMPLETE
30,0.543817862899856,0.3541132715665419,2025-01-07 23:49:52.911925,2025-01-07 23:50:39.264055,0 days 00:00:46.352130,128,0.45,0.0722979250624395,0.000584419403027772,1,1000,COMPLETE
31,0.5681807163233948,0.33295436619461133,2025-01-07 23:50:39.269257,2025-01-07 23:52:13.237221,0 days 00:01:33.967964,32,0.1,0.12564266537014612,0.0007003389557322957,3,300,COMPLETE
32,0.5629131071381024,0.3360893908296477,2025-01-07 23:52:13.238111,2025-01-07 23:53:49.294445,0 days 00:01:36.056334,32,0.05,0.16011993962165444,0.0006844460614900612,3,200,COMPLETE
33,0.5712057722331734,0.3286594903449439,2025-01-07 23:53:49.300477,2025-01-07 23:55:18.456595,0 days 00:01:29.156118,32,0.1,0.12688502157957704,0.0008676249947932917,3,200,COMPLETE
34,0.5706833261442791,0.3374150099173186,2025-01-07 23:55:18.460832,2025-01-07 23:56:25.254730,0 days 00:01:06.793898,32,0.1,0.1371282361939001,0.0008252786834854947,2,200,COMPLETE
35,0.5323779483224832,0.3569032515684184,2025-01-07 23:56:25.262027,2025-01-07 23:57:01.889893,0 days 00:00:36.627866,128,0.05,0.15244351652567495,0.0008803222691331719,1,600,COMPLETE
36,0.5470105613618859,0.35748516765169686,2025-01-07 23:57:01.893230,2025-01-07 23:57:48.902842,0 days 00:00:47.009612,64,0.35000000000000003,0.11952305715163228,0.0007423224970414574,1,400,COMPLETE
37,0.5477864519311427,0.348573035394088,2025-01-07 23:57:48.907206,2025-01-07 23:58:46.057979,0 days 00:00:57.150773,32,0.1,0.06105035379744833,0.00036952586546533785,2,1400,COMPLETE
38,0.5059009954123206,0.38686853747935823,2025-01-07 23:58:46.062122,2025-01-07 23:59:34.370153,0 days 00:00:48.308031,32,0.45,0.20024893249233588,0.0006225886409095499,2,800,COMPLETE
39,0.40019551933263,0.4292189939030428,2025-01-07 23:59:34.378076,2025-01-08 00:00:27.363851,0 days 00:00:52.985775,16,0.25,0.35140251303313824,0.0009905888816401003,2,2000,COMPLETE
40,0.5349143684690352,0.35601162504150813,2025-01-08 00:00:27.375379,2025-01-08 00:01:23.313260,0 days 00:00:55.937881,64,0.0,0.2449426465696118,0.0007335696983883876,1,100,COMPLETE
41,0.5605455845118873,0.34314288992334957,2025-01-08 00:01:23.318454,2025-01-08 00:02:29.046421,0 days 00:01:05.727967,32,0.1,0.14591203370259764,0.000836118102982811,2,200,COMPLETE
42,0.5534106361341565,0.3452071849129538,2025-01-08 00:02:29.049636,2025-01-08 00:04:34.675699,0 days 00:02:05.626063,32,0.05,0.16497626518657152,0.00016416433384402814,2,200,COMPLETE
43,0.5308158238898188,0.35971444691311005,2025-01-08 00:04:34.684719,2025-01-08 00:05:20.296336,0 days 00:00:45.611617,128,0.1,0.11620309162203213,0.00033150621011735865,1,1700,COMPLETE
44,0.564183605970948,0.33804239182739326,2025-01-08 00:05:20.302765,2025-01-08 00:06:38.823426,0 days 00:01:18.520661,32,0.2,0.13165549497196752,0.0002529984639623979,2,500,COMPLETE
45,0.5050831080645966,0.3713635975743088,2025-01-08 00:06:38.829556,2025-01-08 00:07:26.730925,0 days 00:00:47.901369,32,0.30000000000000004,0.3838561119531299,0.00041010551961020547,1,1400,COMPLETE
46,0.561493080004745,0.3391734223322613,2025-01-08 00:07:26.734655,2025-01-08 00:09:01.256330,0 days 00:01:34.521675,128,0.1,0.311512283568868,0.000479058991341995,2,400,COMPLETE
47,0.5418859771204356,0.3646174079771498,2025-01-08 00:09:01.264917,2025-01-08 00:09:49.433401,0 days 00:00:48.168484,32,0.35000000000000003,0.08813082627529653,0.0005892593465834692,3,1200,COMPLETE
48,0.5688109954998782,0.33275463771240826,2025-01-08 00:09:49.434024,2025-01-08 00:11:40.936108,0 days 00:01:51.502084,16,0.0,0.04201071199486747,0.0008839895210444601,2,600,COMPLETE
49,0.5911423568324556,0.3196074964597685,2025-01-08 00:11:40.937222,2025-01-08 00:14:11.995429,0 days 00:02:31.058207,16,0.0,0.003099522479070055,0.0008819382312593223,2,600,COMPLETE
50,0.5676431888641698,0.3343627262562276,2025-01-08 00:14:12.000363,2025-01-08 00:16:00.277852,0 days 00:01:48.277489,16,0.0,0.0038573271383541417,0.0009210694673654883,2,900,COMPLETE
51,0.5800841898971745,0.3263305396476174,2025-01-08 00:16:00.278874,2025-01-08 00:18:29.787934,0 days 00:02:29.509060,16,0.0,0.015513509989758052,0.0008108460555776454,2,700,COMPLETE
52,0.5208339382230165,0.36271345892428253,2025-01-08 00:18:29.790466,2025-01-08 00:19:26.677243,0 days 00:00:56.886777,16,0.0,0.016510663130324912,0.0009177221353048463,1,700,COMPLETE
53,0.5367382086790196,0.3562367359425398,2025-01-08 00:19:26.678302,2025-01-08 00:20:17.527530,0 days 00:00:50.849228,16,0.0,0.0446041151400578,0.000798938600867459,1,600,COMPLETE
54,0.5340042534655847,0.3561590766145512,2025-01-08 00:20:17.528680,2025-01-08 00:21:12.364767,0 days 00:00:54.836087,16,0.05,0.020570034181830378,0.0008786501848146986,1,800,COMPLETE
55,0.5341218915893047,0.36015599547118937,2025-01-08 00:21:12.369981,2025-01-08 00:22:32.904674,0 days 00:01:20.534693,16,0.0,0.045836766525288626,0.0001723376748950694,1,700,COMPLETE
56,0.5105405583476668,0.39796092052545673,2025-01-08 00:22:32.905904,2025-01-08 00:23:29.224563,0 days 00:00:56.318659,16,0.4,0.0011897880051691316,0.0007783527777140888,2,900,COMPLETE
57,0.5178705968549553,0.37568533638761137,2025-01-08 00:23:29.225616,2025-01-08 00:24:30.880483,0 days 00:01:01.654867,16,0.5,0.039215455587372855,0.0009861919417827475,1,600,COMPLETE
58,0.5614565157331912,0.354036886546801,2025-01-08 00:24:30.885824,2025-01-08 00:26:14.902991,0 days 00:01:44.017167,16,0.25,0.0209226211357162,0.000659695410009715,2,800,COMPLETE
59,0.5124877622743438,0.3956826791876734,2025-01-08 00:26:14.905325,2025-01-08 00:27:17.679336,0 days 00:01:02.774011,16,0.45,0.05744174310813035,0.0005189715806710918,2,1000,COMPLETE
60,0.5482450350199002,0.3452545391090624,2025-01-08 00:27:17.683133,2025-01-08 00:29:30.287655,0 days 00:02:12.604522,16,0.05,0.032201336383859136,0.0002908921318941877,2,1600,COMPLETE
61,0.5703130646907214,0.33688030050988604,2025-01-08 00:29:30.288844,2025-01-08 00:31:32.758044,0 days 00:02:02.469200,16,0.0,0.00931269746812799,0.0008387518161307535,2,1900,COMPLETE
62,0.544151368336588,0.3617006912727252,2025-01-08 00:31:32.762507,2025-01-08 00:32:13.506959,0 days 00:00:40.744452,64,0.35000000000000003,0.025539677923876253,0.0007833848001987663,2,700,COMPLETE
63,0.5251931839671529,0.3623859519727829,2025-01-08 00:32:13.515103,2025-01-08 00:33:20.727969,0 days 00:01:07.212866,16,0.0,1.9815508155563485e-05,0.00012557441781680558,2,600,COMPLETE
64,0.5477303632122268,0.3459167795072776,2025-01-08 00:33:20.733644,2025-01-08 00:34:36.069943,0 days 00:01:15.336299,16,0.05,0.07986034420726497,0.0009156511219024088,2,500,COMPLETE
65,0.5583964532247623,0.33931496333526534,2025-01-08 00:34:36.070987,2025-01-08 00:36:25.669630,0 days 00:01:49.598643,16,0.0,0.05025338614393768,0.0005635584483232418,2,1100,COMPLETE
66,0.551489325611353,0.3535591809315023,2025-01-08 00:36:25.678906,2025-01-08 00:37:14.782880,0 days 00:00:49.103974,64,0.30000000000000004,0.03655590344396298,0.0006385759535176448,2,1500,COMPLETE
67,0.5577748411667479,0.33984236366773246,2025-01-08 00:37:14.791643,2025-01-08 00:38:02.961695,0 days 00:00:48.170052,128,0.05,0.013765512961981703,0.0007139794442856223,2,400,COMPLETE
68,0.5471954636479628,0.3468622927225514,2025-01-08 00:38:02.968824,2025-01-08 00:39:19.270552,0 days 00:01:16.301728,16,0.0,0.06952246060787377,0.0003787244034109108,2,700,COMPLETE
69,0.4811687972407756,0.39148286928269616,2025-01-08 00:39:19.274597,2025-01-08 00:40:17.896037,0 days 00:00:58.621440,16,0.4,0.26889095245122774,0.0005462708049913624,2,800,COMPLETE
70,0.5349097744369506,0.35426077767458075,2025-01-08 00:40:17.900695,2025-01-08 00:41:04.808708,0 days 00:00:46.908013,64,0.2,0.10184821428375526,0.0008704533452543357,2,1900,COMPLETE
71,0.5739368237281706,0.3336784089951097,2025-01-08 00:41:04.813250,2025-01-08 00:43:01.345204,0 days 00:01:56.531954,16,0.0,0.009931004813386862,0.0008255688939609339,2,1800,COMPLETE
72,0.5564723577281789,0.34011304431247147,2025-01-08 00:43:01.349728,2025-01-08 00:44:57.724716,0 days 00:01:56.374988,16,0.0,0.027165951996694093,0.0007614162703895141,2,500,COMPLETE
73,0.5446480471162187,0.3502812685584852,2025-01-08 00:44:57.728878,2025-01-08 00:45:51.792465,0 days 00:00:54.063587,128,0.05,0.22073261026218655,0.000464652875903602,2,600,COMPLETE
74,0.5612805587720743,0.34451279981426247,2025-01-08 00:45:51.796154,2025-01-08 00:47:45.803909,0 days 00:01:54.007755,16,0.0,0.054411073354678346,0.0006932888347180281,2,1700,COMPLETE
75,0.5080880898333929,0.3850345828499296,2025-01-08 00:47:45.814695,2025-01-08 00:48:49.668032,0 days 00:01:03.853337,16,0.5,0.012842871845114123,0.00041525620549584215,2,600,COMPLETE
76,0.5405144642584906,0.3523281410596821,2025-01-08 00:48:49.676303,2025-01-08 00:49:51.993957,0 days 00:01:02.317654,64,0.0,0.11047467635814956,0.00061140812653073,2,1300,COMPLETE
77,0.5575442933977616,0.34128267689750746,2025-01-08 00:49:52.003086,2025-01-08 00:50:45.169595,0 days 00:00:53.166509,128,0.05,0.18940678982299608,0.0009484534787522071,2,500,COMPLETE
78,0.5604342452439004,0.33671549324231304,2025-01-08 00:50:45.173051,2025-01-08 00:52:29.148289,0 days 00:01:43.975238,16,0.05,0.08334403105727109,0.0008383926411264107,2,400,COMPLETE
79,0.5285269561332043,0.3706079229212266,2025-01-08 00:52:29.149549,2025-01-08 00:53:35.503693,0 days 00:01:06.354144,16,0.45,0.032170610508355874,0.00021099658610549383,2,900,COMPLETE
80,0.5594790974236662,0.3402154000793448,2025-01-08 00:53:35.504949,2025-01-08 00:54:37.929517,0 days 00:01:02.424568,64,0.1,0.09777303333294568,0.0007316201898695093,2,700,COMPLETE
81,0.5503395429498134,0.3497349024506032,2025-01-08 00:54:37.938316,2025-01-08 00:55:55.254108,0 days 00:01:17.315792,16,0.0,0.009804682770483089,0.00034829019586008435,2,1900,COMPLETE
82,0.5303695731934388,0.36715823862027064,2025-01-08 00:55:55.262748,2025-01-08 00:57:07.976575,0 days 00:01:12.713827,16,0.30000000000000004,0.14806321114745452,0.000821288945372746,2,800,COMPLETE
83,0.5409939623300029,0.35051761054949415,2025-01-08 00:57:07.980799,2025-01-08 00:58:20.655182,0 days 00:01:12.674383,128,0.0,0.31447342058694633,0.0005050533173688685,3,700,COMPLETE
84,0.5722902629798556,0.33127360935672484,2025-01-08 00:58:20.656309,2025-01-08 01:00:19.315429,0 days 00:01:58.659120,16,0.0,0.00823416832862801,0.0009938296977711487,2,500,COMPLETE
85,0.47249303520850905,0.3895962289075733,2025-01-08 01:00:19.316393,2025-01-08 01:01:26.023001,0 days 00:01:06.706608,16,0.25,0.398919119778891,0.0003076931596188311,2,600,COMPLETE
86,0.5594704449350425,0.33719049584688066,2025-01-08 01:01:26.027948,2025-01-08 01:03:53.423601,0 days 00:02:27.395653,16,0.05,0.06357533376060222,0.00028825646758453806,3,1500,COMPLETE
87,0.5448815998275817,0.34976683696920324,2025-01-08 01:03:53.424676,2025-01-08 01:05:03.943390,0 days 00:01:10.518714,64,0.0,0.1635861754100616,0.00099892245555699,2,1200,COMPLETE
88,0.5328410381227126,0.3569360601115985,2025-01-08 01:05:03.944260,2025-01-08 01:05:46.034011,0 days 00:00:42.089751,128,0.15000000000000002,0.29777862939077315,0.0006737386440823105,1,300,COMPLETE
89,0.5624280798861858,0.34097295503426167,2025-01-08 01:05:46.038702,2025-01-08 01:07:49.651932,0 days 00:02:03.613230,16,0.0,0.042793943583998795,0.0009268561917861598,3,1800,COMPLETE
90,0.43669953580062826,0.4028976902724096,2025-01-08 01:07:49.653024,2025-01-08 01:08:40.219102,0 days 00:00:50.566078,16,0.2,0.36670382950769315,0.0007793653362450068,2,500,COMPLETE
91,0.5740845890169314,0.33004795945879817,2025-01-08 01:08:40.227370,2025-01-08 01:10:34.261852,0 days 00:01:54.034482,16,0.0,0.007581507520859234,0.000860622472055308,2,600,COMPLETE
92,0.5568229948909498,0.34292268388148284,2025-01-08 01:10:34.271325,2025-01-08 01:11:52.252306,0 days 00:01:17.980981,16,0.05,0.020590730868640363,0.000253766791264908,2,400,COMPLETE
93,0.5037146247449231,0.371213929055579,2025-01-08 01:11:52.261229,2025-01-08 01:12:46.336361,0 days 00:00:54.075132,16,0.0,0.33953024402121584,0.00039820171003214467,1,500,COMPLETE
94,0.5409760734016976,0.34869662961359016,2025-01-08 01:12:46.337307,2025-01-08 01:13:41.013680,0 days 00:00:54.676373,64,0.0,0.2050091423986384,0.0006368061776712478,2,600,COMPLETE
95,0.516673642531878,0.36641042930803847,2025-01-08 01:13:41.021107,2025-01-08 01:15:21.242255,0 days 00:01:40.221148,16,0.25,0.17486457279597872,0.0008822768759027896,3,1300,COMPLETE
96,0.54330618452991,0.36153260785334973,2025-01-08 01:15:21.243194,2025-01-08 01:16:00.129176,0 days 00:00:38.885982,128,0.4,0.007092818362364338,0.0006950789950496884,2,700,COMPLETE
