number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_n_layers,params_neurons,state
0,0.5353806108440531,0.35284410181327486,2024-12-11 21:13:06.458041,2024-12-11 21:13:44.009326,0 days 00:00:37.551285,64,0.05,0.00026002624144372337,2,100,COMPLETE
1,0.5162187866181684,0.3727215171689409,2024-12-11 21:13:44.015963,2024-12-11 21:14:19.394933,0 days 00:00:35.378970,128,0.35000000000000003,0.00043251063631289527,1,700,COMPLETE
2,0.5197656171169812,0.3758978156559459,2024-12-11 21:14:19.400013,2024-12-11 21:15:02.485840,0 days 00:00:43.085827,16,0.45,0.0005731024843041677,1,400,COMPLETE
3,0.46737813353292196,0.41564875379473565,2024-12-11 21:15:02.486761,2024-12-11 21:15:38.851181,0 days 00:00:36.364420,32,0.35000000000000003,0.0007991156066417922,3,1700,COMPLETE
4,0.5085054239689966,0.37868360797726436,2024-12-11 21:15:38.858034,2024-12-11 21:16:29.233730,0 days 00:00:50.375696,16,0.30000000000000004,0.00023260018751688406,1,1700,COMPLETE
5,0.5008268598047829,0.3669153709070001,2024-12-11 21:16:29.239293,2024-12-11 21:16:59.611073,0 days 00:00:30.371780,128,0.35000000000000003,0.00014554178800398388,1,1900,COMPLETE
6,0.535007043642275,0.3577302872045514,2024-12-11 21:16:59.617299,2024-12-11 21:17:41.980131,0 days 00:00:42.362832,128,0.1,0.00033447548579917615,2,300,COMPLETE
7,0.5074365630049018,0.3759127471595828,2024-12-11 21:17:41.983089,2024-12-11 21:18:25.770856,0 days 00:00:43.787767,64,0.30000000000000004,0.0007304878481228951,1,1500,COMPLETE
8,0.5057965802720414,0.37828844009936713,2024-12-11 21:18:25.773622,2024-12-11 21:19:24.868673,0 days 00:00:59.095051,16,0.25,0.00022809714519045834,1,1400,COMPLETE
9,0.5387456589967443,0.35188319984827415,2024-12-11 21:19:24.871256,2024-12-11 21:20:06.021424,0 days 00:00:41.150168,128,0.2,0.00011100074513539208,2,1100,COMPLETE
10,0.5389761269979301,0.353764315678806,2024-12-11 21:20:06.029974,2024-12-11 21:20:43.600758,0 days 00:00:37.570784,32,0.15000000000000002,0.0001024662299276136,3,1000,COMPLETE
11,0.5517885848189076,0.34639373007642577,2024-12-11 21:20:43.611941,2024-12-11 21:21:30.056835,0 days 00:00:46.444894,128,0.15000000000000002,0.00010039266027967871,3,1000,COMPLETE
12,0.5441505834144613,0.3496513602586536,2024-12-11 21:21:30.057742,2024-12-11 21:22:14.663359,0 days 00:00:44.605617,128,0.2,0.00010422320974025866,3,1000,COMPLETE
13,0.5373870241858045,0.35727300559096575,2024-12-11 21:22:14.664244,2024-12-11 21:22:47.287344,0 days 00:00:32.623100,128,0.0,0.00015451299956196912,3,900,COMPLETE
