number,values_0,values_1,datetime_start,datetime_complete,duration,params_BN,params_aggregation,params_batch_size,params_depth,params_dropout_bond,params_dropout_ffn,params_hidden_bond,params_hidden_ffn,params_init_lr,params_layer,params_warmup_epochs,state
0,0.5956961648595686,0.34984320402145386,2024-12-20 17:26:09.863071,2024-12-20 17:34:27.358434,0 days 00:08:17.495363,True,sum,64,2,0.05,0.4,1000,900,0.0008957634548157214,3,9,COMPLETE
1,0.5377455726992653,0.3613356053829193,2024-12-20 17:34:27.366532,2024-12-20 17:42:58.180222,0 days 00:08:30.813690,True,norm,32,5,0.45,0.4,900,200,0.00016358485736473364,3,4,COMPLETE
2,0.6059419623551086,0.33329397439956665,2024-12-20 17:42:58.229383,2024-12-20 17:53:17.951476,0 days 00:10:19.722093,False,norm,64,2,0.1,0.30000000000000004,600,300,0.00019550567005180785,2,3,COMPLETE
3,,,2024-12-20 17:53:17.953689,2024-12-20 18:07:55.685051,0 days 00:14:37.731362,False,norm,16,2,0.4,0.35000000000000003,200,1000,0.0007356632561836419,5,7,FAIL
4,0.32949926302025434,0.42965805530548096,2024-12-20 18:07:55.689372,2024-12-20 18:16:40.242185,0 days 00:08:44.552813,False,mean,64,1,0.5,0.1,300,900,0.00033394328479093813,3,4,COMPLETE
5,0.6043775477693113,0.3185393214225769,2024-12-20 18:16:40.283255,2024-12-20 18:28:56.351107,0 days 00:12:16.067852,False,mean,128,2,0.25,0.15000000000000002,900,1200,0.00015726146046536122,2,3,COMPLETE
6,,,2024-12-20 18:28:56.353568,2024-12-20 18:40:18.888713,0 days 00:11:22.535145,False,sum,128,4,0.1,0.15000000000000002,900,500,0.00015731567339685336,2,9,FAIL
7,0.5700756564611528,0.3673917353153229,2024-12-20 18:40:18.935307,2024-12-20 18:53:12.786388,0 days 00:12:53.851081,True,sum,32,1,0.05,0.15000000000000002,800,600,0.0008959616279961768,4,5,COMPLETE
8,0.5898786781467033,0.3199557662010193,2024-12-20 18:53:12.792647,2024-12-20 19:10:35.118841,0 days 00:17:22.326194,False,mean,128,3,0.15000000000000002,0.30000000000000004,900,400,0.0008463830472189059,1,10,COMPLETE
9,0.240431920422326,0.4766143262386322,2024-12-20 19:10:35.121200,2024-12-20 19:21:50.672166,0 days 00:11:15.550966,False,sum,128,3,0.1,0.4,600,1200,0.00013309546408136328,2,8,COMPLETE
