number,values_0,values_1,datetime_start,datetime_complete,duration,params_average_before_softmax,params_n_estimators,params_softmax_temperature,state
0,0.5359529760176241,0.3509527400215844,2025-01-16 00:58:54.119649,2025-01-16 02:34:42.486953,0 days 01:35:48.367304,False,95,0.09768298279699238,COMPLETE
1,0.548094880883805,0.33859515053458517,2025-01-16 02:34:42.488544,2025-01-16 02:39:29.194742,0 days 00:04:46.706198,False,4,0.41101081161457437,COMPLETE
2,0.5545608245045557,0.335569002352963,2025-01-16 02:39:29.195774,2025-01-16 04:34:03.731631,0 days 01:54:34.535857,False,100,0.4486447870116099,COMPLETE
3,0.558337174543225,0.33472848451962045,2025-01-16 04:34:03.733230,2025-01-16 06:26:50.254155,0 days 01:52:46.520925,False,98,0.6114863717067637,COMPLETE
4,0.5525934859455071,0.3326173967709648,2025-01-16 06:26:50.255879,2025-01-16 07:29:10.861218,0 days 01:02:20.605339,True,54,0.48325654158919634,COMPLETE
5,0.5568329164000724,0.33520375880340686,2025-01-16 07:29:10.862781,2025-01-16 09:50:59.919336,0 days 02:21:49.056555,False,92,0.5700628453315768,COMPLETE
6,0.5582233422449977,0.3393386023944116,2025-01-16 09:50:59.921037,2025-01-16 11:31:29.551114,0 days 01:40:29.630077,False,46,0.9049105970647258,COMPLETE
7,0.5474270743365761,0.3368223193877918,2025-01-16 11:31:29.552802,2025-01-16 11:38:59.797769,0 days 00:07:30.244967,False,6,0.37177826937114616,COMPLETE
8,0.5538107307323852,0.3362326376212456,2025-01-16 11:38:59.799032,2025-01-16 13:36:40.224349,0 days 01:57:40.425317,False,95,0.4185445832228876,COMPLETE
9,0.5396593402376685,0.34690814026124756,2025-01-16 13:36:40.225656,2025-01-16 15:18:31.753742,0 days 01:41:51.528086,False,87,0.15354396144925914,COMPLETE
10,0.5585629355076206,0.33133155611337267,2025-01-16 15:18:31.754683,2025-01-16 16:36:24.691047,0 days 01:17:52.936364,True,67,0.7459893317585067,COMPLETE
11,0.5590314528749042,0.33217267065282685,2025-01-16 16:36:24.692744,2025-01-16 17:55:28.019498,0 days 01:19:03.326754,True,68,0.81208527246342,COMPLETE
12,0.5593047191877447,0.3324178727023042,2025-01-16 17:55:28.021261,2025-01-16 19:10:41.529549,0 days 01:15:13.508288,True,65,0.8261302053631044,COMPLETE
13,0.5597112766938931,0.33584824487043174,2025-01-16 19:10:41.531223,2025-01-16 20:32:53.051583,0 days 01:22:11.520360,True,71,0.9906306545856953,COMPLETE
14,0.5591724652330683,0.33662768071124394,2025-01-16 20:32:53.053362,2025-01-16 21:07:15.226419,0 days 00:34:22.173057,True,30,0.9945969301864226,COMPLETE
15,0.5575864826341359,0.33134383586730204,2025-01-16 21:07:15.228007,2025-01-16 22:36:18.275042,0 days 01:29:03.047035,True,77,0.7100278493138731,COMPLETE
16,0.5579681836072226,0.33120444643165686,2025-01-16 22:36:18.276686,2025-01-16 23:21:23.083729,0 days 00:45:04.807043,True,39,0.7020520504469541,COMPLETE
17,0.5587635151155119,0.3368437305278752,2025-01-16 23:21:23.085382,2025-01-16 23:49:21.553624,0 days 00:27:58.468242,True,24,0.9923916102584116,COMPLETE
18,0.5579346242424087,0.3309761428723767,2025-01-16 23:49:21.554737,2025-01-17 00:58:32.275737,0 days 01:09:10.721000,True,60,0.6945691640195039,COMPLETE
19,0.5596023068430392,0.33223459479428585,2025-01-17 00:58:32.277397,2025-01-17 02:22:07.781760,0 days 01:23:35.504363,True,72,0.8260958173373931,COMPLETE
20,0.5592017752064917,0.3327244676316372,2025-01-17 02:22:07.783422,2025-01-17 03:53:57.335050,0 days 01:31:49.551628,True,79,0.8323080013509705,COMPLETE
21,0.5586361492237455,0.33100162653941667,2025-01-17 03:53:57.336730,2025-01-17 05:02:02.907031,0 days 01:08:05.570301,True,59,0.7188867127881953,COMPLETE
22,0.5560528136938874,0.33166267805272687,2025-01-17 05:02:02.909044,2025-01-17 06:00:15.372038,0 days 00:58:12.462994,True,50,0.6217064085980994,COMPLETE
23,0.554715625837161,0.3319950484760982,2025-01-17 06:00:15.373714,2025-01-17 06:48:00.474386,0 days 00:47:45.100672,True,41,0.538154399724009,COMPLETE
24,0.5431786272657494,0.3395727090870024,2025-01-17 06:48:00.476018,2025-01-17 08:15:12.425356,0 days 01:27:11.949338,True,75,0.2804525318995764,COMPLETE
