number,values_0,values_1,datetime_start,datetime_complete,duration,params_amount_heads,params_attn_dropout,params_batch_size,params_dropout,params_encoder_output_dim,params_ff_dropout,params_head_dim,params_layer_norm,params_lr,params_n_layers,params_neurons,params_transformer_depth,state
0,0.5000003576278687,0.35821181535720825,2025-01-20 08:12:26.766062,2025-01-20 08:18:24.182191,0 days 00:05:57.416129,3,0.35000000000000003,32,0.2,133,0.35000000000000003,121,0,0.00034755429608790194,2,1900,2,COMPLETE
1,0.4715050160884857,0.3629733920097351,2025-01-20 08:18:24.182781,2025-01-20 08:30:57.583668,0 days 00:12:33.400887,2,0.15000000000000002,32,0.4,279,0.1,47,1,0.0005706113307981002,2,100,3,COMPLETE
2,0.4989427626132965,0.3554990887641907,2025-01-20 08:30:57.584949,2025-01-20 08:51:45.946148,0 days 00:20:48.361199,5,0.5,32,0.25,139,0.5,123,0,0.00019838731544907464,2,600,5,COMPLETE
3,0.34707027673721313,0.42635074257850647,2025-01-20 08:51:45.947377,2025-01-20 09:16:33.817278,0 days 00:24:47.869901,5,0.2,128,0.4,241,0.05,80,0,0.004253920214500729,1,1900,5,COMPLETE
4,0.09932206571102142,0.52851402759552,2025-01-20 09:16:33.818550,2025-01-20 09:19:54.538186,0 days 00:03:20.719636,2,0.45,64,0.35000000000000003,146,0.1,46,1,0.0006667275564870697,3,1600,3,COMPLETE
5,0.007481944747269154,0.5744847059249878,2025-01-20 09:19:54.539315,2025-01-20 09:22:29.566100,0 days 00:02:35.026785,2,0.45,128,0.15000000000000002,168,0.05,35,1,0.008925319295579914,2,700,3,COMPLETE
6,-0.0010910272831097245,0.576180636882782,2025-01-20 09:22:29.567313,2025-01-20 09:28:21.508411,0 days 00:05:51.941098,4,0.4,128,0.05,163,0.5,42,1,0.006240007683054348,3,1600,5,COMPLETE
7,0.4726201593875885,0.3717549443244934,2025-01-20 09:28:21.509275,2025-01-20 09:37:17.627894,0 days 00:08:56.118619,5,0.5,64,0.2,194,0.0,105,0,0.00017237265798660266,1,1100,2,COMPLETE
8,0.5104469060897827,0.3479568064212799,2025-01-20 09:37:17.628980,2025-01-20 09:55:17.341248,0 days 00:17:59.712268,2,0.2,64,0.30000000000000004,252,0.05,96,1,0.0002576988920688607,1,200,4,COMPLETE
9,0.5147716403007507,0.35046881437301636,2025-01-20 09:55:17.342370,2025-01-20 10:01:32.884274,0 days 00:06:15.541904,2,0.1,64,0.25,166,0.30000000000000004,54,1,0.0009699373015885063,1,100,2,COMPLETE
10,-0.00011751651618396863,0.5783907175064087,2025-01-20 10:01:32.885255,2025-01-20 10:04:28.559953,0 days 00:02:55.674698,3,0.0,16,0.5,202,0.25,68,1,0.0019419758731427492,1,1000,2,COMPLETE
11,0.3160941004753113,0.4375796914100647,2025-01-20 10:04:28.560771,2025-01-20 10:16:59.761021,0 days 00:12:31.200250,3,0.1,64,0.30000000000000004,246,0.25,97,1,0.001399553043666936,1,100,4,COMPLETE
12,0.4780922830104828,0.3628138601779938,2025-01-20 10:16:59.762036,2025-01-20 10:36:26.653578,0 days 00:19:26.891542,2,0.30000000000000004,64,0.1,288,0.35000000000000003,65,1,0.00014293892572942503,1,500,4,COMPLETE
13,0.4969101548194885,0.3600916266441345,2025-01-20 10:36:26.654388,2025-01-20 10:54:10.633533,0 days 00:17:43.979145,4,0.05,64,0.0,234,0.35000000000000003,92,1,0.0003843496212978511,1,400,4,COMPLETE
14,0.2925494909286499,0.44501692056655884,2025-01-20 10:54:10.634486,2025-01-20 11:02:51.342384,0 days 00:08:40.707898,3,0.25,16,0.30000000000000004,183,0.2,68,1,0.0009614110504970338,2,300,3,COMPLETE
15,0.23238548636436462,0.47047609090805054,2025-01-20 11:02:51.343289,2025-01-20 11:11:32.423048,0 days 00:08:41.079759,2,0.15000000000000002,64,0.45,266,0.2,60,1,0.0018998638697681222,1,900,4,COMPLETE
