number,values_0,values_1,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.47495910386015233,0.37584569432381837,2024-12-11 13:32:54.804684,2024-12-11 13:33:08.801434,0 days 00:00:13.996750,0.7521202683721031,1.6203197084156835,0.161526006702325,60,12,571,1.0462720439198328,1.3313515638351323,0.7167713016877173,COMPLETE
1,0.43123847628520684,0.39012283870406606,2024-12-11 13:33:08.802099,2024-12-11 13:33:29.811338,0 days 00:00:21.009239,0.7889914160976647,2.081352155490313,0.3834174981012091,70,39,1031,2.8808682018845926,2.9002511355998446,0.9376304148691468,COMPLETE
2,0.4415333845270183,0.38767988084204824,2024-12-11 13:33:29.811972,2024-12-11 13:33:53.889847,0 days 00:00:24.077875,0.9123029026273451,0.5516192989438066,0.3322045306982388,64,44,1106,1.4686574542976032,2.408294974890072,0.8552199382284008,COMPLETE
3,0.38276288025781385,0.41650256750382564,2024-12-11 13:33:53.890522,2024-12-11 13:34:02.266179,0 days 00:00:08.375657,0.5146581695926756,1.6769232291084086,0.6465281789245921,11,13,342,1.200615793901918,0.6713884333039079,0.7346427405983983,COMPLETE
4,0.3849819627228163,0.4050556923145655,2024-12-11 13:34:02.266852,2024-12-11 13:34:17.711753,0 days 00:00:15.444901,0.5590049755057984,1.3253074963037195,0.45529606913506715,14,4,726,1.7027125769835052,0.889303916594387,0.9265984186422397,COMPLETE
5,0.4306359939761887,0.39958288490778293,2024-12-11 13:34:17.712482,2024-12-11 13:34:52.232492,0 days 00:00:34.520010,0.6075391445543741,0.29958267722870224,0.45405124943490477,22,46,1723,1.1921455716877583,0.48388741806004565,0.8409054285809976,COMPLETE
6,0.46412492241406084,0.3857600694041512,2024-12-11 13:34:52.233212,2024-12-11 13:35:27.939247,0 days 00:00:35.706035,0.8089406702813895,1.929661742196203,0.15581648047273258,71,23,1801,2.3065383983151184,1.935543881622479,0.9902006175245954,COMPLETE
7,0.39765708529350025,0.41398189511172534,2024-12-11 13:35:27.940000,2024-12-11 13:36:02.517312,0 days 00:00:34.577312,0.6472272702407653,2.6346561485556816,0.6750141563089945,51,14,1832,1.7024443288502966,2.537016575254728,0.5360939378579557,COMPLETE
8,0.4869772475880801,0.37862680384354724,2024-12-11 13:36:02.518056,2024-12-11 13:36:22.765878,0 days 00:00:20.247822,0.5362282460304387,1.2906905778527173,0.016530925042308724,49,21,195,0.06123805692438669,1.0858773692020893,0.9714066772938611,COMPLETE
9,0.28711751113769013,0.49666428753127645,2024-12-11 13:36:22.766568,2024-12-11 13:36:32.489443,0 days 00:00:09.722875,0.8219019382049066,0.42727498151547283,0.9241265491945544,65,41,348,2.497276856332621,2.7582802880079313,0.7160374211488838,COMPLETE
10,0.43161584327943725,0.48661400901746354,2024-12-11 13:36:32.490127,2024-12-11 13:36:45.898644,0 days 00:00:13.408517,0.65412028989288,1.0134040449496722,0.006120852580393096,38,29,92,0.08959999685719905,0.08020448769130684,0.9779839642466873,COMPLETE
11,0.5035597783783048,0.36700643726708604,2024-12-11 13:36:45.899328,2024-12-11 13:37:14.749571,0 days 00:00:28.850243,0.7102227008950831,1.0806008014738322,0.020700042481160478,43,24,624,0.016438409137281007,1.2687732616202054,0.8146742874297065,COMPLETE
12,0.5156042073112318,0.36171239609784517,2024-12-11 13:37:14.750255,2024-12-11 13:39:13.728993,0 days 00:01:58.978738,0.9659083276631224,0.9139429018479952,0.004018889401642689,38,27,1357,0.08031015332394915,1.556965559185337,0.6157403864665119,COMPLETE
13,0.47034599395716753,0.37770372809693975,2024-12-11 13:39:13.729689,2024-12-11 13:39:45.278332,0 days 00:00:31.548643,0.979750153684197,0.8735455649029729,0.17522697701127138,28,32,1409,0.5252322508228822,1.880064717788115,0.5719526135936137,COMPLETE
14,0.5048878697817302,0.3678791651776965,2024-12-11 13:39:45.278981,2024-12-11 13:42:10.973351,0 days 00:02:25.694370,0.9005472732383504,0.13907953823564778,0.0030994718115127198,36,34,1391,0.6694170980518419,1.6287496731544577,0.6190381524461102,COMPLETE
15,0.4475218898765174,0.39288284796429374,2024-12-11 13:42:10.974068,2024-12-11 13:42:45.848794,0 days 00:00:34.874726,0.9806315160672302,0.03225501765907879,0.30287465909141525,3,33,1390,0.5792991986174713,1.8257733147187754,0.634771634759269,COMPLETE
16,0.3264324461292748,0.4603967796597842,2024-12-11 13:42:45.849475,2024-12-11 13:43:14.616902,0 days 00:00:28.767427,0.9165061875562543,0.8059729395131601,0.5924307527286767,33,36,1385,0.5783163148919065,1.61383634104025,0.6342373764880066,COMPLETE
17,0.4335547253663485,0.38914982226275296,2024-12-11 13:43:14.617609,2024-12-11 13:43:48.669922,0 days 00:00:34.052313,0.8868247148651752,0.6483764288984613,0.23679550006588787,52,3,1540,0.35870059807795207,2.219716129659786,0.5064664124898284,COMPLETE
18,0.33619227942703944,0.45159996254390977,2024-12-11 13:43:48.670581,2024-12-11 13:44:17.809686,0 days 00:00:29.139105,0.9994880294554507,0.06287831396402166,0.554931815698108,23,16,1190,0.8220232026874005,1.5550330618802577,0.6190761577372208,COMPLETE
19,0.4889552002251095,0.3684483880803035,2024-12-11 13:44:17.810404,2024-12-11 13:44:40.715889,0 days 00:00:22.905485,0.8783292492952706,1.121831558960313,0.10750968700614694,41,49,911,0.317939933528435,2.140110858055554,0.5836806115519262,COMPLETE
20,0.4576343490854483,0.3806953057919787,2024-12-11 13:44:40.716564,2024-12-11 13:45:12.760682,0 days 00:00:32.044118,0.945843288938221,2.915830544200589,0.2671205023682122,32,28,1608,0.8723946194110078,1.4883478622837902,0.668987475970798,COMPLETE
21,0.48939319739120446,0.366922190731627,2024-12-11 13:45:12.761349,2024-12-11 13:45:57.644645,0 days 00:00:44.883296,0.8605277609953993,0.7916722099073197,0.06712251498173584,42,20,1988,0.04236607121526359,1.2590430469690173,0.784820280554869,COMPLETE
22,0.5044875526580421,0.3640889682395106,2024-12-11 13:45:57.645320,2024-12-11 13:46:28.677446,0 days 00:00:31.032126,0.9430694648225926,1.0946927071878727,0.07532464420806917,46,27,1288,0.26024972365710747,1.0882353633887243,0.6849286125701771,COMPLETE
23,0.4820732159524173,0.37094907243547903,2024-12-11 13:46:28.678103,2024-12-11 13:47:00.969135,0 days 00:00:32.291032,0.9511744337614783,0.368305713359792,0.10561438572117028,23,7,1238,0.32752641260011317,0.9803942985130203,0.6789336880472487,COMPLETE
24,0.4598412066162897,0.3800508109352023,2024-12-11 13:47:00.969862,2024-12-11 13:47:20.740432,0 days 00:00:19.770570,0.93964597732428,1.4211681408564538,0.21755241090050623,57,18,868,0.7434897693084149,1.7047593223627413,0.5674190186970526,COMPLETE
25,0.49939235033564816,0.3641796355794985,2024-12-11 13:47:20.741095,2024-12-11 13:47:53.269701,0 days 00:00:32.528606,0.8441944495361046,0.6509848535215136,0.07230318978536165,47,29,1280,0.4149363786983416,2.0922837987389915,0.7653091230170151,COMPLETE
26,0.48967566572324656,0.37743166963297814,2024-12-11 13:47:53.270354,2024-12-11 13:49:52.832020,0 days 00:01:59.561666,0.9000672159312917,1.2149457701462136,0.0022165620527670542,33,35,1572,0.28680357761145475,2.9866377671921582,0.5071111081210803,COMPLETE
27,0.5001611136116224,0.3666416701437478,2024-12-11 13:49:52.832725,2024-12-11 13:50:14.054551,0 days 00:00:21.221826,0.8449078688410643,0.9223235158944263,0.12320133198351238,13,27,863,0.7125980015412927,1.4651534371088455,0.6782148251308538,COMPLETE
28,0.4510653606050493,0.38072213592772686,2024-12-11 13:50:14.055270,2024-12-11 13:50:44.952357,0 days 00:00:30.897087,0.9977839135763221,1.4968830269385465,0.2400247928581603,29,10,1467,0.18825334642100766,1.7122513151318077,0.6035571696699874,COMPLETE
29,0.4708392923777399,0.37585045103202974,2024-12-11 13:50:44.953029,2024-12-11 13:51:08.460888,0 days 00:00:23.507859,0.7511386993719895,1.699204522890243,0.1932836472579166,55,24,1124,0.9966078449493538,1.3149484640213354,0.7139958833620006,COMPLETE
30,0.4651710199749918,0.37802188338642967,2024-12-11 13:51:08.461554,2024-12-11 13:51:43.566754,0 days 00:00:35.105200,0.9474173634894947,0.197277321925157,0.15936290735247188,75,30,1288,0.5123457203244756,1.1386407721708578,0.546723541390594,COMPLETE
31,0.5033993990553457,0.3645605915266775,2024-12-11 13:51:43.567489,2024-12-11 13:52:02.811941,0 days 00:00:19.244452,0.7177597716350248,1.0086678491625298,0.0648120971984208,42,24,603,0.026099777614626986,1.3865107596586286,0.5979395446714403,COMPLETE
32,0.4841333890682319,0.3716765209170374,2024-12-11 13:52:02.812673,2024-12-11 13:52:25.930684,0 days 00:00:23.118011,0.7931415776567192,2.2795190514909778,0.07157910918171298,38,38,1006,0.2529194757104169,1.4011583097265723,0.6560957138492173,COMPLETE
33,0.24452641056687244,0.5392408708325426,2024-12-11 13:52:25.931370,2024-12-11 13:53:01.497169,0 days 00:00:35.565799,0.9119255801474327,0.5621189398395161,0.9417318737752898,46,25,1681,2.9224974009219435,2.4022279215327265,0.5982603611007988,COMPLETE
34,0.446545525430359,0.3845777408304375,2024-12-11 13:53:01.497970,2024-12-11 13:53:12.846456,0 days 00:00:11.348486,0.7500424683047201,1.627272715048628,0.31214671768437624,63,42,462,0.19635814068663726,1.9702040506936354,0.6145675331036854,COMPLETE
35,0.4470687459935535,0.3854843355206384,2024-12-11 13:53:12.847162,2024-12-11 13:53:35.265682,0 days 00:00:22.418520,0.7847693051620903,1.1607513004245296,0.357280815438453,27,20,1057,2.09562012759463,1.7587220121677074,0.9125721144896197,COMPLETE
36,0.37691575494405477,0.42220056916313764,2024-12-11 13:53:35.266396,2024-12-11 13:53:51.127290,0 days 00:00:15.860894,0.87482908801857,1.4347010222295777,0.7428378745157715,37,32,715,2.7047316580267866,1.6091698894715993,0.7070621813199989,COMPLETE
37,0.442682043937429,0.3865174707468628,2024-12-11 13:53:51.128113,2024-12-11 13:54:28.070620,0 days 00:00:36.942507,0.7117822390721746,1.9535160184656646,0.38885701322255994,18,50,1917,1.3942181363783186,0.7075535167472553,0.8802713166382948,COMPLETE
38,0.47102786572938093,0.37426144380148185,2024-12-11 13:54:28.071318,2024-12-11 13:55:01.709259,0 days 00:00:33.637941,0.577963485563008,0.45938866992295624,0.14320895300127892,18,1,1513,2.1051264749188654,2.762671271119041,0.7574542508376183,COMPLETE
39,0.3926074270566734,0.4121191350241932,2024-12-11 13:55:01.709966,2024-12-11 13:55:35.656841,0 days 00:00:33.946875,0.5247618135892341,0.25935570434410427,0.4623984825700202,35,11,1692,1.1045395129290256,1.1497221179317345,0.7345851287986415,COMPLETE
40,0.47663608392590434,0.3708077107785678,2024-12-11 13:55:35.657529,2024-12-11 13:56:00.555029,0 days 00:00:24.897500,0.9230285929996519,1.3271522848192892,0.20662402013057946,4,22,1173,1.4272846618678738,0.8228963061150053,0.5464277412345737,COMPLETE
41,0.5016932478499643,0.3637734558678293,2024-12-11 13:56:00.555681,2024-12-11 13:56:32.484036,0 days 00:00:31.928355,0.9630366243846968,0.7586729162543733,0.07777314294512455,47,27,1334,1.65402881235593,2.0464962660354984,0.6486244938108668,COMPLETE
42,0.31097827388954463,0.47245188334321353,2024-12-11 13:56:32.484781,2024-12-11 13:56:59.465160,0 days 00:00:26.980379,0.9643815794401952,0.9994056881163048,0.9938377308150541,7,26,1326,1.8005557833525,0.46188862099639616,0.8512943760616531,COMPLETE
43,0.4993373625342635,0.3671183305553711,2024-12-11 13:56:59.465919,2024-12-11 13:57:39.973325,0 days 00:00:40.507406,0.5148330953264073,0.7082163601046146,0.05029358551462747,45,45,1820,0.16245592586042995,1.4167831320486783,0.9575762748783183,COMPLETE
44,0.5042969602625652,0.363735660058501,2024-12-11 13:57:39.974026,2024-12-11 13:58:08.731375,0 days 00:00:28.757349,0.9719087881007156,1.0006027394543495,0.04234588343789767,38,18,970,2.767018253085806,2.3306705260686544,0.6407607258604524,COMPLETE
