number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_feature_rate,params_lr,params_n_tree,params_tree_depth,state
0,0.3949526200012091,0.4634575597290209,2025-01-29 21:45:11.615252,2025-01-29 23:27:46.800360,0 days 01:42:35.185108,128,0.15000000000000002,0.0003268566497857966,63,2,COMPLETE
1,0.10178139434458358,0.8295950017248404,2025-01-29 23:27:46.802626,2025-01-29 23:54:54.521659,0 days 00:27:07.719033,128,0.1,0.00038516675600503304,16,4,COMPLETE
2,0.11585319887662412,0.6862279699239044,2025-01-29 23:54:54.524697,2025-01-30 01:15:02.440234,0 days 01:20:07.915537,128,0.5,0.0006896776489878103,96,5,COMPLETE
3,0.33592094221547847,0.6217198177282908,2025-01-30 01:15:02.444672,2025-01-30 01:42:58.757157,0 days 00:27:56.312485,256,0.7000000000000001,0.0001370506578541418,20,1,COMPLETE
4,0.046272095819366185,1.3596251416001104,2025-01-30 01:42:58.759845,2025-01-30 03:01:34.151620,0 days 01:18:35.391775,256,0.15000000000000002,0.00011405929319183756,52,5,COMPLETE
5,0.15964612720069252,0.6540381600317293,2025-01-30 03:01:34.154313,2025-01-30 03:26:31.227906,0 days 00:24:57.073593,128,0.4,0.00017311557625539277,19,4,COMPLETE
6,0.13432495959874627,0.7604180116076399,2025-01-30 03:26:31.233929,2025-01-30 04:55:39.189968,0 days 01:29:07.956039,256,0.6,0.00018620086178380263,71,5,COMPLETE
7,0.14662877989001039,0.8522825346500914,2025-01-30 04:55:39.195841,2025-01-30 06:10:46.113482,0 days 01:15:06.917641,256,0.5,0.00024430747827384287,43,5,COMPLETE
8,0.4088156023373809,0.45270399951951346,2025-01-30 06:10:46.119302,2025-01-30 07:59:23.100664,0 days 01:48:36.981362,256,0.2,0.0008699839534359635,94,2,COMPLETE
9,0.11331230349037621,0.8978516034254153,2025-01-30 07:59:23.105998,2025-01-30 10:39:33.955116,0 days 02:40:10.849118,256,0.35,0.00014088844234988793,82,5,COMPLETE
10,0.436655851021779,0.44286231539099175,2025-01-30 10:39:33.957290,2025-01-30 11:25:03.267077,0 days 00:45:29.309787,256,0.9,0.0007795660720511969,95,2,COMPLETE
11,0.4290331495446969,0.44625757531279764,2025-01-30 11:25:03.271755,2025-01-30 12:02:49.674215,0 days 00:37:46.402460,256,0.95,0.0009289980090251456,100,2,COMPLETE
12,0.4148590470573742,0.4522881213983112,2025-01-30 12:02:49.677731,2025-01-30 12:29:36.568075,0 days 00:26:46.890344,256,0.95,0.0005343068362223917,42,2,COMPLETE
13,0.43398004029787807,0.44871201547998396,2025-01-30 12:29:36.572688,2025-01-30 13:15:37.260234,0 days 00:46:00.687546,256,0.95,0.0009571118078504418,78,1,COMPLETE
14,0.4251965865432904,0.45290329983942057,2025-01-30 13:15:37.264227,2025-01-30 14:55:51.910016,0 days 01:40:14.645789,256,0.8,0.0004788881250773655,81,1,COMPLETE
15,0.349352019938403,0.48462254576693775,2025-01-30 14:55:51.913637,2025-01-30 15:34:06.548594,0 days 00:38:14.634957,128,0.8,0.0006122305225996633,84,3,COMPLETE
16,0.31393506411922567,0.5305273622573631,2025-01-30 15:34:06.554579,2025-01-30 16:18:54.491057,0 days 00:44:47.936478,256,0.8,0.00043913986833270095,67,3,COMPLETE
17,0.42854635612182923,0.4525468426845013,2025-01-30 16:18:54.496013,2025-01-30 17:57:12.486937,0 days 01:38:17.990924,256,0.65,0.0006575101352245267,87,1,COMPLETE
18,0.26786567467461747,0.588790875673294,2025-01-30 17:57:12.491219,2025-01-30 19:02:39.403909,0 days 01:05:26.912690,128,0.30000000000000004,0.0002570296389926896,76,3,COMPLETE
