number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lasso_weight,params_lr,params_n_layers,params_neurons,state
0,0.3527914586242811,0.48860796339819385,2025-01-07 15:48:12.474384,2025-01-07 15:49:02.159247,0 days 00:00:49.684863,128,0.45,0.2575476572326257,0.00010160017402007072,3,1900,COMPLETE
1,0.48885823025074426,0.4226500430565773,2025-01-07 15:49:02.160295,2025-01-07 15:52:03.620090,0 days 00:03:01.459795,128,0.2,0.3119568510809539,0.0001348212123954629,1,1600,COMPLETE
2,0.4713470634213781,0.4334257641729706,2025-01-07 15:52:03.626884,2025-01-07 15:53:50.529615,0 days 00:01:46.902731,64,0.0,0.24972197074726168,0.00022915987895618246,1,1800,COMPLETE
3,0.48136342816921285,0.42699282142316236,2025-01-07 15:53:50.533497,2025-01-07 15:55:28.079162,0 days 00:01:37.545665,128,0.45,0.26263011122081575,0.00018767182751367432,1,1200,COMPLETE
4,0.3928979286470182,0.5153770454775184,2025-01-07 15:55:28.081883,2025-01-07 15:56:29.308441,0 days 00:01:01.226558,64,0.15000000000000002,0.3564338019283928,0.0008152473859528414,3,1500,COMPLETE
5,0.4494781469252015,0.48877085858833025,2025-01-07 15:56:29.316245,2025-01-07 15:57:49.946420,0 days 00:01:20.630175,16,0.2,0.07329793636807024,0.00044594106614862823,3,500,COMPLETE
6,0.4032688528838714,0.4689125831339367,2025-01-07 15:57:49.947253,2025-01-07 15:58:31.690670,0 days 00:00:41.743417,64,0.45,0.2870569280960407,0.00029462407306801285,2,1600,COMPLETE
7,0.49467432416842066,0.43216619236495485,2025-01-07 15:58:31.691564,2025-01-07 15:59:25.976898,0 days 00:00:54.285334,128,0.15000000000000002,0.24037311871291012,0.0004400677851022499,2,600,COMPLETE
8,0.28692335804980823,0.5467511954867048,2025-01-07 15:59:25.981126,2025-01-07 16:00:05.490689,0 days 00:00:39.509563,32,0.45,0.29898830492746914,0.00034387587189280865,2,2000,COMPLETE
9,0.4043228108056474,0.47083195980662057,2025-01-07 16:00:05.491653,2025-01-07 16:01:01.103430,0 days 00:00:55.611777,16,0.45,0.39265043054942145,0.0002427313626552423,1,200,COMPLETE
10,0.48349621905327905,0.42496054885973467,2025-01-07 16:01:01.104323,2025-01-07 16:02:54.058034,0 days 00:01:52.953711,32,0.30000000000000004,0.1669210293469993,0.00010939642056545069,1,1100,COMPLETE
11,0.5087701995046422,0.4149920214460246,2025-01-07 16:02:54.058918,2025-01-07 16:04:41.794914,0 days 00:01:47.735996,128,0.1,0.1685573167410544,0.00014937915245208578,2,600,COMPLETE
12,0.4963645273356012,0.42053313349042404,2025-01-07 16:04:41.798913,2025-01-07 16:06:06.076501,0 days 00:01:24.277588,128,0.0,0.1618476470788422,0.00014090166691787452,2,800,COMPLETE
13,0.4969913272501672,0.41853950924971495,2025-01-07 16:06:06.081101,2025-01-07 16:07:33.712597,0 days 00:01:27.631496,128,0.0,0.1526649044537364,0.00015717428368895224,2,700,COMPLETE
14,0.5091696894081792,0.4195310127048403,2025-01-07 16:07:33.713235,2025-01-07 16:10:29.675314,0 days 00:02:55.962079,128,0.1,0.090602421710111,0.000168931188545705,2,100,COMPLETE
15,0.5083480029240186,0.4135894155845352,2025-01-07 16:10:29.676244,2025-01-07 16:12:43.938652,0 days 00:02:14.262408,32,0.1,0.005671636551764031,0.00016455902182076792,2,100,COMPLETE
16,0.45133494022971626,0.44780911266729245,2025-01-07 16:12:43.939493,2025-01-07 16:14:13.673997,0 days 00:01:29.734504,32,0.30000000000000004,0.0002495473063839704,0.0001956885303350008,3,100,COMPLETE
17,0.5186073712225596,0.40964017730555813,2025-01-07 16:14:13.674588,2025-01-07 16:17:05.585647,0 days 00:02:51.911059,32,0.1,0.007141604253742578,0.0001003766745310748,2,300,COMPLETE
18,0.43766022751254274,0.44782936545927204,2025-01-07 16:17:05.586727,2025-01-07 16:18:26.883367,0 days 00:01:21.296640,32,0.35000000000000003,0.01900808482146113,0.00010117715052736872,3,400,COMPLETE
19,0.5050976688371651,0.41623029977812803,2025-01-07 16:18:26.884420,2025-01-07 16:20:19.148176,0 days 00:01:52.263756,32,0.05,0.05826755923716262,0.00012181337416881601,2,900,COMPLETE
20,0.46846662931607613,0.4381500114080549,2025-01-07 16:20:19.149180,2025-01-07 16:21:24.258970,0 days 00:01:05.109790,32,0.25,0.10561646291097199,0.0001238388029643493,2,1300,COMPLETE
21,0.520440929512044,0.4083812677778133,2025-01-07 16:21:24.260098,2025-01-07 16:24:14.677292,0 days 00:02:50.417194,32,0.1,0.03131995499152798,0.00010185589623462561,2,300,COMPLETE
22,0.4873724912933165,0.4333178338295472,2025-01-07 16:24:14.686037,2025-01-07 16:26:40.899062,0 days 00:02:26.213025,32,0.1,0.20979101987997098,0.00010043950564530298,2,400,COMPLETE
23,0.4453472110038524,0.4494528837167052,2025-01-07 16:26:40.900015,2025-01-07 16:28:03.547758,0 days 00:01:22.647743,16,0.35000000000000003,0.04396716661321376,0.00012488183749156178,2,900,COMPLETE
24,0.5098791862338187,0.41461097580059497,2025-01-07 16:28:03.548791,2025-01-07 16:29:35.810184,0 days 00:01:32.261393,32,0.05,0.10315808501012078,0.0009497720810389104,1,300,COMPLETE
25,0.49579818984934043,0.4197721479409081,2025-01-07 16:29:35.817213,2025-01-07 16:31:42.482566,0 days 00:02:06.665353,32,0.05,0.11663194878303146,0.0002192782314952343,1,300,COMPLETE
26,0.45267748892727555,0.46017884825067784,2025-01-07 16:31:42.493620,2025-01-07 16:33:09.642757,0 days 00:01:27.149137,16,0.2,0.03407656659859173,0.00027680051266366196,3,300,COMPLETE
27,0.4660829230756388,0.43376913272353174,2025-01-07 16:33:09.643769,2025-01-07 16:34:16.877595,0 days 00:01:07.233826,64,0.5,0.07104121040360555,0.00018927089970994027,1,500,COMPLETE
28,0.5239143988684731,0.40794948778331924,2025-01-07 16:34:16.881558,2025-01-07 16:35:56.581147,0 days 00:01:39.699589,32,0.05,0.035028559000951,0.0003477502294681222,3,300,COMPLETE
29,0.4665237752466088,0.44803868250887585,2025-01-07 16:35:56.581897,2025-01-07 16:37:10.597147,0 days 00:01:14.015250,32,0.15000000000000002,0.1316628446933455,0.0003616398796210951,3,1400,COMPLETE
30,0.4650429298291138,0.44316871175376055,2025-01-07 16:37:10.598193,2025-01-07 17:19:38.291124,0 days 00:42:27.692931,16,0.05,0.20034305914846146,0.000613592563899504,3,1800,COMPLETE
31,0.5221609869454287,0.41050107077634823,2025-01-07 17:19:38.292209,2025-01-07 17:20:58.371923,0 days 00:01:20.079714,32,0.05,0.032233045694086554,0.0009478006990421137,3,1000,COMPLETE
32,0.5278479213276681,0.40842928789820043,2025-01-07 17:20:58.380224,2025-01-07 17:22:58.107742,0 days 00:01:59.727518,32,0.0,0.04066448433536021,0.0005722745875925819,3,1000,COMPLETE
33,0.5198146609895274,0.41002835682719574,2025-01-07 17:22:58.116162,2025-01-07 17:24:25.727883,0 days 00:01:27.611721,64,0.0,0.03908771429715092,0.0006187033005643531,3,1000,COMPLETE
34,0.5055298262337045,0.4207000234446639,2025-01-07 17:24:25.728704,2025-01-07 17:38:51.226137,0 days 00:14:25.497433,32,0.0,0.08452997755021197,0.0005834775011459507,3,1100,COMPLETE
35,0.5049325575702686,0.4209557805129799,2025-01-07 17:38:51.227256,2025-01-07 17:40:24.846869,0 days 00:01:33.619613,32,0.0,0.12332419895053032,0.0007206183632207226,3,1200,COMPLETE
