number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_n_layers,params_neurons,state
0,0.4563857693516941,0.44269538422389376,2024-12-11 17:53:55.675675,2024-12-11 17:54:27.344290,0 days 00:00:31.668615,32,0.05,0.00023047472579416724,1,300,COMPLETE
1,0.42747335201684267,0.4582368819414583,2024-12-11 17:54:27.347368,2024-12-11 17:55:07.831564,0 days 00:00:40.484196,32,0.5,0.00010330009300738531,3,1300,COMPLETE
2,0.4673415012899974,0.4439609330971049,2024-12-11 17:55:07.832594,2024-12-11 17:56:09.350473,0 days 00:01:01.517879,16,0.2,0.0003467176595106207,1,1600,COMPLETE
3,0.48265621424794414,0.4342607082319819,2024-12-11 17:56:09.357083,2024-12-11 17:56:51.751303,0 days 00:00:42.394220,16,0.1,0.0005462220501685073,1,300,COMPLETE
4,0.46491154212695474,0.4447295510605735,2024-12-11 17:56:51.756838,2024-12-11 17:57:25.446627,0 days 00:00:33.689789,128,0.35000000000000003,0.00031137258607142536,3,600,COMPLETE
5,0.4921308968375552,0.4246718428096635,2024-12-11 17:57:25.447300,2024-12-11 17:58:11.707898,0 days 00:00:46.260598,32,0.30000000000000004,0.00011516982743893299,2,1300,COMPLETE
6,0.5086806733857335,0.4235661330800934,2024-12-11 17:58:11.708760,2024-12-11 17:58:53.417449,0 days 00:00:41.708689,128,0.0,0.0008907777072405924,3,1600,COMPLETE
7,0.47115628851621605,0.4329323755967619,2024-12-11 17:58:53.418427,2024-12-11 17:59:29.599206,0 days 00:00:36.180779,128,0.1,0.00024507217485568905,2,1000,COMPLETE
8,0.4687692441973099,0.44991047973745973,2024-12-11 17:59:29.603540,2024-12-11 18:00:11.617299,0 days 00:00:42.013759,32,0.30000000000000004,0.00017757373417374753,3,1600,COMPLETE
9,0.5100182997185425,0.4151995243374323,2024-12-11 18:00:11.618304,2024-12-11 18:00:56.445489,0 days 00:00:44.827185,16,0.15000000000000002,0.0004786982280248127,2,100,COMPLETE
10,0.4893447855114923,0.4237472855588759,2024-12-11 18:00:56.453525,2024-12-11 18:01:34.704459,0 days 00:00:38.250934,64,0.2,0.0005445719944089944,2,100,COMPLETE
11,0.5390424960292711,0.3987482675730706,2024-12-11 18:01:34.712900,2024-12-11 18:02:54.190276,0 days 00:01:19.477376,16,0.0,0.0009579890864242714,2,700,COMPLETE
12,0.5433202569135924,0.3992329290864106,2024-12-11 18:02:54.199701,2024-12-11 18:04:22.608766,0 days 00:01:28.409065,16,0.0,0.0009642166502542,2,800,COMPLETE
13,0.29677792684884186,0.8683344241329717,2024-12-11 18:04:22.609694,2024-12-11 18:04:51.531284,0 days 00:00:28.921590,16,0.45,0.0009784578595574812,2,800,COMPLETE
14,0.4655815688714875,0.44225782104625333,2024-12-11 18:04:51.532064,2024-12-11 18:05:21.698861,0 days 00:00:30.166797,64,0.0,0.0007647541597377467,1,700,COMPLETE
15,0.32189477213926826,0.8217191562156202,2024-12-11 18:05:21.705044,2024-12-11 18:05:53.009744,0 days 00:00:31.304700,16,0.4,0.0007507128142738015,2,1900,COMPLETE
16,0.5028447970602329,0.43045914731364016,2024-12-11 18:05:53.020380,2024-12-11 18:06:45.484172,0 days 00:00:52.463792,16,0.1,0.0009760826104346972,2,1000,COMPLETE
17,0.4779722779035291,0.44224365071509286,2024-12-11 18:06:45.489262,2024-12-11 18:07:15.480522,0 days 00:00:29.991260,64,0.25,0.0006784011938647688,2,500,COMPLETE
18,0.45704844642547887,0.4385148751147595,2024-12-11 18:07:15.481358,2024-12-11 18:07:56.413859,0 days 00:00:40.932501,16,0.0,0.0006256221150785032,1,1300,COMPLETE
19,0.4553091314287078,0.4746216073391955,2024-12-11 18:07:56.421265,2024-12-11 18:08:42.422231,0 days 00:00:46.000966,16,0.2,0.0004560506685070062,3,900,COMPLETE
20,0.5317658430973593,0.4118659561948864,2024-12-11 18:08:42.423081,2024-12-11 18:10:09.253906,0 days 00:01:26.830825,16,0.05,0.0008018828961703803,2,400,COMPLETE
21,0.5297348621462878,0.41065869842492325,2024-12-11 18:10:09.259897,2024-12-11 18:11:20.738603,0 days 00:01:11.478706,16,0.05,0.0007792980588924407,2,500,COMPLETE
22,0.522408521177934,0.41588202411176944,2024-12-11 18:11:20.739349,2024-12-11 18:12:31.292604,0 days 00:01:10.553255,16,0.05,0.0009896098195336244,2,1200,COMPLETE
23,0.4932220471358163,0.42368578549802055,2024-12-11 18:12:31.302520,2024-12-11 18:13:08.934641,0 days 00:00:37.632121,64,0.0,0.0008197001229226299,2,800,COMPLETE
24,0.4950458502440417,0.42358281190064295,2024-12-11 18:13:08.944697,2024-12-11 18:13:51.230713,0 days 00:00:42.286016,128,0.05,0.0006539343289541406,3,2000,COMPLETE
25,0.47540814289908606,0.4408898020917066,2024-12-11 18:13:51.231857,2024-12-11 18:14:28.346591,0 days 00:00:37.114734,16,0.15000000000000002,0.0008557346890342709,1,1100,COMPLETE
26,0.5418640195415609,0.3970232146345545,2024-12-11 18:14:28.349374,2024-12-11 18:16:22.311400,0 days 00:01:53.962026,16,0.0,0.0006530146775879172,2,400,COMPLETE
27,0.49527034415563553,0.42831499115453875,2024-12-11 18:16:22.315499,2024-12-11 18:17:09.232589,0 days 00:00:46.917090,16,0.15000000000000002,0.0004008071666411194,2,300,COMPLETE
28,0.46287279623292044,0.4795082798970066,2024-12-11 18:17:09.233418,2024-12-11 18:17:48.397991,0 days 00:00:39.164573,16,0.25,0.0005936522141492864,2,600,COMPLETE
29,0.4611755042489265,0.452866041765677,2024-12-11 18:17:48.398793,2024-12-11 18:18:17.923271,0 days 00:00:29.524478,32,0.4,0.0006721285230831695,1,200,COMPLETE
30,0.50309161576845,0.42278004038976913,2024-12-11 18:18:17.928811,2024-12-11 18:19:03.088959,0 days 00:00:45.160148,64,0.1,0.000520928796394323,3,500,COMPLETE
31,0.5168878510954411,0.41329066925166186,2024-12-11 18:19:03.094358,2024-12-11 18:20:30.111245,0 days 00:01:27.016887,16,0.05,0.0004406971200116799,2,400,COMPLETE
32,0.5170064805799747,0.411484099571905,2024-12-11 18:20:30.112252,2024-12-11 18:21:31.989602,0 days 00:01:01.877350,32,0.0,0.0007240627048263241,2,700,COMPLETE
33,0.5124577503887747,0.4141229612283028,2024-12-11 18:21:31.999558,2024-12-11 18:22:58.222784,0 days 00:01:26.223226,16,0.05,0.0005864208855851362,2,400,COMPLETE
34,0.42536091660898573,0.4968898015055133,2024-12-11 18:22:58.232364,2024-12-11 18:23:31.251215,0 days 00:00:33.018851,16,0.5,0.0008588478098731938,1,800,COMPLETE
35,0.4480556063555269,0.44370814178704343,2024-12-11 18:23:31.252076,2024-12-11 18:24:01.423155,0 days 00:00:30.171079,128,0.0,0.0003473491943411577,1,200,COMPLETE
36,0.5128303616508726,0.42094253814284066,2024-12-11 18:24:01.428364,2024-12-11 18:25:23.675537,0 days 00:01:22.247173,16,0.1,0.00039703203503484586,3,600,COMPLETE
37,0.4961309780035578,0.42527688806377373,2024-12-11 18:25:23.676528,2024-12-11 18:26:01.773771,0 days 00:00:38.097243,32,0.0,0.0005347455659448355,2,400,COMPLETE
38,0.4853844786501994,0.4293858605377571,2024-12-11 18:26:01.774636,2024-12-11 18:26:37.515864,0 days 00:00:35.741228,128,0.05,0.0002835654286557469,2,1500,COMPLETE
39,0.5197881341265236,0.41441370475748274,2024-12-11 18:26:37.520531,2024-12-11 18:27:37.093634,0 days 00:00:59.573103,16,0.0,0.0002057734778084489,3,900,COMPLETE
40,0.5351428537093763,0.4047377763762198,2024-12-11 18:27:37.100566,2024-12-11 18:29:18.759745,0 days 00:01:41.659179,16,0.05,0.0008898754409185812,2,200,COMPLETE
