number,values_0,values_1,datetime_start,datetime_complete,duration,params_BN,params_aggregation,params_batch_size,params_depth,params_dropout_bond,params_dropout_ffn,params_hidden_bond,params_hidden_ffn,params_init_lr,params_layer,params_warmup_epochs,state
0,0.6029079123495028,0.4077610671520233,2024-12-19 08:09:38.701065,2024-12-19 08:16:46.687593,0 days 00:07:07.986528,True,sum,64,1,0.4,0.2,1000,100,0.0006904985535600129,5,9,COMPLETE
1,0.6099827488952269,0.38606899976730347,2024-12-19 08:16:46.689596,2024-12-19 08:27:46.680218,0 days 00:10:59.990622,False,mean,64,3,0.4,0.15000000000000002,1000,1500,0.00011814794175703487,2,5,COMPLETE
2,0.4655703644117679,0.5579965114593506,2024-12-19 08:27:46.683536,2024-12-19 08:35:32.421407,0 days 00:07:45.737871,True,sum,16,4,0.5,0.5,500,900,0.0005527668332121003,2,6,COMPLETE
3,0.623088978457635,0.4054325819015503,2024-12-19 08:35:32.461105,2024-12-19 08:45:59.786510,0 days 00:10:27.325405,False,norm,128,3,0.25,0.30000000000000004,800,500,0.00041955516216722285,4,7,COMPLETE
4,0.6516082999770861,0.35198619961738586,2024-12-19 08:45:59.817554,2024-12-19 08:51:55.100686,0 days 00:05:55.283132,True,norm,64,1,0.1,0.0,600,200,0.0004985799626480548,3,10,COMPLETE
5,0.2388004539302774,0.5520617961883545,2024-12-19 08:51:55.148653,2024-12-19 09:06:39.027719,0 days 00:14:43.879066,True,mean,16,3,0.5,0.4,700,200,0.0001111911778452185,5,10,COMPLETE
6,0.240674243673578,0.5585388541221619,2024-12-19 09:06:39.030232,2024-12-19 09:14:09.381432,0 days 00:07:30.351200,False,mean,64,2,0.25,0.35000000000000003,300,200,0.000511776918244172,5,7,COMPLETE
7,0.3303860233358793,0.57016521692276,2024-12-19 09:14:09.389425,2024-12-19 09:21:13.932554,0 days 00:07:04.543129,True,mean,32,3,0.5,0.35000000000000003,500,200,0.0003437029716895556,4,9,COMPLETE
8,0.024566996524184086,2.55470871925354,2024-12-19 09:21:13.934638,2024-12-19 09:35:34.679887,0 days 00:14:20.745249,False,sum,64,3,0.4,0.15000000000000002,300,1900,0.00015011001703076125,3,2,COMPLETE
9,0.06987636934958817,0.6216041445732117,2024-12-19 09:35:34.734688,2024-12-19 09:47:30.589573,0 days 00:11:55.854885,True,mean,64,1,0.2,0.30000000000000004,700,700,0.0002830936012476895,5,8,COMPLETE
10,0.47310302469035953,0.44869112968444824,2024-12-19 09:47:30.593088,2024-12-19 09:56:27.797076,0 days 00:08:57.203988,True,norm,128,1,0.0,0.0,100,1300,0.0009862573958457485,1,4,COMPLETE
11,0.11574106701918463,0.6355302929878235,2024-12-19 09:56:27.848288,2024-12-19 10:07:49.788506,0 days 00:11:21.940218,True,norm,32,5,0.05,0.0,1000,1400,0.0002628319800911705,3,4,COMPLETE
12,0.6121840174654276,0.46565020084381104,2024-12-19 10:07:49.836777,2024-12-19 10:19:06.523552,0 days 00:11:16.686775,False,norm,64,2,0.1,0.1,300,2000,0.0007686774645797478,2,10,COMPLETE
13,0.45793850225355753,0.4491674602031708,2024-12-19 10:19:06.525040,2024-12-19 10:29:04.685182,0 days 00:09:58.160142,True,norm,64,2,0.15000000000000002,0.1,800,1200,0.00022192510431794007,3,5,COMPLETE
14,0.44430611265273473,0.8356654047966003,2024-12-19 10:29:04.689371,2024-12-19 10:37:15.857803,0 days 00:08:11.168432,True,norm,16,5,0.0,0.05,600,1600,0.00039458051439128977,2,3,COMPLETE
15,0.5156529433490911,0.438813179731369,2024-12-19 10:37:15.907729,2024-12-19 10:47:31.522730,0 days 00:10:15.615001,False,norm,128,4,0.1,0.2,100,500,0.000535064691708713,1,8,COMPLETE
16,0.3376404069652137,0.5061599016189575,2024-12-19 10:47:31.569410,2024-12-19 10:54:21.418945,0 days 00:06:49.849535,True,norm,32,2,0.30000000000000004,0.0,400,1000,0.00022330188052147637,4,6,COMPLETE
17,0.6246136488307444,0.38152849674224854,2024-12-19 10:54:21.423054,2024-12-19 11:00:08.337499,0 days 00:05:46.914445,True,sum,64,1,0.15000000000000002,0.1,900,500,0.00041282641243329426,2,10,COMPLETE
18,0.4495458527383194,0.4626941680908203,2024-12-19 11:00:08.341624,2024-12-19 11:06:49.568523,0 days 00:06:41.226899,True,sum,64,1,0.15000000000000002,0.05,800,500,0.0004119148524673801,4,9,COMPLETE
19,0.51385996550561,0.4763084352016449,2024-12-19 11:06:49.621823,2024-12-19 11:15:57.143068,0 days 00:09:07.521245,True,norm,16,1,0.1,0.5,600,700,0.0006573521209912637,3,10,COMPLETE
20,0.4958729030489027,0.5085350871086121,2024-12-19 11:15:57.194479,2024-12-19 11:23:54.481514,0 days 00:07:57.287035,True,norm,128,2,0.30000000000000004,0.05,400,400,0.0003192744083561411,1,8,COMPLETE
21,0.5452583972127764,0.41377976536750793,2024-12-19 11:23:54.532888,2024-12-19 11:35:47.331559,0 days 00:11:52.798671,False,norm,64,1,0.05,0.1,900,300,0.0009340736344366006,2,5,COMPLETE
22,0.2596595057960466,0.5589811205863953,2024-12-19 11:35:47.385164,2024-12-19 11:42:26.161809,0 days 00:06:38.776645,True,sum,64,1,0.15000000000000002,0.0,200,700,0.00045042826336013297,3,2,COMPLETE
23,0.3279914754439855,0.5498440861701965,2024-12-19 11:42:26.165467,2024-12-19 11:51:42.872467,0 days 00:09:16.707000,False,mean,32,4,0.05,0.05,700,100,0.0006009933483998585,3,7,COMPLETE
24,0.6929794974022307,0.34234073758125305,2024-12-19 11:51:42.874403,2024-12-19 12:01:05.161178,0 days 00:09:22.286775,True,norm,64,2,0.2,0.15000000000000002,400,400,0.0007880070113807897,2,5,COMPLETE
25,0.5007232883927265,0.4417630732059479,2024-12-19 12:01:05.164379,2024-12-19 12:08:29.529302,0 days 00:07:24.364923,True,norm,64,2,0.2,0.2,400,800,0.0008058525066445392,1,4,COMPLETE
26,0.5576187923235305,0.4288635849952698,2024-12-19 12:08:29.577586,2024-12-19 12:19:21.725992,0 days 00:10:52.148406,True,norm,64,2,0.30000000000000004,0.25,200,1700,0.000850170498418617,2,3,COMPLETE
27,0.6173883147996173,0.3978002369403839,2024-12-19 12:19:21.730316,2024-12-19 12:27:33.630468,0 days 00:08:11.900152,True,sum,128,4,0.35000000000000003,0.15000000000000002,500,1100,0.0007101069414927549,2,6,COMPLETE
28,0.49396514439577194,0.4759690463542938,2024-12-19 12:27:33.633823,2024-12-19 12:35:16.698845,0 days 00:07:43.065022,True,norm,32,2,0.25,0.25,200,400,0.0008603282121158646,1,3,COMPLETE
29,0.6137902352637884,0.4530335068702698,2024-12-19 12:35:16.740401,2024-12-19 12:46:38.695092,0 days 00:11:21.954691,True,sum,16,3,0.2,0.2,400,600,0.0006875240840088245,2,5,COMPLETE
30,0.6562528651180964,0.37521690130233765,2024-12-19 12:46:38.747970,2024-12-19 12:56:35.267223,0 days 00:09:56.519253,False,norm,64,5,0.4,0.4,600,100,0.0006235210993132465,1,6,COMPLETE
31,0.4384894397852466,0.47651049494743347,2024-12-19 12:56:35.271808,2024-12-19 13:07:23.379195,0 days 00:10:48.107387,True,norm,64,5,0.2,0.45,300,300,0.0006071289784465439,1,6,COMPLETE
32,0.6309370060833506,0.38912340998649597,2024-12-19 13:07:23.387214,2024-12-19 13:18:43.533193,0 days 00:11:20.145979,False,mean,64,3,0.35000000000000003,0.15000000000000002,500,100,0.0007474933686342853,2,5,COMPLETE
33,0.46341800574390696,0.4537992775440216,2024-12-19 13:18:43.536744,2024-12-19 13:29:42.835617,0 days 00:10:59.298873,True,norm,64,2,0.45,0.25,600,900,0.0008784387341205041,3,4,COMPLETE
34,,,2024-12-19 13:29:42.845874,2024-12-19 13:42:39.049052,0 days 00:12:56.203178,False,sum,16,4,0.25,0.15000000000000002,400,400,0.0009985169423146084,2,7,FAIL
35,,,2024-12-19 13:42:39.053022,2024-12-19 13:53:14.612052,0 days 00:10:35.559030,False,sum,16,4,0.25,0.15000000000000002,400,400,0.0004971156444023609,2,7,FAIL
36,,,2024-12-19 13:53:14.617824,2024-12-19 14:03:23.586585,0 days 00:10:08.968761,False,sum,16,4,0.25,0.15000000000000002,400,400,0.0009924440962277201,2,7,FAIL
37,,,2024-12-19 14:03:23.652928,2024-12-19 14:15:01.829989,0 days 00:11:38.177061,False,sum,16,4,0.25,0.15000000000000002,400,400,0.0009537892626349074,2,7,FAIL
