number,values_0,values_1,datetime_start,datetime_complete,duration,params_average_before_softmax,params_n_estimators,params_softmax_temperature,state
0,0.5099271872097028,0.41074404388189023,2025-01-14 21:50:48.544828,2025-01-14 22:22:58.332850,0 days 00:32:09.788022,True,98,0.634542414685644,COMPLETE
1,0.4950311122234135,0.4336393433164777,2025-01-14 22:22:58.334169,2025-01-14 22:26:01.211304,0 days 00:03:02.877135,True,9,0.38806872233522005,COMPLETE
2,0.4534050461225516,0.495928993305179,2025-01-14 22:26:01.212370,2025-01-14 22:39:22.934292,0 days 00:13:21.721922,True,40,0.14554633581402787,COMPLETE
3,0.5144284533101835,0.41142966102003325,2025-01-14 22:39:22.935506,2025-01-14 22:49:15.314718,0 days 00:09:52.379212,False,30,0.9777563728093771,COMPLETE
4,0.511577467945594,0.40801967797292893,2025-01-14 22:49:15.315936,2025-01-14 22:53:52.029055,0 days 00:04:36.713119,False,14,0.7404632399475933,COMPLETE
5,0.4990222161482244,0.4302486463658882,2025-01-14 22:53:52.030140,2025-01-14 23:04:42.470039,0 days 00:10:50.439899,False,33,0.3949985944143644,COMPLETE
6,0.4742712442687673,0.46549429657633656,2025-01-14 23:04:42.471273,2025-01-14 23:11:51.905592,0 days 00:07:09.434319,True,21,0.2387905557290948,COMPLETE
7,0.513230731621474,0.41222918449204043,2025-01-14 23:11:51.906703,2025-01-14 23:29:51.166604,0 days 00:17:59.259901,True,54,0.9769004647677244,COMPLETE
8,0.5129914231551449,0.40810445654488847,2025-01-14 23:29:51.167896,2025-01-14 23:51:40.291183,0 days 00:21:49.123287,True,66,0.7428728631284429,COMPLETE
9,0.5144284964728271,0.4092081395523112,2025-01-14 23:51:40.292483,2025-01-15 00:22:02.579498,0 days 00:30:22.287015,True,93,0.8906381446798993,COMPLETE
10,0.513923989107227,0.40803444652824516,2025-01-15 00:22:02.580871,2025-01-15 00:55:14.286571,0 days 00:33:11.705700,False,100,0.8295771852584172,COMPLETE
11,0.5138928403398484,0.40798824286755836,2025-01-15 00:55:14.287965,2025-01-15 01:28:08.339605,0 days 00:32:54.051640,False,100,0.825850653702588,COMPLETE
12,0.5085951761141337,0.41354575800946636,2025-01-15 01:28:08.340985,2025-01-15 01:54:33.614512,0 days 00:26:25.273527,False,79,0.5714793826323256,COMPLETE
13,0.5146794610738887,0.4085517036250961,2025-01-15 01:54:33.615607,2025-01-15 02:22:30.863038,0 days 00:27:57.247431,False,83,0.8586528067208797,COMPLETE
14,0.5128763204515435,0.4081325101825205,2025-01-15 02:22:30.864458,2025-01-15 02:52:52.191308,0 days 00:30:21.326850,False,80,0.7381081999683625,COMPLETE
15,0.5143628363274019,0.4086282244592262,2025-01-15 02:52:52.192635,2025-01-15 03:25:17.767442,0 days 00:32:25.574807,False,81,0.8603965004016754,COMPLETE
16,0.515052419589112,0.4119204952760943,2025-01-15 03:25:17.768821,2025-01-15 03:48:38.300203,0 days 00:23:20.531382,False,63,0.9999075899306209,COMPLETE
17,0.511018820402585,0.4103318801026653,2025-01-15 03:48:38.301529,2025-01-15 04:22:04.516209,0 days 00:33:26.214680,False,87,0.6290881166854416,COMPLETE
18,0.5146179009364065,0.40761980017267,2025-01-15 04:22:04.517404,2025-01-15 04:47:49.894620,0 days 00:25:45.377216,False,67,0.8161340402005319,COMPLETE
19,0.5047462731136443,0.42158970909970994,2025-01-15 04:47:49.896014,2025-01-15 05:21:26.200242,0 days 00:33:36.304228,False,61,0.46339593810706636,COMPLETE
20,0.4717003675750064,0.4863208702357219,2025-01-15 05:21:26.201529,2025-01-15 06:03:13.263356,0 days 00:41:47.061827,False,69,0.06802275327590007,COMPLETE
21,0.513124445821066,0.41219553846158224,2025-01-15 06:03:13.264644,2025-01-15 06:35:04.979298,0 days 00:31:51.714654,False,51,0.9767897900772191,COMPLETE
22,0.505323428721335,0.4179191821896306,2025-01-15 06:35:04.980668,2025-01-15 07:01:02.399871,0 days 00:25:57.419203,False,43,0.5159685715801522,COMPLETE
23,0.5120767476981672,0.4091742459994469,2025-01-15 07:01:02.400944,2025-01-15 07:44:05.463307,0 days 00:43:03.062363,False,71,0.6553964468992066,COMPLETE
24,0.5139116559742916,0.40999023128558454,2025-01-15 07:44:05.464278,2025-01-15 08:19:29.139374,0 days 00:35:23.675096,False,59,0.9036105446163263,COMPLETE
