number,values_0,values_1,datetime_start,datetime_complete,duration,params_amount_heads,params_attn_dropout,params_batch_size,params_dropout,params_encoder_output_dim,params_ff_dropout,params_head_dim,params_layer_norm,params_lr,params_n_layers,params_neurons,params_transformer_depth,state
0,0.46575039625167847,0.4349118173122406,2025-01-18 09:44:04.393880,2025-01-18 10:06:19.214391,0 days 00:22:14.820511,3,0.05,32,0.30000000000000004,184,0.2,110,1,0.00022434495790452978,2,500,5,COMPLETE
1,0.46050557494163513,0.43828707933425903,2025-01-18 10:06:19.215619,2025-01-18 10:25:04.971654,0 days 00:18:45.756035,3,0.30000000000000004,16,0.2,139,0.4,101,0,0.00010607799251805001,3,1200,5,COMPLETE
2,0.35881760716438293,0.48180538415908813,2025-01-18 10:25:04.972955,2025-01-18 10:35:26.063484,0 days 00:10:21.090529,3,0.5,16,0.45,239,0.30000000000000004,54,1,0.0006708556745964887,1,500,3,COMPLETE
3,0.2564614415168762,0.5254608392715454,2025-01-18 10:35:26.064658,2025-01-18 10:43:12.431565,0 days 00:07:46.366907,4,0.4,16,0.1,159,0.35000000000000003,96,0,0.0011989456051054446,3,600,3,COMPLETE
4,0.36021119356155396,0.4814697206020355,2025-01-18 10:43:12.432575,2025-01-18 10:58:34.202514,0 days 00:15:21.769939,4,0.15000000000000002,16,0.0,274,0.05,69,0,0.0016981463445732447,2,1900,4,COMPLETE
5,0.45593029260635376,0.4393675923347473,2025-01-18 10:58:34.203432,2025-01-18 11:19:06.512163,0 days 00:20:32.308731,5,0.0,32,0.2,176,0.15000000000000002,42,1,0.0005862948328538432,1,900,5,COMPLETE
6,0.06314191967248917,0.6046739816665649,2025-01-18 11:19:06.513007,2025-01-18 11:21:09.974782,0 days 00:02:03.461775,4,0.2,64,0.1,164,0.1,32,1,0.008894243832746767,2,1700,2,COMPLETE
7,-0.0006711959722451866,0.6336020231246948,2025-01-18 11:21:09.975910,2025-01-18 11:26:29.286255,0 days 00:05:19.310345,5,0.25,16,0.1,227,0.05,67,1,0.003964499806950964,3,700,3,COMPLETE
8,0.4776594638824463,0.4309099316596985,2025-01-18 11:26:29.287490,2025-01-18 11:37:15.383645,0 days 00:10:46.096155,5,0.5,16,0.15000000000000002,151,0.4,40,0,0.0003159914061472097,1,1800,3,COMPLETE
9,0.2672741413116455,0.5194646120071411,2025-01-18 11:37:15.384571,2025-01-18 11:48:11.762130,0 days 00:10:56.377559,4,0.05,128,0.30000000000000004,160,0.45,37,0,0.0012242470371360956,3,700,5,COMPLETE
10,0.4429704546928406,0.44520488381385803,2025-01-18 11:48:11.763000,2025-01-18 11:54:08.197144,0 days 00:05:56.434144,2,0.5,128,0.45,128,0.5,82,0,0.0002711194507952064,1,1400,2,COMPLETE
11,0.4822288453578949,0.4265570640563965,2025-01-18 11:54:08.197972,2025-01-18 12:20:32.718863,0 days 00:26:24.520891,5,0.35000000000000003,32,0.30000000000000004,200,0.25,110,0,0.00026515524328303184,2,100,4,COMPLETE
12,0.4558590054512024,0.4418887197971344,2025-01-18 12:20:32.719772,2025-01-18 12:43:38.163974,0 days 00:23:05.444202,5,0.35000000000000003,32,0.35000000000000003,211,0.25,126,0,0.0002615354907960836,2,100,4,COMPLETE
13,0.4503060281276703,0.4432399272918701,2025-01-18 12:43:38.164894,2025-01-18 13:20:48.562886,0 days 00:37:10.397992,5,0.4,32,0.4,294,0.25,128,0,0.00011230238358048783,2,100,4,COMPLETE
14,0.46993541717529297,0.4332975745201111,2025-01-18 13:20:48.563865,2025-01-18 13:34:23.807005,0 days 00:13:35.243140,2,0.4,64,0.5,202,0.35000000000000003,112,0,0.00038148628021522575,1,1500,4,COMPLETE
15,0.43523597717285156,0.4495053291320801,2025-01-18 13:34:23.807905,2025-01-18 13:49:29.627175,0 days 00:15:05.819270,5,0.15000000000000002,32,0.25,254,0.15000000000000002,87,0,0.00016900840461001181,2,300,3,COMPLETE
16,0.47122669219970703,0.431950181722641,2025-01-18 13:49:29.628352,2025-01-18 14:13:20.996812,0 days 00:23:51.368460,5,0.30000000000000004,32,0.35000000000000003,253,0.0,114,0,0.00044521940894079475,1,1100,4,COMPLETE
17,0.44049471616744995,0.44705191254615784,2025-01-18 14:13:20.997940,2025-01-18 14:22:13.144362,0 days 00:08:52.146422,4,0.45,128,0.25,196,0.25,95,0,0.0006914513773803343,3,900,2,COMPLETE
18,0.4634052813053131,0.4356544613838196,2025-01-18 14:22:13.145159,2025-01-18 14:51:21.260484,0 days 00:29:08.115325,5,0.30000000000000004,64,0.0,225,0.35000000000000003,69,1,0.00016688245827219976,2,2000,4,COMPLETE
19,0.46081918478012085,0.4334923326969147,2025-01-18 14:51:21.261354,2025-01-18 15:09:04.632572,0 days 00:17:43.371218,4,0.25,32,0.15000000000000002,298,0.2,105,0,0.0003666325350883394,1,300,3,COMPLETE
20,-0.000878024089615792,0.6341502070426941,2025-01-18 15:09:04.633413,2025-01-18 15:15:07.287689,0 days 00:06:02.654276,2,0.35000000000000003,32,0.35000000000000003,190,0.30000000000000004,120,1,0.0023190986744817455,3,1300,5,COMPLETE
21,0.45286959409713745,0.4418472349643707,2025-01-18 15:15:07.288920,2025-01-18 15:33:31.854187,0 days 00:18:24.565267,5,0.15000000000000002,32,0.35000000000000003,256,0.0,89,0,0.0004313689151200479,1,1000,4,COMPLETE
22,0.43595796823501587,0.44942110776901245,2025-01-18 15:33:31.855135,2025-01-18 15:51:43.858181,0 days 00:18:12.003046,5,0.45,32,0.30000000000000004,217,0.5,116,0,0.0008352048825505808,2,300,4,COMPLETE
23,0.4422311782836914,0.44350019097328186,2025-01-18 15:51:43.859126,2025-01-18 16:12:37.102331,0 days 00:20:53.243205,5,0.30000000000000004,128,0.2,244,0.0,57,0,0.0004405626499932955,2,1600,4,COMPLETE
