number,values_0,values_1,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.4546207162374147,0.4391204972631589,2024-12-11 11:38:42.054270,2024-12-11 11:39:24.601206,0 days 00:00:42.546936,0.9487898543317349,2.119795964355558,0.2071638512821706,19,14,1972,0.6166986547768529,2.5779281627260464,0.5578884416728767,COMPLETE
1,0.45102783531998886,0.4509006089631261,2024-12-11 11:39:24.601844,2024-12-11 11:39:54.096508,0 days 00:00:29.494664,0.8928065118909603,2.5297319487638315,0.11452979446156024,20,47,1333,2.997648701959252,1.414353452297388,0.81158215752835,COMPLETE
2,0.17529946769335183,0.7028175038595645,2024-12-11 11:39:54.097209,2024-12-11 11:40:03.471176,0 days 00:00:09.373967,0.8162328448193696,0.35618814451986514,0.8816664925591786,31,21,167,2.25005695019726,1.6551567737030983,0.51779961462994,COMPLETE
3,0.34550115889428906,0.48551388222536807,2024-12-11 11:40:03.471809,2024-12-11 11:40:33.014989,0 days 00:00:29.543180,0.540159236175456,0.3018354044652809,0.5475414396340864,46,3,1329,0.07687468171830286,1.9283735684051582,0.974370509928831,COMPLETE
4,0.36455344513659743,0.4815323289214234,2024-12-11 11:40:33.015628,2024-12-11 11:41:01.870769,0 days 00:00:28.855141,0.7224016951975254,2.5346547150006002,0.6990661387108342,23,12,1382,2.294093613425686,0.6071713870207729,0.9112455875936702,COMPLETE
5,0.36484872856433437,0.47835197018068276,2024-12-11 11:41:01.871411,2024-12-11 11:41:12.288943,0 days 00:00:10.417532,0.7045214609033733,2.67999726860854,0.5428511316618525,37,42,425,1.1207076163629293,0.6413313357482282,0.6892383104467457,COMPLETE
6,0.4610697428727607,0.44971744179044143,2024-12-11 11:41:12.289609,2024-12-11 11:41:42.173469,0 days 00:00:29.883860,0.5281955459149819,2.7444649191647765,0.06039279819236643,56,1,1319,1.4816897029579519,0.18913024311533147,0.8679814675411774,COMPLETE
7,0.3172839861988564,0.5254102951406209,2024-12-11 11:41:42.174115,2024-12-11 11:41:57.197211,0 days 00:00:15.023096,0.9989794625719519,0.09565304585265721,0.47948371426692143,25,45,300,1.8689639698552822,0.47185595687046694,0.5150295260435496,COMPLETE
8,0.43159398472863353,0.45152441803527255,2024-12-11 11:41:57.197872,2024-12-11 11:42:02.824597,0 days 00:00:05.626725,0.693063771072681,2.232391034621455,0.28276952511106784,74,35,148,0.044794857070563576,2.0424030100358777,0.6492394581545238,COMPLETE
9,0.4288095510705599,0.4546382432689284,2024-12-11 11:42:02.825272,2024-12-11 11:42:15.602019,0 days 00:00:12.776747,0.6854558738551979,2.531924019708985,0.2970140021466472,37,32,537,1.4579790014683878,2.350243694778225,0.8991308487383323,COMPLETE
10,0.490933002932033,0.42880132847025154,2024-12-11 11:42:15.602699,2024-12-11 11:43:17.363035,0 days 00:01:01.760336,0.9736147902231571,1.7882502726993734,0.012553953441828164,4,18,1961,0.7099622353269253,2.927661336638711,0.612703085019761,COMPLETE
11,0.4459374907393322,0.4527329288106226,2024-12-11 11:43:17.363696,2024-12-11 11:43:54.955293,0 days 00:00:37.591597,0.9828110183736403,1.6528057924297985,0.012928865908576892,1,19,1754,0.6997847310062577,2.965102902725983,0.6174445859035758,COMPLETE
12,0.4394882105619162,0.46197666380237756,2024-12-11 11:43:54.955941,2024-12-11 11:44:51.098203,0 days 00:00:56.142262,0.9167944350191058,1.5216184613713857,0.003322758440271134,2,12,1875,0.7666931886751618,2.84053697910191,0.7422739951534926,COMPLETE
13,0.4391440013091513,0.4474796876596544,2024-12-11 11:44:51.098884,2024-12-11 11:45:10.665186,0 days 00:00:19.566302,0.8951865680256574,1.0424680477621473,0.1966812486714032,12,27,725,0.7485184006194157,2.5899002839304397,0.5970309578915091,COMPLETE
14,0.4524286832770903,0.4462342862605773,2024-12-11 11:45:10.665850,2024-12-11 11:45:34.418745,0 days 00:00:23.752895,0.8220116033195457,1.9178389072679185,0.17716895254417753,11,12,1016,0.40746135964754654,2.9936241792622003,0.7583328354907936,COMPLETE
15,0.16849016866735045,0.7232286159287828,2024-12-11 11:45:34.419455,2024-12-11 11:46:13.086804,0 days 00:00:38.667349,0.9491933196737183,1.1011484728783258,0.9888285904556094,10,20,1683,1.1222837198471414,2.5061456507480897,0.5812575541473097,COMPLETE
16,0.4611829386268115,0.4413938602997298,2024-12-11 11:46:13.087460,2024-12-11 11:46:56.576559,0 days 00:00:43.489099,0.9900162669919025,1.9980720122946682,0.14706229430428108,66,26,1958,0.35189332292875836,2.5396202277737054,0.6846495593448054,COMPLETE
17,0.4641249187048717,0.4424469739285204,2024-12-11 11:46:56.577232,2024-12-11 11:47:32.592887,0 days 00:00:36.015655,0.8298058636222314,2.920361298393994,0.09139146100113366,50,27,1609,0.34130880488822,2.2792694550676553,0.6735116977433729,COMPLETE
18,0.4713822306676416,0.44579527630134513,2024-12-11 11:47:32.593549,2024-12-11 11:48:24.712398,0 days 00:00:52.118849,0.8449677970297438,2.9808160762159126,0.011535177884074713,51,7,1617,1.066336235449868,2.2235715675282295,0.6429887239752422,COMPLETE
19,0.39077197149972676,0.4705261687971446,2024-12-11 11:48:24.713079,2024-12-11 11:48:58.913575,0 days 00:00:34.200496,0.8714684666037207,1.068063362471831,0.3718889512882363,62,6,1533,1.0738683245165093,2.8159095539383836,0.6221921820247251,COMPLETE
20,0.39156706519837314,0.4676945959251265,2024-12-11 11:48:58.914324,2024-12-11 11:49:21.015440,0 days 00:00:22.101116,0.9369070328778543,2.9816926947809823,0.405802798218902,45,35,995,0.9551392391775237,1.223174437343095,0.5411402424828189,COMPLETE
