number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_feature_rate,params_lr,params_n_tree,params_tree_depth,state
0,0.24380922783768497,0.4433283153191727,2025-01-30 08:04:42.132387,2025-01-30 09:49:48.767799,0 days 01:45:06.635412,128,0.2,0.0001322692126635218,87,2,COMPLETE
1,0.11952006523337422,0.5312842330366183,2025-01-30 09:49:48.770433,2025-01-30 10:20:28.990184,0 days 00:30:40.219751,128,0.15000000000000002,0.0003962484182411067,32,4,COMPLETE
2,0.29299894252939074,0.4254614713255819,2025-01-30 10:20:28.995426,2025-01-30 10:53:59.792097,0 days 00:33:30.796671,256,0.35,0.0004921133083344536,37,1,COMPLETE
3,0.1667307744700357,0.4881474176777659,2025-01-30 10:53:59.795482,2025-01-30 12:43:10.216647,0 days 01:49:10.421165,128,0.30000000000000004,0.00010162984704776957,88,4,COMPLETE
4,0.24680344556492093,0.4460237895409561,2025-01-30 12:43:10.219125,2025-01-30 12:54:30.369768,0 days 00:11:20.150643,128,0.15000000000000002,0.0005274375263708319,12,2,COMPLETE
5,0.15417375353500623,0.5060340969740484,2025-01-30 12:54:30.372328,2025-01-30 14:11:40.457033,0 days 01:17:10.084705,256,0.15000000000000002,0.0001943500746964067,62,2,COMPLETE
6,0.30307738756107294,0.4154619932265759,2025-01-30 14:11:40.459844,2025-01-30 14:26:59.187713,0 days 00:15:18.727869,256,0.5,0.0004900157530335821,27,2,COMPLETE
7,0.10322383573169887,0.5431768386138323,2025-01-30 14:26:59.192164,2025-01-30 15:12:47.686087,0 days 00:45:48.493923,128,0.25,0.00011200902884067708,31,4,COMPLETE
8,0.15042545575559735,0.5188340383014722,2025-01-30 15:12:47.690221,2025-01-30 15:38:07.014362,0 days 00:25:19.324141,256,0.25,0.0004823538027355603,44,4,COMPLETE
9,0.28679323753656655,0.43640763590590287,2025-01-30 15:38:07.018876,2025-01-30 16:39:35.445830,0 days 01:01:28.426954,256,0.4,0.0002855677577615133,70,1,COMPLETE
10,0.03906913003970238,0.7967765221741518,2025-01-30 16:39:35.449052,2025-01-30 16:42:11.616350,0 days 00:02:36.167298,256,0.75,0.0008748412963076036,6,5,COMPLETE
11,0.30902720386061655,0.4181361239595048,2025-01-30 16:42:11.618669,2025-01-30 16:53:20.427030,0 days 00:11:08.808361,256,0.65,0.0007545638006388725,24,1,COMPLETE
12,0.31339761789837617,0.4152847556422724,2025-01-30 16:53:20.429914,2025-01-30 17:00:30.043010,0 days 00:07:09.613096,256,0.65,0.0008899922240251793,21,1,COMPLETE
13,0.2357849467000283,0.45514480430405657,2025-01-30 17:00:30.044940,2025-01-30 17:05:31.864674,0 days 00:05:01.819734,256,0.75,0.0009675143280197898,19,3,COMPLETE
14,0.30770418918922593,0.4192493491123802,2025-01-30 17:05:31.867620,2025-01-30 17:22:17.883329,0 days 00:16:46.015709,256,0.95,0.0006973394908860096,54,1,COMPLETE
15,0.24387651930635648,0.45691318204259446,2025-01-30 17:22:17.887218,2025-01-30 17:28:47.325782,0 days 00:06:29.438564,256,0.65,0.0007412648360151746,20,3,COMPLETE
16,0.2628258247707997,0.4361836627606749,2025-01-30 17:28:47.327813,2025-01-30 17:37:48.032846,0 days 00:09:00.705033,256,0.6,0.0009757556001300098,47,3,COMPLETE
17,0.19262470018738337,0.4932402493537655,2025-01-30 17:37:48.035971,2025-01-30 18:24:48.433657,0 days 00:47:00.397686,256,0.9,0.0006798779394380426,99,5,COMPLETE
18,0.3165654998551167,0.4176242002851015,2025-01-30 18:24:48.435733,2025-01-30 18:35:52.635678,0 days 00:11:04.199945,128,0.5,0.0006587738164410909,21,1,COMPLETE
19,0.27476415155854345,0.43981183722908457,2025-01-30 18:35:52.638737,2025-01-30 18:43:20.548839,0 days 00:07:27.910102,128,0.45000000000000007,0.00031809380381016045,6,1,COMPLETE
20,0.3075196572601912,0.4098416013355271,2025-01-30 18:43:20.549825,2025-01-30 18:51:47.734835,0 days 00:08:27.185010,128,0.8,0.0006451773283654509,39,2,COMPLETE
21,0.30385023751217755,0.41896037797528274,2025-01-30 18:51:47.740725,2025-01-30 19:00:08.008778,0 days 00:08:20.268053,128,0.85,0.0005756253883622789,39,2,COMPLETE
