number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lasso_weight,params_lr,params_n_layers,params_neurons,state
0,0.3176703445820046,0.42152206421425753,2025-01-07 14:15:04.693742,2025-01-07 14:15:42.576003,0 days 00:00:37.882261,128,0.4,0.2669142229717005,0.00018450995280593915,2,1300,COMPLETE
1,0.274623142923355,0.43198147618657956,2025-01-07 14:15:42.582238,2025-01-07 14:16:27.452186,0 days 00:00:44.869948,64,0.5,0.2914067718400856,0.00015575627184941448,2,400,COMPLETE
2,0.26689392731331846,0.425000957576479,2025-01-07 14:16:27.452839,2025-01-07 14:17:21.193658,0 days 00:00:53.740819,64,0.4,0.24829233298361553,0.00018622080974742204,3,200,COMPLETE
3,0.32337047737699887,0.4030156161606051,2025-01-07 14:17:21.194315,2025-01-07 14:18:16.989238,0 days 00:00:55.794923,32,0.25,0.19535333867851423,0.000136126017558302,2,1100,COMPLETE
4,0.3246802363286651,0.40908896781991366,2025-01-07 14:18:16.990032,2025-01-07 14:19:02.478135,0 days 00:00:45.488103,128,0.1,0.1843549956740422,0.00011315060826152681,1,500,COMPLETE
5,0.2836967330215153,0.4583185879198538,2025-01-07 14:19:02.478943,2025-01-07 14:19:47.641151,0 days 00:00:45.162208,32,0.45,0.030597156322007903,0.00020407518901819307,3,1800,COMPLETE
6,0.32443287531440806,0.4079743526735052,2025-01-07 14:19:47.642039,2025-01-07 14:20:54.434555,0 days 00:01:06.792516,64,0.1,0.07799236045556608,0.00010791458965197739,1,200,COMPLETE
7,0.30809164064759154,0.3975840247491906,2025-01-07 14:20:54.439243,2025-01-07 14:22:29.767352,0 days 00:01:35.328109,32,0.1,0.24478255050779324,0.00011624819165693958,3,1500,COMPLETE
8,0.3321130849828224,0.3993258253081367,2025-01-07 14:22:29.768270,2025-01-07 14:24:00.892086,0 days 00:01:31.123816,16,0.25,0.0651980333632212,0.00010939544361635222,1,1800,COMPLETE
9,0.3210509957820563,0.4076180659727549,2025-01-07 14:24:00.892917,2025-01-07 14:24:49.787590,0 days 00:00:48.894673,32,0.30000000000000004,0.09881424868653138,0.00025210273816501217,2,300,COMPLETE
10,0.29083382897558396,0.41398746719594015,2025-01-07 14:24:49.788340,2025-01-07 14:25:43.526100,0 days 00:00:53.737760,16,0.25,0.3978474574505646,0.0004922844723775821,1,2000,COMPLETE
11,0.3256180013705956,0.4246499098281479,2025-01-07 14:25:43.528880,2025-01-07 14:26:35.382141,0 days 00:00:51.853261,16,0.0,0.0028605758788425306,0.0007478744150896128,1,1600,COMPLETE
12,0.3270698109145795,0.4040571170316129,2025-01-07 14:26:35.383102,2025-01-07 14:27:59.928646,0 days 00:01:24.545544,16,0.15000000000000002,0.13314611618144173,0.00010043313568757038,1,1500,COMPLETE
13,0.25976089458135176,0.44630102730667,2025-01-07 14:27:59.929431,2025-01-07 14:28:51.587606,0 days 00:00:51.658175,16,0.35000000000000003,0.06141613914217437,0.00028136065090051554,3,800,COMPLETE
14,0.33695856695889814,0.39963363574352806,2025-01-07 14:28:51.588415,2025-01-07 14:30:12.457667,0 days 00:01:20.869252,16,0.2,0.1302777666114996,0.00013636357751286148,1,2000,COMPLETE
15,0.3168715081104666,0.40192736060271395,2025-01-07 14:30:12.458598,2025-01-07 14:31:41.709602,0 days 00:01:29.251004,16,0.15000000000000002,0.14879128451202275,0.0003965409310881103,2,2000,COMPLETE
16,0.3334002133528321,0.40440714110222453,2025-01-07 14:31:41.710407,2025-01-07 14:32:17.867956,0 days 00:00:36.157549,128,0.0,0.13586105634073023,0.0003497005665119917,2,1600,COMPLETE
17,0.33269199759099255,0.39495982574662536,2025-01-07 14:32:17.868694,2025-01-07 14:33:44.133295,0 days 00:01:26.264601,16,0.2,0.11441690771921662,0.0002259556783102859,1,800,COMPLETE
18,0.33444582055901895,0.39875023578968427,2025-01-07 14:33:44.134988,2025-01-07 14:34:57.362032,0 days 00:01:13.227044,16,0.2,0.10778857546205114,0.00023672695884909855,1,800,COMPLETE
19,0.3309483927828144,0.39379966279844,2025-01-07 14:34:57.365459,2025-01-07 14:36:26.535943,0 days 00:01:29.170484,16,0.2,0.16728249726673766,0.00015164890992449642,1,700,COMPLETE
20,0.34080709052810354,0.39167194555764306,2025-01-07 14:36:26.538649,2025-01-07 14:37:35.031802,0 days 00:01:08.493153,16,0.30000000000000004,0.17980640304879206,0.00014794653502350476,1,600,COMPLETE
21,0.3127752745698166,0.40829448313197797,2025-01-07 14:37:35.034122,2025-01-07 14:38:28.661201,0 days 00:00:53.627079,16,0.35000000000000003,0.1721789551083542,0.00015770002788785816,2,600,COMPLETE
22,0.32825149489223143,0.4090066828206333,2025-01-07 14:38:28.662146,2025-01-07 14:39:16.253892,0 days 00:00:47.591746,128,0.30000000000000004,0.2166555244298829,0.00014479534055372953,1,1000,COMPLETE
23,0.22385882782045444,0.4796309837892337,2025-01-07 14:39:16.254623,2025-01-07 14:39:44.168630,0 days 00:00:27.914007,64,0.35000000000000003,0.15526986720309816,0.0008980060753841719,3,700,COMPLETE
24,0.34214455792688864,0.3933330083386924,2025-01-07 14:39:44.169563,2025-01-07 14:40:48.658980,0 days 00:01:04.489417,16,0.30000000000000004,0.2094740364683793,0.00017513925782638244,1,1000,COMPLETE
25,0.3382369741814976,0.39275116331191484,2025-01-07 14:40:48.659709,2025-01-07 14:41:53.322362,0 days 00:01:04.662653,16,0.30000000000000004,0.2129723478047917,0.00019291539825270966,1,1100,COMPLETE
26,0.3333028539593445,0.39891996215343906,2025-01-07 14:41:53.323331,2025-01-07 14:42:48.535678,0 days 00:00:55.212347,16,0.30000000000000004,0.21840078686573597,0.00018187161016420346,1,1100,COMPLETE
27,0.3272605539495913,0.3996025926716627,2025-01-07 14:42:48.536748,2025-01-07 14:43:33.986218,0 days 00:00:45.449470,16,0.45,0.20012621844558529,0.0002801928727703564,1,1000,COMPLETE
28,0.3307299916659849,0.3917803806894714,2025-01-07 14:43:33.987348,2025-01-07 14:44:50.500522,0 days 00:01:16.513174,16,0.30000000000000004,0.31461176198792146,0.0002173576155892513,1,1300,COMPLETE
29,0.32616001705965986,0.4155401264360948,2025-01-07 14:44:50.503150,2025-01-07 14:45:27.753722,0 days 00:00:37.250572,128,0.4,0.2271569986904324,0.00019499920841759181,2,1200,COMPLETE
30,0.3444408305491999,0.39454580019408636,2025-01-07 14:45:27.754556,2025-01-07 14:46:29.209532,0 days 00:01:01.454976,32,0.35000000000000003,0.2668349179070443,0.00017225856854361017,1,900,COMPLETE
31,0.29359196767162576,0.4175469721834134,2025-01-07 14:46:29.211653,2025-01-07 14:47:06.393329,0 days 00:00:37.181676,32,0.35000000000000003,0.28813887586383696,0.0001715660852727311,2,900,COMPLETE
32,0.27747826858404545,0.43233523613379277,2025-01-07 14:47:06.394159,2025-01-07 14:47:50.020950,0 days 00:00:43.626791,32,0.5,0.2702355282907556,0.00013115499903307244,2,500,COMPLETE
33,0.294386900171363,0.41303232317422084,2025-01-07 14:47:50.021775,2025-01-07 14:48:34.198886,0 days 00:00:44.177111,32,0.4,0.3169304159840659,0.0001711643922044313,1,100,COMPLETE
34,0.29686410741247554,0.42752134484378007,2025-01-07 14:48:34.204612,2025-01-07 14:49:12.457078,0 days 00:00:38.252466,32,0.45,0.2530213631962774,0.00020159750880256746,2,1300,COMPLETE
35,0.27067612966593185,0.42970247405096584,2025-01-07 14:49:12.458080,2025-01-07 14:49:57.802298,0 days 00:00:45.344218,32,0.35000000000000003,0.1862286073416467,0.00012904314527335464,3,400,COMPLETE
36,0.33401792544480713,0.4018351735562131,2025-01-07 14:49:57.803075,2025-01-07 14:50:52.101739,0 days 00:00:54.298664,64,0.4,0.23451074096485192,0.0001588716589232556,1,600,COMPLETE
37,0.29290080197902024,0.4269644703795077,2025-01-07 14:50:52.106343,2025-01-07 14:51:26.583944,0 days 00:00:34.477601,32,0.5,0.20202830571930616,0.00018234557722969185,2,1200,COMPLETE
38,0.26156119783036147,0.4280017200502305,2025-01-07 14:51:26.587460,2025-01-07 14:52:03.022549,0 days 00:00:36.435089,32,0.30000000000000004,0.26185092212143984,0.00020653041810256848,3,900,COMPLETE
39,0.34865679283622686,0.3971378923570077,2025-01-07 14:52:03.023468,2025-01-07 14:53:01.031462,0 days 00:00:58.007994,64,0.45,0.17802814899080893,0.00012406354061282626,1,500,COMPLETE
40,0.28039844425271393,0.43342037570394465,2025-01-07 14:53:01.036904,2025-01-07 14:54:04.086655,0 days 00:01:03.049751,64,0.45,0.18093188096621537,0.0001286527289980177,3,300,COMPLETE
41,0.3257481639291801,0.405009957093349,2025-01-07 14:54:04.087561,2025-01-07 14:55:13.659594,0 days 00:01:09.572033,64,0.5,0.1619558104661448,0.00011837320092806957,1,400,COMPLETE
42,0.3268499612763822,0.4167984664055505,2025-01-07 14:55:13.661289,2025-01-07 14:56:18.806760,0 days 00:01:05.145471,64,0.45,0.09284441542393324,0.00010164229368472655,2,500,COMPLETE
43,0.32827883757727144,0.40425190795338695,2025-01-07 14:56:18.807644,2025-01-07 14:57:34.861699,0 days 00:01:16.054055,64,0.4,0.20150602546634466,0.00011940119533554759,1,200,COMPLETE
44,0.3278304585977217,0.3982129813149927,2025-01-07 14:57:34.865477,2025-01-07 14:58:44.073933,0 days 00:01:09.208456,64,0.05,0.17921129955633439,0.00011229644254412314,2,600,COMPLETE
45,0.3377482735518371,0.4033689859059638,2025-01-07 14:58:44.074822,2025-01-07 14:59:47.324953,0 days 00:01:03.250131,64,0.5,0.052521203546605,0.00014055210796486982,1,400,COMPLETE
46,0.2845762573388655,0.42814698169501514,2025-01-07 14:59:47.328896,2025-01-07 15:00:15.584747,0 days 00:00:28.255851,64,0.45,0.14693748003349494,0.0005701884063721919,2,300,COMPLETE
47,0.33928287442875804,0.40054718896188196,2025-01-07 15:00:15.590426,2025-01-07 15:01:23.988866,0 days 00:01:08.398440,64,0.25,0.09107156424130385,0.00012224334672504694,1,100,COMPLETE
48,0.3417893775959327,0.4076030568878363,2025-01-07 15:01:23.992547,2025-01-07 15:02:17.209468,0 days 00:00:53.216921,128,0.4,0.11533729139883522,0.00010640213757004673,1,700,COMPLETE
49,0.3355048274999442,0.4013324424016303,2025-01-07 15:02:17.213413,2025-01-07 15:02:58.894161,0 days 00:00:41.680748,64,0.05,0.015970118304218323,0.0001430715862965541,2,500,COMPLETE
50,0.34237732000681353,0.40071975581164915,2025-01-07 15:02:58.894956,2025-01-07 15:04:15.591924,0 days 00:01:16.696968,64,0.25,0.03721170388300621,0.00010083450739956083,3,200,COMPLETE
51,0.3338083642156039,0.40834138075979015,2025-01-07 15:04:15.592693,2025-01-07 15:05:25.074164,0 days 00:01:09.481471,64,0.25,0.041607366862344536,0.00010064357224404828,3,200,COMPLETE
52,0.33706098773313176,0.4082116107787742,2025-01-07 15:05:25.075186,2025-01-07 15:06:10.901996,0 days 00:00:45.826810,64,0.5,0.07902665945292457,0.00035942775237594464,1,1800,COMPLETE
53,0.3336702924925387,0.4125238886553649,2025-01-07 15:06:10.905010,2025-01-07 15:06:43.778712,0 days 00:00:32.873702,128,0.15000000000000002,0.027862392762279226,0.00025266522855276683,1,300,COMPLETE
54,0.29023938534082255,0.43962726839330946,2025-01-07 15:06:43.780053,2025-01-07 15:07:27.602813,0 days 00:00:43.822760,64,0.45,0.07191349496146124,0.00016107351568899782,3,600,COMPLETE
55,0.3229705764697129,0.41641043688536117,2025-01-07 15:07:27.603683,2025-01-07 15:08:03.457918,0 days 00:00:35.854235,64,0.35000000000000003,0.0036938389370047287,0.00011470680546884982,1,1600,COMPLETE
56,0.3280139068588567,0.40262861419601614,2025-01-07 15:08:03.462398,2025-01-07 15:08:44.977815,0 days 00:00:41.515417,128,0.05,0.1355544734448865,0.000140625219911047,2,1900,COMPLETE
57,0.3376903543697772,0.4031954809589437,2025-01-07 15:08:44.978828,2025-01-07 15:09:24.256789,0 days 00:00:39.277961,64,0.30000000000000004,0.05558079785031539,0.0004382756058774874,1,900,COMPLETE
58,0.2640365510354626,0.4337277755475407,2025-01-07 15:09:24.257813,2025-01-07 15:09:48.743909,0 days 00:00:24.486096,64,0.45,0.3996919511337743,0.0006026452689441923,2,700,COMPLETE
59,0.330519482288638,0.404482638203162,2025-01-07 15:09:48.744836,2025-01-07 15:10:22.566542,0 days 00:00:33.821706,128,0.1,0.16015496637319865,0.00098216360027746,1,800,COMPLETE
60,0.2743403537389838,0.44063017624046275,2025-01-07 15:10:22.567684,2025-01-07 15:10:53.311745,0 days 00:00:30.744061,64,0.4,0.3795338828469971,0.0003133163437248482,2,1500,COMPLETE
61,0.3108316259634895,0.4163766812912869,2025-01-07 15:10:53.313233,2025-01-07 15:11:30.501601,0 days 00:00:37.188368,64,0.35000000000000003,0.12060510641304281,0.00014916220268924952,3,1400,COMPLETE
62,0.3287709579612925,0.4153358354974154,2025-01-07 15:11:30.502596,2025-01-07 15:12:01.299862,0 days 00:00:30.797266,64,0.0,0.10156591744820714,0.0007587412092295584,1,500,COMPLETE
63,0.29793641546487337,0.41050623050787083,2025-01-07 15:12:01.303771,2025-01-07 15:13:01.839423,0 days 00:01:00.535652,16,0.30000000000000004,0.1451469327641569,0.00012486805419817905,2,300,COMPLETE
64,0.32950226798105414,0.40689471869326044,2025-01-07 15:13:01.844675,2025-01-07 15:13:56.811450,0 days 00:00:54.966775,64,0.5,0.12344760825510975,0.0001335654112071492,1,400,COMPLETE
65,0.2890486571739178,0.43050019817305163,2025-01-07 15:13:56.815932,2025-01-07 15:14:30.212847,0 days 00:00:33.396915,128,0.4,0.21341794769338301,0.00021384927320595014,3,1000,COMPLETE
66,0.32584221579813477,0.40072495883184384,2025-01-07 15:14:30.217701,2025-01-07 15:15:51.886145,0 days 00:01:21.668444,16,0.15000000000000002,0.3151189366715032,0.00010874521352705552,1,700,COMPLETE
67,0.2851832226567782,0.4133101152869532,2025-01-07 15:15:51.886966,2025-01-07 15:16:50.648085,0 days 00:00:58.761119,32,0.25,0.19065470880790267,0.0001668777514953219,2,100,COMPLETE
68,0.3441770610988494,0.394788152610672,2025-01-07 15:16:50.648795,2025-01-07 15:17:45.842021,0 days 00:00:55.193226,64,0.4,0.24046794202008132,0.00018261228727391168,1,800,COMPLETE
69,0.32158366014299267,0.4013071462527981,2025-01-07 15:17:45.846059,2025-01-07 15:18:47.297357,0 days 00:01:01.451298,16,0.45,0.16542462863797328,0.0001543248017380231,1,600,COMPLETE
70,0.33891978432121367,0.3974185997333121,2025-01-07 15:18:47.298919,2025-01-07 15:19:37.291296,0 days 00:00:49.992377,64,0.45,0.23791109750875777,0.00018912396246117868,1,500,COMPLETE
71,0.3489030325964496,0.41105413222652143,2025-01-07 15:19:37.296045,2025-01-07 15:20:34.574673,0 days 00:00:57.278628,64,0.4,0.08279363374160811,0.00012406712441746852,1,1900,COMPLETE
72,0.3344579529001153,0.3995401525820375,2025-01-07 15:20:34.578365,2025-01-07 15:21:53.694769,0 days 00:01:19.116404,16,0.4,0.10542709180836321,0.0001316295821711935,1,1700,COMPLETE
73,0.33502997173317983,0.39983334049792474,2025-01-07 15:21:53.698024,2025-01-07 15:23:03.870312,0 days 00:01:10.172288,16,0.45,0.17362563230843595,0.0001227041555194586,1,600,COMPLETE
74,0.31416715005388485,0.4098106326359794,2025-01-07 15:23:03.873882,2025-01-07 15:23:55.104565,0 days 00:00:51.230683,16,0.5,0.2110418972634299,0.00014815792631002264,1,400,COMPLETE
75,0.34328488713561606,0.3976366715204734,2025-01-07 15:23:55.105492,2025-01-07 15:25:06.829341,0 days 00:01:11.723849,64,0.35000000000000003,0.1880851322513467,0.00011439230831826474,1,500,COMPLETE
76,0.32937669338943254,0.40345050581981584,2025-01-07 15:25:06.830239,2025-01-07 15:25:47.003152,0 days 00:00:40.172913,32,0.2,0.1534750396705833,0.00018038227191468002,1,1400,COMPLETE
77,0.3266594272281471,0.41022624602867985,2025-01-07 15:25:47.007997,2025-01-07 15:26:31.941557,0 days 00:00:44.933560,64,0.4,0.13265180859533446,0.00013691158634571908,1,1900,COMPLETE
78,0.3419123711823466,0.40398461394378754,2025-01-07 15:26:31.946000,2025-01-07 15:27:35.735715,0 days 00:01:03.789715,128,0.5,0.22856557395473998,0.00016208753497738278,1,800,COMPLETE
79,0.33329836741371155,0.39040887836923766,2025-01-07 15:27:35.740566,2025-01-07 15:28:37.403944,0 days 00:01:01.663378,16,0.45,0.17528668190809316,0.00017127004117683338,1,500,COMPLETE
80,0.3265231382606723,0.4032179019697752,2025-01-07 15:28:37.405071,2025-01-07 15:29:35.605452,0 days 00:00:58.200381,16,0.45,0.17608129977189615,0.00016875875261941034,1,400,COMPLETE
81,0.3210654943837181,0.39787987581225126,2025-01-07 15:29:35.606588,2025-01-07 15:30:34.475528,0 days 00:00:58.868940,16,0.45,0.19839323207946788,0.0001958856336061877,1,500,COMPLETE
82,0.31827854807492945,0.4028208122036129,2025-01-07 15:30:34.476587,2025-01-07 15:31:36.833316,0 days 00:01:02.356729,16,0.4,0.16789094546863864,0.0001537959414668262,1,600,COMPLETE
83,0.3178635766835931,0.40503254998249955,2025-01-07 15:31:36.834237,2025-01-07 15:32:30.150767,0 days 00:00:53.316530,16,0.45,0.1442667806380529,0.00017525983480069232,1,400,COMPLETE
84,0.3267321729431921,0.39668169772338846,2025-01-07 15:32:30.155178,2025-01-07 15:33:33.665347,0 days 00:01:03.510169,16,0.5,0.1817591525694846,0.0001827315659326046,1,700,COMPLETE
85,0.31940177421484756,0.40508735726843587,2025-01-07 15:33:33.666547,2025-01-07 15:34:25.788417,0 days 00:00:52.121870,16,0.45,0.2064674483473722,0.0002193834239658087,1,500,COMPLETE
86,0.331567253062095,0.40340008258310955,2025-01-07 15:34:25.790102,2025-01-07 15:35:14.365283,0 days 00:00:48.575181,16,0.4,0.19330196723433318,0.00023655155073430966,1,600,COMPLETE
87,0.3153419462399829,0.40341762428502886,2025-01-07 15:35:14.366198,2025-01-07 15:36:21.965579,0 days 00:01:07.599381,16,0.45,0.15637206749725366,0.0001430339992296295,1,300,COMPLETE
88,0.32323102562679573,0.4005985099481594,2025-01-07 15:36:21.967347,2025-01-07 15:37:27.327111,0 days 00:01:05.359764,16,0.5,0.21481829086420337,0.00011981481856686044,1,700,COMPLETE
89,0.3342956945491901,0.4041529181524936,2025-01-07 15:37:27.331182,2025-01-07 15:38:16.365742,0 days 00:00:49.034560,32,0.4,0.08404613639747015,0.00020222040944341987,1,1200,COMPLETE
90,0.3414216188931501,0.4092317439974308,2025-01-07 15:38:16.371670,2025-01-07 15:39:11.413998,0 days 00:00:55.042328,64,0.45,0.11154464558375245,0.0001265101811070475,1,1100,COMPLETE
91,0.34300344571447877,0.39978431869259073,2025-01-07 15:39:11.418528,2025-01-07 15:40:10.390176,0 days 00:00:58.971648,64,0.35000000000000003,0.1878725458404525,0.00011366993688092963,1,500,COMPLETE
92,0.32958158542870597,0.3988057143807188,2025-01-07 15:40:10.394719,2025-01-07 15:40:55.714292,0 days 00:00:45.319573,64,0.5,0.22527745260017448,0.00019039834864786813,1,400,COMPLETE
93,0.33348508495591156,0.3979819483967475,2025-01-07 15:40:55.719237,2025-01-07 15:42:06.185455,0 days 00:01:10.466218,16,0.4,0.17056126768956936,0.00013716256562670018,1,600,COMPLETE
94,0.33971351983510273,0.40199642071705943,2025-01-07 15:42:06.188139,2025-01-07 15:43:20.600058,0 days 00:01:14.411919,64,0.45,0.0707395420027645,0.00010665579527014267,1,300,COMPLETE
95,0.30539056480407806,0.4175744636657982,2025-01-07 15:43:20.603932,2025-01-07 15:44:00.948468,0 days 00:00:40.344536,64,0.35000000000000003,0.24623152375000668,0.00015210214898118849,2,500,COMPLETE
96,0.29715214100284143,0.43409303256271714,2025-01-07 15:44:00.949422,2025-01-07 15:45:09.867908,0 days 00:01:08.918486,128,0.45,0.12603869614294771,0.00011629853903008502,3,400,COMPLETE
97,0.28038218833789447,0.42961483501472497,2025-01-07 15:45:09.868928,2025-01-07 15:46:09.889198,0 days 00:01:00.020270,16,0.5,0.14047608482912644,0.00012972952777841744,2,1700,COMPLETE
