number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_n_layers,params_neurons,state
0,0.31719571006116243,0.4378738405837327,2024-12-11 16:58:17.545868,2024-12-11 16:58:42.333652,0 days 00:00:24.787784,64,0.5,0.0006352105631329163,1,1100,COMPLETE
1,0.25825843004135085,0.5354435090966797,2024-12-11 16:58:42.335573,2024-12-11 16:59:16.490582,0 days 00:00:34.155009,16,0.4,0.00027957735671129465,3,1800,COMPLETE
2,0.3539478944781586,0.4005110784146286,2024-12-11 16:59:16.495962,2024-12-11 17:00:07.268926,0 days 00:00:50.772964,16,0.1,0.00038711567388675255,2,1100,COMPLETE
3,0.32882077961033984,0.41688021029513483,2024-12-11 17:00:07.269742,2024-12-11 17:00:30.831781,0 days 00:00:23.562039,128,0.30000000000000004,0.0002897342125247901,3,1200,COMPLETE
4,0.3425361043518168,0.42416509944986946,2024-12-11 17:00:30.832583,2024-12-11 17:01:03.776855,0 days 00:00:32.944272,64,0.5,0.0001533923114603015,2,1500,COMPLETE
5,0.30919589297552347,0.4280967714827673,2024-12-11 17:01:03.777690,2024-12-11 17:01:37.274432,0 days 00:00:33.496742,32,0.45,0.0001292231490637952,3,1600,COMPLETE
6,0.34844794983324534,0.4039082975972471,2024-12-11 17:01:37.275213,2024-12-11 17:02:12.200424,0 days 00:00:34.925211,32,0.0,0.00030735550006536085,2,1400,COMPLETE
7,0.3375510473308295,0.4000513334848028,2024-12-11 17:02:12.201372,2024-12-11 17:02:38.813183,0 days 00:00:26.611811,64,0.05,0.00016469231776662096,3,700,COMPLETE
8,0.31530562376064053,0.4305448838848466,2024-12-11 17:02:38.814131,2024-12-11 17:03:24.170749,0 days 00:00:45.356618,16,0.25,0.00041609283352169406,1,1800,COMPLETE
9,0.322151052885544,0.4253084783537659,2024-12-11 17:03:24.171560,2024-12-11 17:04:02.044417,0 days 00:00:37.872857,16,0.35000000000000003,0.00019795107669474862,3,300,COMPLETE
10,0.3447716265763924,0.4018612036318906,2024-12-11 17:04:02.045152,2024-12-11 17:04:29.420633,0 days 00:00:27.375481,128,0.15000000000000002,0.0009048187607570632,2,700,COMPLETE
11,0.3565642849130016,0.3789380024632336,2024-12-11 17:04:29.427222,2024-12-11 17:05:15.451112,0 days 00:00:46.023890,16,0.05,0.0005082935693150006,2,700,COMPLETE
12,0.3462222167320251,0.39702434015301186,2024-12-11 17:05:15.451964,2024-12-11 17:05:52.587689,0 days 00:00:37.135725,16,0.1,0.0005058039384765544,2,200,COMPLETE
13,0.333783256145629,0.41351870505621624,2024-12-11 17:05:52.588595,2024-12-11 17:06:27.586207,0 days 00:00:34.997612,16,0.2,0.000992353857198558,1,700,COMPLETE
14,0.3001864821123967,0.41425674222004555,2024-12-11 17:06:27.591291,2024-12-11 17:06:53.555075,0 days 00:00:25.963784,16,0.0,0.00010976964287380113,2,500,COMPLETE
15,0.30189094901923397,0.43361984388086805,2024-12-11 17:06:53.555771,2024-12-11 17:07:10.528168,0 days 00:00:16.972397,128,0.1,0.0006351619853206039,1,900,COMPLETE
16,0.35278943135668783,0.3916175741141023,2024-12-11 17:07:10.530144,2024-12-11 17:07:37.202407,0 days 00:00:26.672263,32,0.15000000000000002,0.00042321187690246497,2,100,COMPLETE
17,0.3072398533877889,0.44584389875521546,2024-12-11 17:07:37.208121,2024-12-11 17:07:57.583545,0 days 00:00:20.375424,32,0.2,0.00022165901338753053,1,2000,COMPLETE
18,0.3497000879456045,0.3951412777243865,2024-12-11 17:07:57.585924,2024-12-11 17:08:34.004844,0 days 00:00:36.418920,16,0.05,0.00047161843032605266,2,100,COMPLETE
19,0.3304458147597053,0.41003477426418317,2024-12-11 17:08:34.006916,2024-12-11 17:09:01.269433,0 days 00:00:27.262517,32,0.15000000000000002,0.00010106307492673213,2,400,COMPLETE
20,0.35880657424972295,0.37512514680826337,2024-12-11 17:09:01.270238,2024-12-11 17:09:32.264093,0 days 00:00:30.993855,64,0.0,0.0006808399415939806,3,1300,COMPLETE
21,0.3523191486128377,0.3799803656262978,2024-12-11 17:09:32.264786,2024-12-11 17:10:07.618538,0 days 00:00:35.353752,64,0.0,0.0007374786192435915,3,1300,COMPLETE
22,0.34307234934920905,0.3845164025261062,2024-12-11 17:10:07.619470,2024-12-11 17:10:37.306042,0 days 00:00:29.686572,64,0.0,0.0007665004269012173,3,1300,COMPLETE
23,0.34961843829768025,0.37921168701695995,2024-12-11 17:10:37.306926,2024-12-11 17:11:16.404847,0 days 00:00:39.097921,64,0.05,0.0005870050325367145,3,900,COMPLETE
24,0.3508387219866415,0.3798855763568193,2024-12-11 17:11:16.405706,2024-12-11 17:11:58.091209,0 days 00:00:41.685503,64,0.0,0.0007851057363916247,3,1600,COMPLETE
25,0.3456847956724843,0.3792470821094814,2024-12-11 17:11:58.092096,2024-12-11 17:12:30.699158,0 days 00:00:32.607062,64,0.05,0.0007543723683380764,3,1300,COMPLETE
26,0.35967201427548534,0.37925776062670263,2024-12-11 17:12:30.700104,2024-12-11 17:13:03.085955,0 days 00:00:32.385851,64,0.0,0.0005399926553404076,3,1000,COMPLETE
27,0.34865909710050663,0.3917868457123621,2024-12-11 17:13:03.086801,2024-12-11 17:13:32.352149,0 days 00:00:29.265348,64,0.1,0.0005502030160264456,3,900,COMPLETE
28,0.3406995180220537,0.391199806617354,2024-12-11 17:13:32.359435,2024-12-11 17:14:08.659525,0 days 00:00:36.300090,64,0.05,0.0005028235356176471,3,1700,COMPLETE
29,0.3021013245750456,0.4404066294744425,2024-12-11 17:14:08.660427,2024-12-11 17:14:33.353440,0 days 00:00:24.693013,64,0.30000000000000004,0.0006359120521394756,1,1100,COMPLETE
30,0.32303532094373805,0.4167290358699732,2024-12-11 17:14:33.354288,2024-12-11 17:14:58.174545,0 days 00:00:24.820257,128,0.0,0.00035974596348197754,2,2000,COMPLETE
31,0.35990220054230865,0.3780928336052361,2024-12-11 17:14:58.178424,2024-12-11 17:15:30.921054,0 days 00:00:32.742630,64,0.0,0.0006712242093745746,3,1300,COMPLETE
32,0.24853205332782627,0.537539211668083,2024-12-11 17:15:30.921759,2024-12-11 17:15:55.080177,0 days 00:00:24.158418,64,0.4,0.0006558646311189486,3,1500,COMPLETE
33,0.3564486405453997,0.3935757354563524,2024-12-11 17:15:55.081078,2024-12-11 17:16:28.236600,0 days 00:00:33.155522,64,0.05,0.00034714394510668855,3,1000,COMPLETE
34,0.1748071322950315,0.7064771682122197,2024-12-11 17:16:28.237480,2024-12-11 17:16:48.959601,0 days 00:00:20.722121,128,0.5,0.0008810635708711558,3,1200,COMPLETE
35,0.3618201443373758,0.3982591862292557,2024-12-11 17:16:48.960353,2024-12-11 17:17:27.656097,0 days 00:00:38.695744,64,0.1,0.0005565339675790567,3,1400,COMPLETE
36,0.34692749061851746,0.42248565574372143,2024-12-11 17:17:27.656967,2024-12-11 17:17:59.793939,0 days 00:00:32.136972,64,0.2,0.0004301814756668939,3,1500,COMPLETE
37,0.32439808014950194,0.39772066214269985,2024-12-11 17:17:59.794814,2024-12-11 17:18:28.616199,0 days 00:00:28.821385,64,0.1,0.0005682278076185489,3,1200,COMPLETE
38,0.33756082498704043,0.4205910311135767,2024-12-11 17:18:28.617111,2024-12-11 17:18:55.738800,0 days 00:00:27.121689,64,0.25,0.00026936617464190624,3,1400,COMPLETE
39,0.30650602113585745,0.46821625144563706,2024-12-11 17:18:55.739726,2024-12-11 17:19:21.742228,0 days 00:00:26.002502,64,0.30000000000000004,0.0006658026382897692,3,1800,COMPLETE
40,0.2762929406359921,0.4765920786781466,2024-12-11 17:19:21.743015,2024-12-11 17:19:43.724867,0 days 00:00:21.981852,64,0.4,0.00045939887077214224,3,1600,COMPLETE
41,0.3463653654596792,0.37313744626906786,2024-12-11 17:19:43.725583,2024-12-11 17:20:18.852410,0 days 00:00:35.126827,64,0.0,0.0005081972887912356,3,1400,COMPLETE
42,0.33685342823763886,0.4052099645628899,2024-12-11 17:20:18.853350,2024-12-11 17:20:54.018823,0 days 00:00:35.165473,64,0.15000000000000002,0.0005527062372202922,3,1400,COMPLETE
43,0.3713608531573406,0.3781535637408372,2024-12-11 17:20:54.019753,2024-12-11 17:21:30.238111,0 days 00:00:36.218358,64,0.0,0.0003771249538032339,3,1700,COMPLETE
44,0.271683205425715,0.4915628577246677,2024-12-11 17:21:30.238868,2024-12-11 17:21:57.386835,0 days 00:00:27.147967,32,0.35000000000000003,0.0003725885684012784,3,1900,COMPLETE
