number,values_0,values_1,datetime_start,datetime_complete,duration,params_BN,params_aggregation,params_batch_size,params_depth,params_dropout_bond,params_dropout_ffn,params_hidden_bond,params_hidden_ffn,params_init_lr,params_layer,params_warmup_epochs,state
0,0.39667540412718155,0.3931652903556824,2024-12-18 16:41:56.354050,2024-12-18 16:53:55.484577,0 days 00:11:59.130527,True,norm,16,4,0.1,0.15000000000000002,700,200,0.0002374978777303647,1,2,COMPLETE
1,0.21474994086464638,0.43899795413017273,2024-12-18 16:53:55.525326,2024-12-18 17:03:11.615747,0 days 00:09:16.090421,False,norm,16,1,0.35000000000000003,0.35000000000000003,300,1600,0.0005409283346225766,1,10,COMPLETE
2,0.48276945999671333,0.31979259848594666,2024-12-18 17:03:11.651951,2024-12-18 17:13:54.745931,0 days 00:10:43.093980,True,norm,64,2,0.5,0.15000000000000002,600,1000,0.00047204338689235155,2,3,COMPLETE
3,,,2024-12-18 17:13:54.748941,2024-12-18 17:23:39.318418,0 days 00:09:44.569477,False,norm,32,2,0.4,0.05,800,1200,0.0003617232400744125,5,3,FAIL
4,0.3013977407965965,0.3832437992095947,2024-12-18 17:23:39.321727,2024-12-18 17:32:59.628903,0 days 00:09:20.307176,True,norm,64,5,0.5,0.5,200,200,0.0009063741129252553,1,4,COMPLETE
5,0.2513239575395487,0.578022301197052,2024-12-18 17:32:59.630493,2024-12-18 17:40:26.504634,0 days 00:07:26.874141,True,sum,64,2,0.1,0.45,1000,100,0.00016422924881059412,4,7,COMPLETE
6,,,2024-12-18 17:40:26.543837,2024-12-18 17:50:57.315008,0 days 00:10:30.771171,True,mean,32,2,0.0,0.0,800,1200,0.000392077360216756,5,3,FAIL
7,0.4516639731994085,0.341894268989563,2024-12-18 17:50:57.318519,2024-12-18 18:01:29.676488,0 days 00:10:32.357969,True,mean,64,5,0.1,0.5,1000,200,0.0007676610322455726,4,5,COMPLETE
8,0.2187028671388795,0.43981221318244934,2024-12-18 18:01:29.709031,2024-12-18 18:09:32.736412,0 days 00:08:03.027381,True,mean,64,4,0.45,0.25,300,1300,0.0004420568311507551,1,4,COMPLETE
9,0.0060488524633946,0.705009400844574,2024-12-18 18:09:32.737720,2024-12-18 18:16:23.790976,0 days 00:06:51.053256,True,sum,32,1,0.45,0.45,200,700,0.0004001500811790709,4,4,COMPLETE
10,0.37942862340326716,0.33720728754997253,2024-12-18 18:16:23.793242,2024-12-18 18:23:54.017584,0 days 00:07:30.224342,True,norm,64,3,0.4,0.35000000000000003,800,300,0.00013846115150135558,4,3,COMPLETE
11,0.4995575226512703,0.3267310559749603,2024-12-18 18:23:54.043328,2024-12-18 18:36:28.491200,0 days 00:12:34.447872,True,mean,32,5,0.30000000000000004,0.15000000000000002,1000,1100,0.0004791672629151842,2,5,COMPLETE
12,,,2024-12-18 18:36:28.492748,2024-12-18 18:46:14.733889,0 days 00:09:46.241141,False,mean,32,4,0.25,0.0,500,2000,0.0002606346316369596,3,7,FAIL
13,,,2024-12-18 18:46:14.738848,2024-12-18 18:54:16.428754,0 days 00:08:01.689906,False,mean,32,4,0.25,0.0,500,2000,0.0002840320695255996,3,7,FAIL
14,0.18719994699370063,0.554416298866272,2024-12-18 18:54:16.468535,2024-12-18 19:07:46.968864,0 days 00:13:30.500329,False,mean,32,4,0.25,0.0,500,1900,0.0002700445553300231,3,7,COMPLETE
15,0.32648188328312566,0.3511991798877716,2024-12-18 19:07:46.971715,2024-12-18 19:17:30.325523,0 days 00:09:43.353808,False,mean,128,2,0.25,0.1,600,900,0.0005934313141589046,2,6,COMPLETE
16,0.3040414823727133,0.34677761793136597,2024-12-18 19:17:30.327277,2024-12-18 19:24:57.082828,0 days 00:07:26.755551,True,mean,32,3,0.30000000000000004,0.15000000000000002,800,1100,0.0003512488806860696,2,9,COMPLETE
17,0.40887773894908813,0.35426846146583557,2024-12-18 19:24:57.111161,2024-12-18 19:32:28.312816,0 days 00:07:31.201655,True,sum,32,2,0.0,0.05,500,700,0.00010285658229189426,2,2,COMPLETE
18,0.10604801121501731,0.41603919863700867,2024-12-18 19:32:28.320430,2024-12-18 19:41:25.081572,0 days 00:08:56.761142,False,mean,128,3,0.35000000000000003,0.25,900,1400,0.0006136347899027668,3,6,COMPLETE
19,,,2024-12-18 19:41:25.083059,2024-12-18 19:51:37.460737,0 days 00:10:12.377678,True,norm,32,5,0.2,0.2,600,1000,0.0004529491246427431,5,8,FAIL
20,0.0687137059523938,0.5015171766281128,2024-12-18 19:51:37.462995,2024-12-18 20:01:02.234850,0 days 00:09:24.771855,True,norm,32,5,0.2,0.2,600,1000,0.0009895993515429532,5,8,COMPLETE
21,0.3961792499017814,0.3461192548274994,2024-12-18 20:01:02.237641,2024-12-18 20:12:20.108122,0 days 00:11:17.870481,True,mean,16,4,0.2,0.1,800,700,0.00046430753109192517,2,5,COMPLETE
22,0.21067818930216123,0.45098644495010376,2024-12-18 20:12:20.112099,2024-12-18 20:20:22.262862,0 days 00:08:02.150763,False,norm,128,2,0.5,0.35000000000000003,400,1600,0.0002830849444566874,3,3,COMPLETE
23,0.24534304269926055,0.35439422726631165,2024-12-18 20:20:22.267286,2024-12-18 20:27:19.854114,0 days 00:06:57.586828,True,sum,32,1,0.0,0.0,100,500,0.0003444891029663622,2,5,COMPLETE
24,,,2024-12-18 20:27:19.883567,2024-12-18 20:38:02.593611,0 days 00:10:42.710044,True,mean,32,5,0.35000000000000003,0.2,900,1200,0.0007765549001028579,5,3,FAIL
25,,,2024-12-18 20:38:02.598007,2024-12-18 20:47:42.663337,0 days 00:09:40.065330,True,mean,32,5,0.4,0.2,900,1200,0.0007118083548963937,5,3,FAIL
26,,,2024-12-18 20:47:42.666650,2024-12-18 20:59:18.024950,0 days 00:11:35.358300,True,mean,32,5,0.35000000000000003,0.2,900,1200,0.0007386399264288618,5,3,FAIL
27,,,2024-12-18 20:59:18.027869,2024-12-18 21:10:29.390686,0 days 00:11:11.362817,True,mean,32,5,0.4,0.2,900,1200,0.0007449301444430784,5,3,FAIL
28,,,2024-12-18 21:10:29.418782,2024-12-18 21:22:30.854285,0 days 00:12:01.435503,True,mean,32,5,0.4,0.2,900,1200,0.0005022188990642353,5,3,FAIL
29,0.12082265382176989,0.42884185910224915,2024-12-18 21:22:30.863539,2024-12-18 21:32:16.449465,0 days 00:09:45.585926,True,mean,32,5,0.4,0.2,900,1200,0.0006799397449962824,3,3,COMPLETE
30,0.10623204618497126,0.40836718678474426,2024-12-18 21:32:16.453358,2024-12-18 21:43:32.738371,0 days 00:11:16.285013,False,norm,64,3,0.15000000000000002,0.30000000000000004,700,1500,0.00048827311562289093,5,7,COMPLETE
31,0.13512611640530398,0.7493043541908264,2024-12-18 21:43:32.740221,2024-12-18 21:54:55.931182,0 days 00:11:23.190961,True,mean,64,5,0.35000000000000003,0.1,1000,2000,0.0007864404652467163,2,5,COMPLETE
32,0.008969692858704201,0.5957357287406921,2024-12-18 21:54:55.934289,2024-12-18 22:03:47.708849,0 days 00:08:51.774560,True,mean,32,5,0.30000000000000004,0.15000000000000002,1000,1800,0.0006877456622441321,3,5,COMPLETE
33,0.20342772549547686,0.39471572637557983,2024-12-18 22:03:47.711106,2024-12-18 22:10:53.100629,0 days 00:07:05.389523,True,norm,16,4,0.05,0.2,900,900,0.0004007416480585018,2,4,COMPLETE
34,0.3895273203095935,0.443063884973526,2024-12-18 22:10:53.102375,2024-12-18 22:18:52.259756,0 days 00:07:59.157381,True,mean,128,5,0.4,0.05,1000,1200,0.0005441903000173655,1,2,COMPLETE
35,0.4658269585056671,0.3439919948577881,2024-12-18 22:18:52.283687,2024-12-18 22:27:41.344173,0 days 00:08:49.060486,True,sum,64,4,0.45,0.25,900,400,0.0007918650057982726,2,6,COMPLETE
36,,,2024-12-18 22:27:41.374380,2024-12-18 22:34:50.461363,0 days 00:07:09.086983,False,sum,32,4,0.45,0.05,700,900,0.0004902785307102403,2,6,FAIL
37,,,2024-12-18 22:34:50.465815,2024-12-18 22:44:26.721111,0 days 00:09:36.255296,False,sum,32,4,0.45,0.05,700,500,0.000518566937930902,2,6,FAIL
