number,values_0,values_1,datetime_start,datetime_complete,duration,params_average_before_softmax,params_n_estimators,params_softmax_temperature,state
0,0.3514015428535703,0.3554867762966848,2025-01-14 17:34:12.051770,2025-01-14 17:54:17.388062,0 days 00:20:05.336292,False,95,0.8093690241032071,COMPLETE
1,0.26015419640090365,0.42050867608391196,2025-01-14 17:54:17.388996,2025-01-14 17:59:40.104014,0 days 00:05:22.715018,True,26,0.07541529738983185,COMPLETE
2,0.3192641066834335,0.36031141151674806,2025-01-14 17:59:40.104761,2025-01-14 17:59:53.792235,0 days 00:00:13.687474,False,1,0.8115037253733938,COMPLETE
3,0.34656694040058056,0.3608130211688411,2025-01-14 17:59:53.792886,2025-01-14 18:01:44.634198,0 days 00:01:50.841312,True,9,0.9409624932880152,COMPLETE
4,0.2648356406322572,0.4237205288944784,2025-01-14 18:01:44.635139,2025-01-14 18:18:59.283843,0 days 00:17:14.648704,True,85,0.08129563132944656,COMPLETE
5,0.31440747490394255,0.3562414289920118,2025-01-14 18:18:59.284842,2025-01-14 18:33:27.290635,0 days 00:14:28.005793,False,70,0.15403529058071846,COMPLETE
6,0.31680025144966084,0.3521656547683191,2025-01-14 18:33:27.291791,2025-01-14 18:34:25.038093,0 days 00:00:57.746302,False,4,0.2750263163034691,COMPLETE
7,0.27196315099621166,0.3612385058745495,2025-01-14 18:34:25.038834,2025-01-14 18:45:19.421084,0 days 00:10:54.382250,True,50,0.2710889827151259,COMPLETE
8,0.32515783085212513,0.3525849035843172,2025-01-14 18:45:19.422128,2025-01-14 19:04:44.695738,0 days 00:19:25.273610,True,89,0.628860744255983,COMPLETE
9,0.2504927198032511,0.3736300400876722,2025-01-14 19:04:44.696940,2025-01-14 19:08:35.509931,0 days 00:03:50.812991,True,17,0.16408528407848216,COMPLETE
10,0.3398818074407289,0.34914137818719315,2025-01-14 19:08:35.510869,2025-01-14 19:30:08.697273,0 days 00:21:33.186404,False,99,0.5840884699081994,COMPLETE
11,0.3420921074051957,0.3494584345586424,2025-01-14 19:30:08.698172,2025-01-14 19:51:07.211029,0 days 00:20:58.512857,False,100,0.6119902523656481,COMPLETE
12,0.3497715058446923,0.3535900198179564,2025-01-14 19:51:07.212150,2025-01-14 20:04:26.627954,0 days 00:13:19.415804,False,64,0.7587699767412077,COMPLETE
13,0.33253575172261096,0.3479921576645769,2025-01-14 20:04:26.629005,2025-01-14 20:15:17.660720,0 days 00:10:51.031715,False,52,0.47824932700642553,COMPLETE
14,0.33010214947245703,0.3481120871748463,2025-01-14 20:15:17.661768,2025-01-14 20:26:17.702949,0 days 00:11:00.041181,False,52,0.44734990123411456,COMPLETE
15,0.32915361469739085,0.348555558626405,2025-01-14 20:26:17.704027,2025-01-14 20:38:30.414924,0 days 00:12:12.710897,False,56,0.44799432928110006,COMPLETE
16,0.3496698224061514,0.35243909809007984,2025-01-14 20:38:30.415983,2025-01-14 20:46:20.667080,0 days 00:07:50.251097,False,36,0.7321190393822151,COMPLETE
17,0.35434270002561485,0.3610408094508367,2025-01-14 20:46:20.668092,2025-01-14 20:53:30.333761,0 days 00:07:09.665669,False,33,0.9286796623496322,COMPLETE
18,0.3544978533898425,0.3618505263522966,2025-01-14 20:53:30.334746,2025-01-14 21:00:40.638821,0 days 00:07:10.304075,False,33,0.9439469042874566,COMPLETE
19,0.3554444159734502,0.36368668034030904,2025-01-14 21:00:40.639848,2025-01-14 21:08:44.631541,0 days 00:08:03.991693,False,37,0.9859625191956463,COMPLETE
20,0.3545457876524888,0.3645357006783745,2025-01-14 21:08:44.632493,2025-01-14 21:17:26.302863,0 days 00:08:41.670370,False,42,0.9947233082722761,COMPLETE
21,0.34683550186181034,0.3520037219323802,2025-01-14 21:17:26.303896,2025-01-14 21:26:07.641248,0 days 00:08:41.337352,False,42,0.708713212162905,COMPLETE
22,0.350340633578843,0.35789247609694513,2025-01-14 21:26:07.642244,2025-01-14 21:30:40.558595,0 days 00:04:32.916351,False,23,0.8564129325722769,COMPLETE
23,0.3489713753421045,0.3527590369333593,2025-01-14 21:30:40.559599,2025-01-14 21:38:14.290886,0 days 00:07:33.731287,False,39,0.7296760500596144,COMPLETE
24,0.35328724976905995,0.35873920296259343,2025-01-14 21:38:14.291964,2025-01-14 21:50:48.238720,0 days 00:12:33.946756,False,63,0.8849771874196193,COMPLETE
