number,values_0,values_1,datetime_start,datetime_complete,duration,params_amount_heads,params_attn_dropout,params_batch_size,params_dropout,params_encoder_output_dim,params_ff_dropout,params_head_dim,params_layer_norm,params_lr,params_n_layers,params_neurons,params_transformer_depth,state
0,-0.0010192632908001542,0.5081010460853577,2025-01-15 18:05:31.336615,2025-01-15 18:19:04.929084,0 days 00:13:33.592469,6,0.15000000000000002,128,0.45,257,0.05,126,1,0.005527021814318444,2,1100,6,COMPLETE
1,0.3352263569831848,0.3762929141521454,2025-01-15 18:19:04.930395,2025-01-15 18:25:56.941537,0 days 00:06:52.011142,5,0.05,64,0.05,139,0.0,91,0,0.0007271142476431458,3,600,3,COMPLETE
2,0.08888185024261475,0.46707791090011597,2025-01-15 18:25:56.942730,2025-01-15 18:33:30.242645,0 days 00:07:33.299915,2,0.30000000000000004,64,0.15000000000000002,215,0.45,60,0,0.007985458596949933,2,100,5,COMPLETE
3,0.07174061238765717,0.47235026955604553,2025-01-15 18:33:30.243910,2025-01-15 18:41:35.110390,0 days 00:08:04.866480,4,0.0,64,0.5,303,0.30000000000000004,95,1,0.001344050648280235,1,900,4,COMPLETE
4,0.25589537620544434,0.41424161195755005,2025-01-15 18:41:35.111446,2025-01-15 18:47:34.081850,0 days 00:05:58.970404,4,0.5,16,0.2,240,0.5,82,1,0.0006398144375630167,1,1100,3,COMPLETE
5,0.34330326318740845,0.36935800313949585,2025-01-15 18:47:34.082969,2025-01-15 18:55:31.127614,0 days 00:07:57.044645,2,0.05,32,0.05,149,0.30000000000000004,89,1,0.00033919000662748107,2,600,4,COMPLETE
6,0.12753260135650635,0.43729549646377563,2025-01-15 18:55:31.128725,2025-01-15 18:59:03.010535,0 days 00:03:31.881810,5,0.5,64,0.30000000000000004,139,0.15000000000000002,128,1,0.0009545217728311468,3,500,2,COMPLETE
7,0.20321866869926453,0.41846761107444763,2025-01-15 18:59:03.011478,2025-01-15 19:11:56.293728,0 days 00:12:53.282250,3,0.35000000000000003,64,0.5,261,0.25,44,0,0.0007803024878059097,3,700,6,COMPLETE
8,0.27637311816215515,0.4037778377532959,2025-01-15 19:11:56.294906,2025-01-15 19:18:56.179285,0 days 00:06:59.884379,3,0.05,32,0.35000000000000003,278,0.30000000000000004,110,0,0.0023167189222836827,1,800,3,COMPLETE
9,0.005066597368568182,0.5018182992935181,2025-01-15 19:18:56.179962,2025-01-15 19:20:57.168809,0 days 00:02:00.988847,2,0.05,16,0.0,246,0.2,33,1,0.0010790524199167327,1,1200,2,COMPLETE
10,0.3353317379951477,0.36734136939048767,2025-01-15 19:20:57.169653,2025-01-15 19:32:43.620181,0 days 00:11:46.450528,3,0.15000000000000002,32,0.1,188,0.4,68,1,0.0001881130917140674,2,1700,5,COMPLETE
11,0.316293329000473,0.3843006193637848,2025-01-15 19:32:43.621110,2025-01-15 19:39:37.214966,0 days 00:06:53.593856,2,0.2,32,0.1,184,0.4,71,1,0.00016848286637947778,2,1800,4,COMPLETE
12,0.30994877219200134,0.3814426064491272,2025-01-15 19:39:37.216185,2025-01-15 20:02:40.762673,0 days 00:23:03.546488,3,0.15000000000000002,32,0.0,347,0.35000000000000003,104,1,0.00021538077492118583,2,2000,5,COMPLETE
13,0.30489906668663025,0.388292133808136,2025-01-15 20:02:40.763566,2025-01-15 20:09:40.456861,0 days 00:06:59.693295,2,0.15000000000000002,32,0.1,180,0.15000000000000002,66,1,0.00031595326116285274,2,100,5,COMPLETE
14,0.253579318523407,0.4074774384498596,2025-01-15 20:09:40.457891,2025-01-15 20:19:58.029499,0 days 00:10:17.571608,3,0.0,128,0.2,181,0.4,80,1,0.00013818636451754743,2,1400,4,COMPLETE
15,0.32351452112197876,0.376878559589386,2025-01-15 20:19:58.030427,2025-01-15 20:28:16.528939,0 days 00:08:18.498512,4,0.25,32,0.1,129,0.25,55,0,0.00010935038253736242,3,300,4,COMPLETE
16,0.3490763306617737,0.3746544122695923,2025-01-15 20:28:16.529958,2025-01-15 20:38:54.207415,0 days 00:10:37.677457,2,0.4,32,0.25,156,0.35000000000000003,109,1,0.0003517500916231077,2,1500,5,COMPLETE
17,0.319723904132843,0.3875054121017456,2025-01-15 20:38:54.208466,2025-01-15 20:48:33.386452,0 days 00:09:39.177986,2,0.4,32,0.35000000000000003,161,0.5,113,1,0.0003442617168865709,2,1400,6,COMPLETE
