number,values_0,values_1,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.14723352126621794,0.544362460678542,2024-12-11 10:41:37.581850,2024-12-11 10:41:47.699235,0 days 00:00:10.117385,0.9061314168702587,0.18132177505023328,0.6854692000122512,60,34,271,2.222385691833215,1.2034356342273496,0.5320120748271108,COMPLETE
1,0.2170833688279608,0.4189464447531789,2024-12-11 10:41:47.699910,2024-12-11 10:42:18.527714,0 days 00:00:30.827804,0.6145124348163835,1.6708507414695486,0.5893767406169566,49,36,1664,2.5945887837447588,1.766811825951387,0.9690426746783836,COMPLETE
2,0.15222988406922056,0.49703137098986633,2024-12-11 10:42:18.528384,2024-12-11 10:42:53.976788,0 days 00:00:35.448404,0.6822450527533639,0.7011346606600815,0.7923723984050433,35,1,1827,2.5844136193367415,2.4544175184442585,0.6281198363915714,COMPLETE
3,0.14610731400543336,0.4915782759537201,2024-12-11 10:42:53.977460,2024-12-11 10:43:26.445133,0 days 00:00:32.467673,0.7960751600742633,0.5811704226888647,0.9646080107734756,17,34,1670,2.5921240101392873,0.8913421964203337,0.9363038977869211,COMPLETE
4,0.15512847668836244,0.5110852317544172,2024-12-11 10:43:26.445814,2024-12-11 10:43:52.247342,0 days 00:00:25.801528,0.5000319402835396,2.7324994383445196,0.8574981449433164,14,44,1373,2.301438100334934,1.6161648013478345,0.5382368740361434,COMPLETE
5,0.22851785930933483,0.42177123795236326,2024-12-11 10:43:52.248031,2024-12-11 10:44:28.145738,0 days 00:00:35.897707,0.5805195917327202,2.9004880707109133,0.4257439298371046,68,45,1953,0.7653369067538913,1.5861124463299852,0.6140960882600228,COMPLETE
6,0.16584896857256134,0.4712015220471222,2024-12-11 10:44:28.146455,2024-12-11 10:44:51.849112,0 days 00:00:23.702657,0.7477722761944525,0.500056119702919,0.6574464985452425,38,10,1139,0.32864814484024446,2.1049522084760177,0.7776522143063813,COMPLETE
7,0.19590186857943276,0.46270644630123636,2024-12-11 10:44:51.849813,2024-12-11 10:45:04.320747,0 days 00:00:12.470934,0.7592762484574419,2.978887470648507,0.5352714225480921,2,17,574,0.10512938656447858,0.5269584465993351,0.5086157530405819,COMPLETE
8,0.2551771372866586,0.41067157053081643,2024-12-11 10:45:04.321494,2024-12-11 10:45:21.023945,0 days 00:00:16.702451,0.642351935183809,1.0994935662339693,0.3138813854678463,72,31,774,1.0805713354870299,2.3123562964298063,0.74444536555586,COMPLETE
9,0.2826764696931834,0.3920601155288209,2024-12-11 10:45:21.024617,2024-12-11 10:45:56.249055,0 days 00:00:35.224438,0.6949753189596104,1.790460363813577,0.12262552916653705,60,16,1787,0.9811754029588775,1.7781373108843852,0.8689144858403899,COMPLETE
10,0.2810562098008325,0.40232382619512386,2024-12-11 10:45:56.249742,2024-12-11 10:47:42.243845,0 days 00:01:45.994103,0.9578509021674229,1.815446555112798,0.0019075350694218313,53,21,1270,1.5574953385266412,2.9823700126540755,0.9053782496189497,COMPLETE
11,0.2871423701708927,0.39619610801206795,2024-12-11 10:47:42.244552,2024-12-11 10:48:16.577053,0 days 00:00:34.332501,0.9504729757217801,1.84347036770638,0.028072090610174225,54,21,1359,1.4986005524732715,2.93693917661624,0.8761254883795669,COMPLETE
12,0.2723726485022405,0.3974875871802742,2024-12-11 10:48:16.577728,2024-12-11 10:48:47.397987,0 days 00:00:30.820259,0.9954672797109655,2.110435613417345,0.09214362081137509,48,14,1419,1.6202205051348784,2.938472644458225,0.838395041078702,COMPLETE
13,0.2646322980909421,0.3999950905871089,2024-12-11 10:48:47.398665,2024-12-11 10:49:07.214669,0 days 00:00:19.816004,0.8747762857873105,1.3099197958997193,0.17654895447016133,61,24,898,1.1714869915963095,2.5637991166826115,0.9989829255778162,COMPLETE
14,0.2554662877880657,0.3995538424648677,2024-12-11 10:49:07.215344,2024-12-11 10:49:38.719972,0 days 00:00:31.504628,0.8458116266696258,2.1714856843098067,0.22852325524757594,26,7,1546,1.7935453526408802,2.1376215541303076,0.8665080638501045,COMPLETE
15,0.295100587394058,0.3924956721775792,2024-12-11 10:49:38.720749,2024-12-11 10:50:09.612936,0 days 00:00:30.892187,0.9307281637448511,1.2917048609714652,0.025498133809022796,58,27,1079,2.9880060201261136,0.060550268553881015,0.8524890586972576,COMPLETE
16,0.28641734982397665,0.3947420153927911,2024-12-11 10:50:09.613614,2024-12-11 10:50:16.640762,0 days 00:00:07.027148,0.8497548766658519,1.0356780091383584,0.13111931503126134,43,28,168,2.9265085409821285,0.03807812346696729,0.8085816492677375,COMPLETE
17,0.2615114247579822,0.40236862325214845,2024-12-11 10:50:16.641435,2024-12-11 10:50:28.111963,0 days 00:00:11.470528,0.9154623036764801,1.3974137220337595,0.28880233712066067,64,39,467,2.902057452139298,0.07408076778283235,0.7469910372314637,COMPLETE
18,0.21844903276953626,0.41569176976735617,2024-12-11 10:50:28.112662,2024-12-11 10:50:49.750234,0 days 00:00:21.637572,0.810075893792572,0.956873127898812,0.4105021963205757,73,27,1028,2.0557610373652735,0.613000162584934,0.926384723078334,COMPLETE
19,0.2991033022802192,0.3904054150142543,2024-12-11 10:50:49.750975,2024-12-11 10:51:25.951833,0 days 00:00:36.200858,0.9805134247591066,0.03282822976780042,0.08852957097126155,29,48,780,2.0672251864918194,1.1540234532224705,0.8229135679202688,COMPLETE
20,0.21646587127320985,0.4489466391583541,2024-12-11 10:51:25.952512,2024-12-11 10:51:46.147652,0 days 00:00:20.195140,0.9888101630139567,0.052949902151767425,0.42465269916635806,28,48,699,1.8973014109141864,1.255177112955336,0.7050765041473352,COMPLETE
21,0.2769568533562771,0.400252981664816,2024-12-11 10:51:46.148356,2024-12-11 10:52:05.564258,0 days 00:00:19.415902,0.999962063079071,0.029123300836238597,0.16659252711153577,24,39,382,2.055330235371914,1.261515112517643,0.8290401741069326,COMPLETE
22,0.29172149436406347,0.39256392848110705,2024-12-11 10:52:05.564967,2024-12-11 10:52:37.890759,0 days 00:00:32.325792,0.928295554987584,0.3510153157843615,0.06347379085952977,10,50,917,0.5545599708461392,1.8928900816730674,0.7987079062007615,COMPLETE
23,0.26645476156479253,0.4073643974859367,2024-12-11 10:52:37.891445,2024-12-11 10:52:52.511771,0 days 00:00:14.620326,0.8958303813373407,0.6937977275370294,0.2361053991138936,35,43,608,1.2802713376068788,1.4449656330594673,0.8678674407921381,COMPLETE
24,0.2944062954089087,0.3951838616799404,2024-12-11 10:52:52.512460,2024-12-11 10:53:02.014368,0 days 00:00:09.501908,0.9347769093099055,0.3412166417622895,0.10466111593001144,22,41,92,0.8534045311342753,0.9553067722331119,0.6897218176458569,COMPLETE
25,0.2969063931248672,0.3913959488249602,2024-12-11 10:53:02.015031,2024-12-11 10:53:31.030713,0 days 00:00:29.015682,0.962545695999451,0.7940573116619518,0.04014464061804948,29,50,848,1.3172302410409416,1.8768184223444377,0.7806105918659743,COMPLETE
26,0.22122513725675522,0.4417296648400722,2024-12-11 10:53:31.031424,2024-12-11 10:53:56.108054,0 days 00:00:25.076630,0.9603938984348155,0.01344633790146241,0.3729712483788328,29,47,842,1.387194052379437,0.3123764308007073,0.7671693339515524,COMPLETE
27,0.2758763732992199,0.43127300530629425,2024-12-11 10:53:56.108729,2024-12-11 10:54:19.750563,0 days 00:00:23.641834,0.8659883198821094,0.27279175206670103,0.5012847299341152,1,30,1129,1.7249033526557416,0.8961038822159595,0.8208356600281494,COMPLETE
28,0.22878148628404102,0.41918399166237047,2024-12-11 10:54:19.751191,2024-12-11 10:54:32.291848,0 days 00:00:12.540657,0.9593413783554828,0.47791264655033766,0.3141685378172868,40,37,480,1.4652614289999646,0.6373102895273155,0.900559033496322,COMPLETE
29,0.30461751828796285,0.39328348873143637,2024-12-11 10:54:32.292568,2024-12-11 10:55:39.283432,0 days 00:01:06.990864,0.8988072764326818,0.18915056935056562,0.00840799492827947,31,2,303,2.2573709922051552,1.4542675104991831,0.7899143243967153,COMPLETE
30,0.3003566136698027,0.38877540303188624,2024-12-11 10:55:39.284136,2024-12-11 10:55:57.267274,0 days 00:00:17.983138,0.895132342693584,0.24748867496804658,0.069949182787711,32,1,307,2.301361297965141,1.137946840019699,0.786515052685976,COMPLETE
31,0.30985445678744516,0.3874644045357948,2024-12-11 10:55:57.267994,2024-12-11 10:56:20.214047,0 days 00:00:22.946053,0.8888235853477768,0.21866057044878318,0.04733079908738138,32,1,281,2.3643752805317972,1.353956963179284,0.788198612650216,COMPLETE
32,0.25255946954505804,0.4012536483075169,2024-12-11 10:56:20.214718,2024-12-11 10:56:31.871490,0 days 00:00:11.656772,0.8954155701787285,0.28750719212286974,0.17653984015710902,45,1,288,2.2598481840641833,1.4341511392333082,0.7186520524141387,COMPLETE
