number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lasso_weight,params_lr,params_n_layers,params_neurons,state
0,0.5287660288294423,0.378114978537165,2025-01-07 12:01:00.642154,2025-01-07 12:01:42.172985,0 days 00:00:41.530831,32,0.4,0.1464576667373041,0.00036291275908410586,1,1200,COMPLETE
1,0.5370484292262908,0.3826908790720123,2025-01-07 12:01:42.174125,2025-01-07 12:03:20.387975,0 days 00:01:38.213850,16,0.30000000000000004,0.029156904067223845,0.00012039256620477029,3,1900,COMPLETE
2,0.5253251821206464,0.37926025214384007,2025-01-07 12:03:20.389569,2025-01-07 12:04:08.413982,0 days 00:00:48.024413,32,0.35000000000000003,0.33485935441309805,0.00023822053651836715,1,500,COMPLETE
3,0.5186297290260818,0.3781926430276973,2025-01-07 12:04:08.414875,2025-01-07 12:04:56.161652,0 days 00:00:47.746777,64,0.1,0.22204319752936497,0.000674087395514735,3,700,COMPLETE
4,0.5018659586749842,0.39168810605447946,2025-01-07 12:04:56.162573,2025-01-07 12:05:24.797463,0 days 00:00:28.634890,128,0.05,0.016736227418386918,0.00010321947846956021,3,1200,COMPLETE
5,0.4340597271985963,0.42690920034833846,2025-01-07 12:05:24.798472,2025-01-07 12:06:13.551483,0 days 00:00:48.753011,128,0.15000000000000002,0.3827865552927615,0.0005542015829221507,2,1800,COMPLETE
6,0.47218918439321556,0.4079356954330291,2025-01-07 12:06:13.552383,2025-01-07 12:07:11.737355,0 days 00:00:58.184972,16,0.5,0.07426965232205265,0.0004820832105833029,2,200,COMPLETE
7,0.5303564429268526,0.37896238956540196,2025-01-07 12:07:11.738344,2025-01-07 12:07:58.463708,0 days 00:00:46.725364,64,0.1,0.008749992704057607,0.0001365023337129409,1,600,COMPLETE
8,0.4927104658582547,0.40779911290227977,2025-01-07 12:07:58.464534,2025-01-07 12:08:29.995568,0 days 00:00:31.531034,128,0.25,0.07154211129034978,0.00023076899604878104,1,1400,COMPLETE
9,0.5451985631624707,0.37087101295604735,2025-01-07 12:08:29.996328,2025-01-07 12:09:09.286211,0 days 00:00:39.289883,64,0.2,0.12450912851674417,0.0005392442300996056,1,700,COMPLETE
10,0.516310836869893,0.3805605382253864,2025-01-07 12:09:09.289426,2025-01-07 12:10:08.518265,0 days 00:00:59.228839,64,0.2,0.19997426616740988,0.0008596296307626955,2,100,COMPLETE
11,0.5265274227034902,0.3741117457940327,2025-01-07 12:10:08.520695,2025-01-07 12:10:47.552285,0 days 00:00:39.031590,64,0.0,0.14407394755687178,0.000725583330343656,2,900,COMPLETE
12,0.5337939350058726,0.3745444404462455,2025-01-07 12:10:47.553091,2025-01-07 12:11:28.807393,0 days 00:00:41.254302,64,0.0,0.14965861520720444,0.000993305366132062,2,900,COMPLETE
13,0.5009580872124961,0.39259537198890615,2025-01-07 12:11:28.811289,2025-01-07 12:12:00.309163,0 days 00:00:31.497874,64,0.45,0.26654421319353516,0.0004346723435377576,1,400,COMPLETE
14,0.5021847528562947,0.3896195905565913,2025-01-07 12:12:00.310175,2025-01-07 12:12:30.043503,0 days 00:00:29.733328,64,0.25,0.13378801722924927,0.0009809611653275627,2,800,COMPLETE
15,0.5313196822622478,0.38520263216501605,2025-01-07 12:12:30.044269,2025-01-07 12:13:35.340531,0 days 00:01:05.296262,16,0.35000000000000003,0.09536774087772462,0.0006053080931104069,1,1600,COMPLETE
16,0.5447004706620984,0.3658271852265328,2025-01-07 12:13:35.341259,2025-01-07 12:14:32.909787,0 days 00:00:57.568528,32,0.2,0.1987203955429538,0.0003785768965935025,2,1000,COMPLETE
17,0.5162382404429271,0.38122412646444365,2025-01-07 12:14:32.912419,2025-01-07 12:15:39.977059,0 days 00:01:07.064640,32,0.2,0.2724838222572866,0.00030375008906059314,3,1100,COMPLETE
18,0.5227558601987059,0.37608873301823514,2025-01-07 12:15:39.977886,2025-01-07 12:16:51.310169,0 days 00:01:11.332283,32,0.15000000000000002,0.20410466598793894,0.0004159289988111964,3,1600,COMPLETE
19,0.5205595093212046,0.3818672033076609,2025-01-07 12:16:51.310954,2025-01-07 12:17:42.140275,0 days 00:00:50.829321,32,0.25,0.2980405601297091,0.0003086935595203021,2,1400,COMPLETE
20,0.4924944338464824,0.3927804964832735,2025-01-07 12:17:42.141011,2025-01-07 12:18:31.564826,0 days 00:00:49.423815,32,0.30000000000000004,0.22930976870199574,0.0005395716484686002,2,300,COMPLETE
21,0.5498562282658328,0.3659943166250958,2025-01-07 12:18:31.571031,2025-01-07 12:19:36.814208,0 days 00:01:05.243177,32,0.15000000000000002,0.16451194186628829,0.00037401627483432426,2,900,COMPLETE
22,0.5321486276515248,0.37332696016413064,2025-01-07 12:19:36.814804,2025-01-07 12:20:30.091557,0 days 00:00:53.276753,32,0.1,0.19011502061473162,0.0003747397283420474,2,1000,COMPLETE
23,0.5374449713138454,0.37445274372675347,2025-01-07 12:20:30.092169,2025-01-07 12:22:19.232264,0 days 00:01:49.140095,32,0.15000000000000002,0.38379942779485593,0.00017462465128586862,2,700,COMPLETE
24,0.5378959859862806,0.3714160842998921,2025-01-07 12:22:19.233030,2025-01-07 12:23:24.996225,0 days 00:01:05.763195,32,0.05,0.16516277938990245,0.00046833528224267667,3,1300,COMPLETE
25,0.48957117263042305,0.39953330046094243,2025-01-07 12:23:24.997176,2025-01-07 12:24:06.886526,0 days 00:00:41.889350,128,0.2,0.11532971221314636,0.0002608340692053082,2,1000,COMPLETE
26,0.537540196853176,0.37172184484203824,2025-01-07 12:24:06.891390,2025-01-07 12:25:37.063378,0 days 00:01:30.171988,16,0.05,0.17755147284117806,0.0001936438879442745,2,500,COMPLETE
27,0.5491378156566726,0.36706227690566523,2025-01-07 12:25:37.064231,2025-01-07 12:26:39.300387,0 days 00:01:02.236156,32,0.15000000000000002,0.23506940293111447,0.0003583526437804107,1,800,COMPLETE
28,0.5264466346038544,0.3732520128040672,2025-01-07 12:26:39.301159,2025-01-07 12:27:31.607984,0 days 00:00:52.306825,32,0.15000000000000002,0.1716067866003246,0.0003699600225456928,3,900,COMPLETE
29,0.5281903862174724,0.3806471071533991,2025-01-07 12:27:31.614886,2025-01-07 12:28:10.249392,0 days 00:00:38.634506,32,0.4,0.2226666208258412,0.0003329366445012633,1,1200,COMPLETE
30,0.534548652139971,0.3830874239806999,2025-01-07 12:28:10.252463,2025-01-07 12:28:58.965341,0 days 00:00:48.712878,32,0.30000000000000004,0.10905553100601258,0.00039328669059317435,2,1500,COMPLETE
31,0.544671412825947,0.37145009419848585,2025-01-07 12:28:58.970468,2025-01-07 12:29:47.869603,0 days 00:00:48.899135,32,0.2,0.13110015275700027,0.0003308890892871375,2,1100,COMPLETE
