number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_n_layers,params_neurons,state
0,0.46421817276060173,0.4263109545433338,2024-12-11 15:32:46.040116,2024-12-11 15:33:19.618687,0 days 00:00:33.578571,16,0.4,0.0002563295323285927,3,1400,COMPLETE
1,0.5165060666307776,0.38221496881036743,2024-12-11 15:33:19.619643,2024-12-11 15:33:51.460956,0 days 00:00:31.841313,64,0.4,0.00013697377603101858,1,600,COMPLETE
2,0.5049743685638082,0.39034936700031375,2024-12-11 15:33:51.461763,2024-12-11 15:34:11.370632,0 days 00:00:19.908869,32,0.25,0.00042394963644979805,1,500,COMPLETE
3,0.5031884149474031,0.39265327548300927,2024-12-11 15:34:11.371502,2024-12-11 15:34:41.111137,0 days 00:00:29.739635,16,0.05,0.00012927067197522347,1,200,COMPLETE
4,0.5351241187218909,0.375840770153339,2024-12-11 15:34:41.111924,2024-12-11 15:35:15.549045,0 days 00:00:34.437121,16,0.05,0.00043092481715714735,2,900,COMPLETE
5,0.5416510662354295,0.36933075318404557,2024-12-11 15:35:15.551491,2024-12-11 15:35:52.558406,0 days 00:00:37.006915,32,0.2,0.0001367975039623793,3,600,COMPLETE
6,0.5216148484255267,0.3776825713748289,2024-12-11 15:35:52.559284,2024-12-11 15:36:29.657525,0 days 00:00:37.098241,64,0.15000000000000002,0.0008827601646113127,3,1800,COMPLETE
7,0.490758259207134,0.39602349055002534,2024-12-11 15:36:29.658536,2024-12-11 15:36:52.805167,0 days 00:00:23.146631,64,0.05,0.000618422059280506,1,1200,COMPLETE
8,0.5114913449215078,0.3830782985245192,2024-12-11 15:36:52.805916,2024-12-11 15:37:32.823378,0 days 00:00:40.017462,128,0.25,0.0003564747578040789,3,1800,COMPLETE
9,0.5198027613233435,0.3822194182519262,2024-12-11 15:37:32.824129,2024-12-11 15:37:58.188369,0 days 00:00:25.364240,32,0.45,0.00012926366389144763,1,1200,COMPLETE
10,0.5294587112139719,0.3789070015822194,2024-12-11 15:37:58.189083,2024-12-11 15:38:30.286000,0 days 00:00:32.096917,32,0.15000000000000002,0.00020201829096102233,2,200,COMPLETE
11,0.5358118939315409,0.3762342618539989,2024-12-11 15:38:30.288899,2024-12-11 15:39:01.169366,0 days 00:00:30.880467,32,0.30000000000000004,0.00019831812836560822,2,700,COMPLETE
12,0.5253436784141284,0.3750527357984885,2024-12-11 15:39:01.170117,2024-12-11 15:39:38.090590,0 days 00:00:36.920473,32,0.25,0.00010232330674119657,3,700,COMPLETE
13,0.5094559296702861,0.38306774277477007,2024-12-11 15:39:38.097039,2024-12-11 15:40:08.375525,0 days 00:00:30.278486,128,0.15000000000000002,0.00022402130033968368,2,400,COMPLETE
14,0.514758297142966,0.39277896298488846,2024-12-11 15:40:08.376242,2024-12-11 15:40:35.956950,0 days 00:00:27.580708,32,0.35000000000000003,0.00018267487590627226,3,900,COMPLETE
15,0.4897159957286892,0.41071375760357026,2024-12-11 15:40:35.957671,2024-12-11 15:41:03.404343,0 days 00:00:27.446672,32,0.5,0.00016535802550745685,2,1500,COMPLETE
16,0.5081101540508758,0.3891897942231239,2024-12-11 15:41:03.405101,2024-12-11 15:41:24.430328,0 days 00:00:21.025227,128,0.30000000000000004,0.0002665247485193124,2,800,COMPLETE
17,0.5262337320526361,0.37556822883979424,2024-12-11 15:41:24.431038,2024-12-11 15:42:28.427943,0 days 00:01:03.996905,32,0.2,0.00010420312455071126,3,100,COMPLETE
