number,values_0,values_1,datetime_start,datetime_complete,duration,params_BN,params_aggregation,params_batch_size,params_depth,params_dropout_bond,params_dropout_ffn,params_hidden_bond,params_hidden_ffn,params_init_lr,params_layer,params_warmup_epochs,state
0,0.49936568905791284,0.43222278356552124,2024-12-17 09:54:02.427306,2024-12-17 09:59:04.309310,0 days 00:05:01.882004,False,norm,32,1,0.1,0.45,700,1500,0.0007544792537800734,1,4,COMPLETE
1,,,2024-12-17 09:59:04.310530,2024-12-17 10:04:50.995111,0 days 00:05:46.684581,True,mean,32,5,0.1,0.0,100,1500,0.0006428041427636123,5,7,FAIL
2,0.4044667334723892,0.5396512150764465,2024-12-17 10:04:50.996403,2024-12-17 10:10:27.212624,0 days 00:05:36.216221,True,mean,128,4,0.05,0.4,500,1200,0.0004617388874767109,3,4,COMPLETE
3,0.5537461546846606,0.42936810851097107,2024-12-17 10:10:27.214327,2024-12-17 10:14:49.742570,0 days 00:04:22.528243,True,sum,64,4,0.35000000000000003,0.05,400,800,0.00039840599953376414,2,5,COMPLETE
4,0.4470912111541189,0.4418726861476898,2024-12-17 10:14:49.744464,2024-12-17 10:20:05.103303,0 days 00:05:15.358839,True,mean,128,3,0.25,0.1,400,100,0.00024244540633849105,2,7,COMPLETE
5,0.3409179311804753,0.5555911660194397,2024-12-17 10:20:05.104692,2024-12-17 10:26:31.719005,0 days 00:06:26.614313,True,norm,32,2,0.15000000000000002,0.5,400,1900,0.00024139383156224589,2,6,COMPLETE
6,0.4084330893975763,0.7637160420417786,2024-12-17 10:26:31.720390,2024-12-17 10:31:54.495934,0 days 00:05:22.775544,True,norm,128,5,0.2,0.35000000000000003,700,800,0.000907243114813481,4,5,COMPLETE
7,0.538962356590869,0.4320896863937378,2024-12-17 10:31:54.497730,2024-12-17 10:40:02.972628,0 days 00:08:08.474898,False,norm,32,1,0.15000000000000002,0.5,800,1900,0.00012956632038483253,2,5,COMPLETE
8,0.47062654146364535,0.532566487789154,2024-12-17 10:40:02.974544,2024-12-17 10:44:19.583649,0 days 00:04:16.609105,True,norm,128,5,0.1,0.4,400,300,0.0001903385850391049,4,10,COMPLETE
9,0.6415969326983951,0.3470630645751953,2024-12-17 10:44:19.585086,2024-12-17 10:50:56.459503,0 days 00:06:36.874417,False,norm,32,3,0.25,0.35000000000000003,200,600,0.00016478577943685756,1,4,COMPLETE
10,0.7047267977486525,0.3284549117088318,2024-12-17 10:50:56.461532,2024-12-17 10:58:16.697975,0 days 00:07:20.236443,False,norm,16,5,0.0,0.4,600,1400,0.00021528518356074403,1,3,COMPLETE
11,,,2024-12-17 10:58:16.699303,2024-12-17 11:03:15.921369,0 days 00:04:59.222066,False,sum,16,4,0.5,0.2,1000,1300,0.00010384620022114862,5,2,FAIL
12,,,2024-12-17 11:03:15.924879,2024-12-17 11:13:24.547426,0 days 00:10:08.622547,False,sum,16,4,0.5,0.2,1000,1400,0.00011682674532315393,5,2,FAIL
13,,,2024-12-17 11:13:24.549290,2024-12-17 11:19:37.261810,0 days 00:06:12.712520,False,sum,16,4,0.5,0.2,1000,1400,0.00010630405244451251,5,2,FAIL
14,,,2024-12-17 11:19:37.263777,2024-12-17 11:25:37.477705,0 days 00:06:00.213928,False,sum,16,4,0.5,0.2,1000,1300,0.00011164633298729463,5,2,FAIL
15,,,2024-12-17 11:25:37.480022,2024-12-17 11:33:06.626115,0 days 00:07:29.146093,False,sum,16,4,0.5,0.2,1000,1400,0.00010527131630501106,5,2,FAIL
16,,,2024-12-17 11:33:06.628573,2024-12-17 11:43:32.667366,0 days 00:10:26.038793,False,sum,16,4,0.45,0.2,1000,1400,0.0001035173819783532,5,2,FAIL
