number,values_0,values_1,datetime_start,datetime_complete,duration,params_average_before_softmax,params_n_estimators,params_softmax_temperature,state
0,0.5467586696452211,0.36764885418692667,2025-01-14 12:55:15.169525,2025-01-14 12:58:56.823320,0 days 00:03:41.653795,False,22,0.7482928975067537,COMPLETE
1,0.5445232466214303,0.3736352311182404,2025-01-14 12:58:56.824456,2025-01-14 13:02:41.294091,0 days 00:03:44.469635,True,22,0.14301426356393188,COMPLETE
2,0.5420937353303648,0.3705384356787187,2025-01-14 13:02:41.295066,2025-01-14 13:06:00.798459,0 days 00:03:19.503393,True,19,0.737101504406072,COMPLETE
3,0.5462898666928411,0.3683732300228395,2025-01-14 13:06:00.799412,2025-01-14 13:11:03.846288,0 days 00:05:03.046876,False,30,0.9779883411559767,COMPLETE
4,0.5443508801769952,0.37501516820163217,2025-01-14 13:11:03.847395,2025-01-14 13:24:02.145679,0 days 00:12:58.298284,False,79,0.1261874605854755,COMPLETE
5,0.5453708879118588,0.3709428582815778,2025-01-14 13:24:02.147033,2025-01-14 13:36:21.409992,0 days 00:12:19.262959,False,73,0.3638654859392113,COMPLETE
6,0.545639431385234,0.37009237756464686,2025-01-14 13:36:21.411051,2025-01-14 13:48:28.815415,0 days 00:12:07.404364,False,72,0.44263220066644565,COMPLETE
7,0.5442302473844501,0.3740670780473407,2025-01-14 13:48:28.816646,2025-01-14 13:53:15.512022,0 days 00:04:46.695376,True,28,0.12603028242146466,COMPLETE
8,0.5441413158089647,0.36984338934213745,2025-01-14 13:53:15.512890,2025-01-14 14:05:48.837247,0 days 00:12:33.324357,True,75,0.7582368657314215,COMPLETE
9,0.5442169760586053,0.3692566897101654,2025-01-14 14:05:48.838227,2025-01-14 14:17:09.575205,0 days 00:11:20.736978,False,68,0.7292879565822146,COMPLETE
10,0.5260137525999281,0.3793429676505075,2025-01-14 14:17:09.576281,2025-01-14 14:17:23.937073,0 days 00:00:14.360792,False,1,0.5776638660919805,COMPLETE
11,0.5447531463768215,0.36877941516811524,2025-01-14 14:17:23.937709,2025-01-14 14:25:03.002927,0 days 00:07:39.065218,False,45,0.9904280051561845,COMPLETE
12,0.5448220022969484,0.3682100866350705,2025-01-14 14:25:03.003852,2025-01-14 14:31:50.825232,0 days 00:06:47.821380,False,40,0.971233809027638,COMPLETE
13,0.5423575419082736,0.37059701933493366,2025-01-14 14:31:50.826127,2025-01-14 14:32:44.865672,0 days 00:00:54.039545,False,5,0.5964924561949347,COMPLETE
14,0.5465092245423443,0.3678099409928902,2025-01-14 14:32:44.866493,2025-01-14 14:50:18.179005,0 days 00:17:33.312512,False,99,0.8402187529083063,COMPLETE
15,0.5465811776812373,0.3685377301886542,2025-01-14 14:50:18.180072,2025-01-14 15:08:59.710251,0 days 00:18:41.530179,True,97,0.8095598111852442,COMPLETE
16,0.5452007778245999,0.36886105047543427,2025-01-14 15:08:59.711236,2025-01-14 15:20:00.490962,0 days 00:11:00.779726,False,57,0.8466052092176958,COMPLETE
17,0.5473580891594372,0.36713717083550124,2025-01-14 15:20:00.491946,2025-01-14 15:22:26.317812,0 days 00:02:25.825866,False,12,0.649332649950733,COMPLETE
18,0.5435198945349499,0.36922608193730666,2025-01-14 15:22:26.318675,2025-01-14 15:25:11.740097,0 days 00:02:45.421422,True,14,0.6558606270023883,COMPLETE
19,0.545233184098959,0.36965722092127007,2025-01-14 15:25:11.740938,2025-01-14 15:27:28.365474,0 days 00:02:16.624536,False,11,0.5278932992291234,COMPLETE
20,0.5473823415595206,0.36940153478988486,2025-01-14 15:27:28.366296,2025-01-14 15:34:28.014364,0 days 00:06:59.648068,False,35,0.42434015496222155,COMPLETE
21,0.5472784712705668,0.3689747146921577,2025-01-14 15:34:28.015271,2025-01-14 15:40:48.809743,0 days 00:06:20.794472,False,34,0.43566781046624414,COMPLETE
22,0.5434709845096823,0.36952694874958664,2025-01-14 15:40:48.810724,2025-01-14 15:42:04.177424,0 days 00:01:15.366700,False,7,0.6369034208956321,COMPLETE
23,0.5451893353395638,0.37187865146953275,2025-01-14 15:42:04.178148,2025-01-14 15:45:51.874285,0 days 00:03:47.696137,True,21,0.25642484474607585,COMPLETE
24,0.5476594692584449,0.36754652076021344,2025-01-14 15:45:51.875141,2025-01-14 15:47:57.798769,0 days 00:02:05.923628,False,12,0.5351250229257919,COMPLETE
