number,values_0,values_1,datetime_start,datetime_complete,duration,params_amount_heads,params_attn_dropout,params_batch_size,params_dropout,params_encoder_output_dim,params_ff_dropout,params_head_dim,params_layer_norm,params_lr,params_n_layers,params_neurons,params_transformer_depth,state
0,0.26639094948768616,0.4806133806705475,2025-01-14 10:07:49.177336,2025-01-14 10:26:14.862547,0 days 00:18:25.685211,6,0.45,64,0.05,322,0.30000000000000004,59,0,0.0013942488092945475,3,1200,7,COMPLETE
1,-0.004840540699660778,0.5847637057304382,2025-01-14 10:26:14.863854,2025-01-14 10:31:08.403496,0 days 00:04:53.539642,6,0.05,32,0.2,303,0.35000000000000003,88,1,0.0031716924594260313,2,2000,3,COMPLETE
2,0.12125028669834137,0.5386807322502136,2025-01-14 10:31:08.404475,2025-01-14 10:41:29.804374,0 days 00:10:21.399899,6,0.25,128,0.5,167,0.35000000000000003,103,0,0.003693670107013336,3,700,5,COMPLETE
3,-0.0038685440085828304,0.5843601226806641,2025-01-14 10:41:29.805397,2025-01-14 10:52:06.661527,0 days 00:10:36.856130,7,0.45,32,0.25,333,0.15000000000000002,122,1,0.00935406233712559,2,1100,6,COMPLETE
4,-0.00026946066645905375,0.5830801725387573,2025-01-14 10:52:06.662640,2025-01-14 10:53:45.001299,0 days 00:01:38.338659,5,0.5,32,0.4,163,0.2,48,1,0.003111847868520458,2,500,2,COMPLETE
5,0.04355982691049576,0.5680493116378784,2025-01-14 10:53:45.002181,2025-01-14 11:01:23.915875,0 days 00:07:38.913694,4,0.4,32,0.1,337,0.30000000000000004,61,0,0.004686473491162724,1,900,6,COMPLETE
6,-0.006291532423347235,0.5851519703865051,2025-01-14 11:01:23.916841,2025-01-14 11:09:54.647401,0 days 00:08:30.730560,7,0.45,32,0.4,307,0.05,47,1,0.0027229940851260788,3,1700,7,COMPLETE
7,0.18528158962726593,0.5117365717887878,2025-01-14 11:09:54.648417,2025-01-14 11:17:34.307251,0 days 00:07:39.658834,5,0.15000000000000002,128,0.2,159,0.35000000000000003,118,1,0.0015811173396045924,3,100,4,COMPLETE
8,0.22753958404064178,0.49722155928611755,2025-01-14 11:17:34.308252,2025-01-14 11:23:43.015100,0 days 00:06:08.706848,4,0.5,128,0.30000000000000004,237,0.1,84,1,0.0007574910406762583,1,500,3,COMPLETE
9,0.49178630113601685,0.3840804994106293,2025-01-14 11:23:43.015899,2025-01-14 11:30:34.907777,0 days 00:06:51.891878,3,0.5,32,0.15000000000000002,207,0.05,43,0,0.0008933043298531778,2,400,4,COMPLETE
10,0.4763506054878235,0.39424586296081543,2025-01-14 11:30:34.908602,2025-01-14 11:36:39.206449,0 days 00:06:04.297847,2,0.30000000000000004,16,0.0,232,0.5,33,0,0.000246094213125031,2,100,4,COMPLETE
11,0.495901495218277,0.383010596036911,2025-01-14 11:36:39.207431,2025-01-14 11:43:13.374821,0 days 00:06:34.167390,2,0.30000000000000004,16,0.0,224,0.5,36,0,0.00028929703483085786,2,100,4,COMPLETE
12,0.48943376541137695,0.38357168436050415,2025-01-14 11:43:13.375596,2025-01-14 11:52:24.791972,0 days 00:09:11.416376,2,0.0,16,0.1,197,0.5,33,0,0.0001328017816545442,1,300,5,COMPLETE
13,0.467660516500473,0.3994239866733551,2025-01-14 11:52:24.792743,2025-01-14 11:57:32.509979,0 days 00:05:07.717236,3,0.30000000000000004,16,0.0,272,0.45,68,0,0.00044059994812829545,2,100,3,COMPLETE
14,0.4538811147212982,0.4012063443660736,2025-01-14 11:57:32.510892,2025-01-14 12:01:09.362622,0 days 00:03:36.851730,3,0.15000000000000002,16,0.1,205,0.45,46,0,0.00011367158591965027,1,400,2,COMPLETE
15,0.4874873161315918,0.38760608434677124,2025-01-14 12:01:09.363504,2025-01-14 12:06:01.370629,0 days 00:04:52.007125,2,0.2,64,0.0,130,0.0,32,0,0.00034365530097773015,2,700,4,COMPLETE
16,0.48991289734840393,0.3841175138950348,2025-01-14 12:06:01.371500,2025-01-14 12:17:48.477285,0 days 00:11:47.105785,3,0.35000000000000003,16,0.15000000000000002,279,0.2,73,0,0.0006615837737394306,2,1500,5,COMPLETE
17,0.480630099773407,0.38813143968582153,2025-01-14 12:17:48.478190,2025-01-14 12:24:04.989539,0 days 00:06:16.511349,2,0.1,16,0.05,263,0.45,45,0,0.00019797818766514346,3,300,3,COMPLETE
18,0.45854800939559937,0.3993828594684601,2025-01-14 12:24:04.990508,2025-01-14 12:34:37.433318,0 days 00:10:32.442810,3,0.25,64,0.35000000000000003,213,0.25,99,0,0.0004510106707747411,1,900,6,COMPLETE
19,0.4795965254306793,0.39093899726867676,2025-01-14 12:34:37.434151,2025-01-14 12:43:34.539170,0 days 00:08:57.105019,4,0.35000000000000003,16,0.15000000000000002,254,0.4,57,0,0.00016427124329414691,2,700,4,COMPLETE
20,0.4532562792301178,0.40412378311157227,2025-01-14 12:43:34.540055,2025-01-14 12:48:04.915301,0 days 00:04:30.375246,2,0.0,16,0.5,179,0.25,42,1,0.00010502649812619525,3,1400,2,COMPLETE
21,0.48788613080978394,0.3851199150085449,2025-01-14 12:48:04.916162,2025-01-14 12:55:10.399209,0 days 00:07:05.483047,2,0.1,16,0.05,205,0.5,36,0,0.0002951909081652669,1,300,5,COMPLETE
22,0.4758819043636322,0.39313411712646484,2025-01-14 12:55:10.400186,2025-01-14 13:02:53.036785,0 days 00:07:42.636599,3,0.2,16,0.1,220,0.4,55,0,0.00017956938180505518,2,300,5,COMPLETE
23,0.456397145986557,0.4027641713619232,2025-01-14 13:02:53.037637,2025-01-14 13:07:51.083509,0 days 00:04:58.045872,2,0.35000000000000003,64,0.0,189,0.1,38,0,0.000582973768530192,2,100,4,COMPLETE
24,0.3394390344619751,0.45179858803749084,2025-01-14 13:07:51.084330,2025-01-14 13:13:14.659671,0 days 00:05:23.575341,3,0.30000000000000004,128,0.05,135,0.5,128,0,0.0009341107893432999,2,1900,3,COMPLETE
25,0.48395290970802307,0.391868531703949,2025-01-14 13:13:14.660816,2025-01-14 13:19:52.405790,0 days 00:06:37.744974,2,0.0,16,0.1,247,0.0,68,0,0.0003517737025223228,1,500,4,COMPLETE
26,0.48332858085632324,0.3851955533027649,2025-01-14 13:19:52.406728,2025-01-14 13:28:22.749805,0 days 00:08:30.343077,3,0.2,16,0.0,191,0.4,52,0,0.00024647904219445254,2,300,5,COMPLETE
27,0.40993499755859375,0.423480361700058,2025-01-14 13:28:22.750720,2025-01-14 13:42:47.698806,0 days 00:14:24.948086,2,0.4,16,0.15000000000000002,294,0.30000000000000004,40,1,0.0004614967904368689,1,200,6,COMPLETE
28,0.44394606351852417,0.409900039434433,2025-01-14 13:42:47.699579,2025-01-14 13:51:43.548955,0 days 00:08:55.849376,4,0.1,64,0.45,351,0.2,108,0,0.0009944321549701758,3,600,3,COMPLETE
29,0.07639744132757187,0.5550074577331543,2025-01-14 13:51:43.549549,2025-01-14 14:00:37.570014,0 days 00:08:54.020465,5,0.4,128,0.05,221,0.30000000000000004,63,0,0.0013963098661134504,3,1300,7,COMPLETE
30,0.4556906223297119,0.39768537878990173,2025-01-14 14:00:37.570887,2025-01-14 14:11:55.495407,0 days 00:11:17.924520,2,0.15000000000000002,64,0.05,287,0.15000000000000002,77,0,0.00014031646057196588,2,900,4,COMPLETE
31,0.49039798974990845,0.38507241010665894,2025-01-14 14:11:55.496531,2025-01-14 14:22:03.220452,0 days 00:10:07.723921,3,0.35000000000000003,16,0.15000000000000002,273,0.2,32,0,0.0006944586070547448,2,1500,5,COMPLETE
32,0.4672573506832123,0.3978692889213562,2025-01-14 14:22:03.221382,2025-01-14 14:30:17.738287,0 days 00:08:14.516905,2,0.30000000000000004,16,0.25,229,0.4,94,0,0.00021193528597027948,2,200,5,COMPLETE
33,0.4582299590110779,0.3983636498451233,2025-01-14 14:30:17.739216,2025-01-14 14:39:50.912075,0 days 00:09:33.172859,7,0.25,32,0.2,250,0.35000000000000003,51,1,0.00014273153794806215,2,1700,3,COMPLETE
34,0.49636754393577576,0.3794476389884949,2025-01-14 14:39:50.912937,2025-01-14 14:49:39.132907,0 days 00:09:48.219970,6,0.35000000000000003,16,0.0,198,0.45,41,0,0.0002960449054599562,2,200,4,COMPLETE
35,0.008472430519759655,0.5843695402145386,2025-01-14 14:49:39.133883,2025-01-14 14:53:36.830864,0 days 00:03:57.696981,6,0.5,128,0.30000000000000004,149,0.45,110,1,0.001730482273942597,2,400,4,COMPLETE
36,-0.004301905632019043,0.5846500396728516,2025-01-14 14:53:36.831705,2025-01-14 14:55:31.161627,0 days 00:01:54.329922,6,0.4,32,0.0,182,0.35000000000000003,41,1,0.0010530054235660161,3,2000,2,COMPLETE
37,-0.005957507994025946,0.5849231481552124,2025-01-14 14:55:31.162822,2025-01-14 15:03:55.075784,0 days 00:08:23.912962,6,0.45,32,0.1,201,0.15000000000000002,91,1,0.008515311963667858,1,1000,6,COMPLETE
38,0.37265437841415405,0.43926137685775757,2025-01-14 15:03:55.076743,2025-01-14 15:19:31.652606,0 days 00:15:36.575863,7,0.5,16,0.45,174,0.30000000000000004,63,1,0.0002804211511200706,2,600,7,COMPLETE
39,0.34804898500442505,0.4489831328392029,2025-01-14 15:19:31.653634,2025-01-14 15:36:09.096068,0 days 00:16:37.442434,5,0.05,128,0.25,315,0.25,51,0,0.00036427943647571,3,200,4,COMPLETE
40,-0.005365478806197643,0.5851778388023376,2025-01-14 15:36:09.096923,2025-01-14 15:38:59.945239,0 days 00:02:50.848316,7,0.45,32,0.35000000000000003,151,0.05,84,1,0.002163807290200649,2,1100,3,COMPLETE
41,0.2915787100791931,0.4650137424468994,2025-01-14 15:38:59.946384,2025-01-14 15:49:16.307521,0 days 00:10:16.361137,5,0.35000000000000003,16,0.05,195,0.35000000000000003,75,0,0.003963305806676305,2,400,5,COMPLETE
42,0.4903023838996887,0.3907357156276703,2025-01-14 15:49:16.308569,2025-01-14 15:57:03.916168,0 days 00:07:47.607599,6,0.25,16,0.0,168,0.5,44,0,0.0005204607873685118,2,200,4,COMPLETE
43,0.30578067898750305,0.4607849717140198,2025-01-14 15:57:03.917373,2025-01-14 16:04:05.192372,0 days 00:07:01.274999,6,0.4,64,0.15000000000000002,217,0.1,38,1,0.0006086348601891494,2,1800,3,COMPLETE
44,0.47370290756225586,0.39241471886634827,2025-01-14 16:04:05.193261,2025-01-14 16:24:37.562760,0 days 00:20:32.369499,7,0.30000000000000004,16,0.2,327,0.2,48,0,0.000818701915170808,1,1500,5,COMPLETE
45,0.47002774477005005,0.39559048414230347,2025-01-14 16:24:37.563932,2025-01-14 16:32:54.309744,0 days 00:08:16.745812,5,0.2,16,0.1,160,0.45,69,0,0.0012013407503503343,2,100,4,COMPLETE
46,-0.0012484074104577303,0.5849121809005737,2025-01-14 16:32:54.310837,2025-01-14 16:38:53.810862,0 days 00:05:59.500025,4,0.45,128,0.0,207,0.25,55,1,0.0055677629586165095,3,800,6,COMPLETE
47,0.48645028471946716,0.385894238948822,2025-01-14 16:38:53.811795,2025-01-14 16:47:16.408784,0 days 00:08:22.596989,7,0.05,32,0.45,239,0.05,119,0,0.00021244835870925607,1,500,2,COMPLETE
48,0.48117905855178833,0.3936377167701721,2025-01-14 16:47:16.409734,2025-01-14 16:56:46.105389,0 days 00:09:29.695655,6,0.15000000000000002,16,0.30000000000000004,183,0.35000000000000003,36,0,0.0006807151553685191,2,400,4,COMPLETE
49,0.4339279532432556,0.41614919900894165,2025-01-14 16:56:46.106704,2025-01-14 17:07:01.643883,0 days 00:10:15.537179,5,0.35000000000000003,16,0.4,228,0.4,44,1,0.0003970111182707856,2,600,3,COMPLETE
50,0.4541865289211273,0.4101877808570862,2025-01-14 17:07:01.645252,2025-01-14 17:24:37.685782,0 days 00:17:36.040530,6,0.25,64,0.5,196,0.45,60,0,0.0002882175466916152,3,1200,7,COMPLETE
51,0.4989202916622162,0.38861268758773804,2025-01-14 17:24:37.687116,2025-01-14 17:38:57.639500,0 days 00:14:19.952384,4,0.35000000000000003,16,0.15000000000000002,211,0.2,34,0,0.0007130779350031629,2,100,5,COMPLETE
52,0.4927632212638855,0.384143590927124,2025-01-14 17:38:57.640845,2025-01-14 17:48:19.529722,0 days 00:09:21.888877,4,0.35000000000000003,16,0.1,214,0.15000000000000002,34,0,0.000540820166348149,2,100,5,COMPLETE
53,0.4761015772819519,0.39327654242515564,2025-01-14 17:48:19.530676,2025-01-14 17:56:36.064793,0 days 00:08:16.534117,4,0.30000000000000004,16,0.2,213,0.15000000000000002,34,0,0.0005143788446277435,2,100,5,COMPLETE
54,0.46795234084129333,0.39710113406181335,2025-01-14 17:56:36.065908,2025-01-14 18:01:48.699914,0 days 00:05:12.634006,4,0.35000000000000003,16,0.05,171,0.2,48,0,0.0008478683613401873,2,300,4,COMPLETE
55,0.4707779884338379,0.3953433930873871,2025-01-14 18:01:48.701007,2025-01-14 18:12:39.947734,0 days 00:10:51.246727,5,0.45,16,0.1,261,0.25,42,0,0.00040645842205010055,2,200,5,COMPLETE
56,0.48765701055526733,0.3928183913230896,2025-01-14 18:12:39.948720,2025-01-14 18:21:39.130460,0 days 00:08:59.181740,4,0.4,16,0.0,187,0.30000000000000004,37,0,0.00031834246007507265,2,100,6,COMPLETE
57,0.4913442134857178,0.3869624733924866,2025-01-14 18:21:39.131548,2025-01-14 18:29:18.997588,0 days 00:07:39.866040,5,0.35000000000000003,16,0.05,200,0.15000000000000002,32,0,0.0005698479647389269,2,300,4,COMPLETE
58,0.34590068459510803,0.452429860830307,2025-01-14 18:29:18.998543,2025-01-14 18:40:07.680266,0 days 00:10:48.681723,5,0.30000000000000004,128,0.15000000000000002,208,0.1,47,0,0.00024139673266035784,2,200,5,COMPLETE
59,0.3256320059299469,0.46196261048316956,2025-01-14 18:40:07.681235,2025-01-14 18:45:26.960137,0 days 00:05:19.278902,4,0.4,16,0.35000000000000003,221,0.5,41,0,0.00269138601098924,1,100,4,COMPLETE
60,0.4549480974674225,0.4026302397251129,2025-01-14 18:45:26.961290,2025-01-14 19:01:03.280483,0 days 00:15:36.319193,7,0.30000000000000004,64,0.1,233,0.2,54,0,0.00045192576201125764,2,400,6,COMPLETE
61,0.494911253452301,0.38850247859954834,2025-01-14 19:01:03.281636,2025-01-14 19:16:01.626224,0 days 00:14:58.344588,3,0.35000000000000003,16,0.15000000000000002,345,0.2,36,0,0.000707314921607894,2,300,5,COMPLETE
