number,values_0,values_1,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.41661591457838104,0.42665255454662276,2024-12-11 09:10:34.157367,2024-12-11 09:11:04.304826,0 days 00:00:30.147459,0.6505414791848421,2.968403771694508,0.47488023128270807,54,19,1782,2.161967933748515,2.9419702736002327,0.6192109311661114,COMPLETE
1,0.3422700513374001,0.462147958115428,2024-12-11 09:11:04.305650,2024-12-11 09:11:37.474974,0 days 00:00:33.169324,0.8706821911325483,2.835472794491241,0.880645719219682,59,42,1882,1.5497617474507377,0.30666517725039794,0.988611321334337,COMPLETE
2,0.3925960049458835,0.43760278390958873,2024-12-11 09:11:37.475703,2024-12-11 09:11:59.581508,0 days 00:00:22.105805,0.7155319042443224,2.6751681376355814,0.6621601880419274,36,39,1236,0.36505401711919244,2.761746091041589,0.7798770844541896,COMPLETE
3,0.4564409411590485,0.41138252499935496,2024-12-11 09:11:59.582220,2024-12-11 09:12:14.916250,0 days 00:00:15.334030,0.5890680535379011,0.3879438600679188,0.39033303167497,47,35,748,0.12287394983047675,2.600617747392125,0.9031395064690881,COMPLETE
4,0.48496246593088055,0.4072992449023388,2024-12-11 09:12:14.916947,2024-12-11 09:12:27.473011,0 days 00:00:12.556064,0.7627754582350723,1.7621189297240047,0.07903222038645627,60,4,488,0.6051229081828583,1.919300285751979,0.8521109483372298,COMPLETE
5,0.4494963424236584,0.4085569047813305,2024-12-11 09:12:27.473752,2024-12-11 09:12:45.042937,0 days 00:00:17.569185,0.7361033202566232,1.1753345194138798,0.34672700570290155,73,20,888,1.5129247607330292,2.1664382137188682,0.5891524125671304,COMPLETE
6,0.46438070837115,0.41174189447146325,2024-12-11 09:12:45.043631,2024-12-11 09:13:03.504591,0 days 00:00:18.460960,0.6424714528577029,2.430118912823116,0.23792262186031624,70,8,991,1.405980985522065,1.460350353609824,0.685409874378752,COMPLETE
7,0.4350411927563659,0.41498050274769327,2024-12-11 09:13:03.505314,2024-12-11 09:13:12.807489,0 days 00:00:09.302175,0.9988344307636077,1.026889118733067,0.39387764204626635,68,38,368,0.10042746293414831,2.481059749914435,0.6111309465152994,COMPLETE
8,0.47565211506021876,0.397386114656332,2024-12-11 09:13:12.808123,2024-12-11 09:13:42.967150,0 days 00:00:30.159027,0.885492153476407,0.17985419642368206,0.11799128110021727,31,7,1305,2.5008631186952406,0.07327685714673164,0.9113536599487032,COMPLETE
9,0.4929609778541367,0.3922922150516067,2024-12-11 09:13:42.967760,2024-12-11 09:14:03.411486,0 days 00:00:20.443726,0.6203346590255051,0.5293837006104493,0.13145584085549994,55,30,908,1.0828338265799393,0.8972756159528267,0.6329502238944458,COMPLETE
10,0.45283617887912264,0.426977392900722,2024-12-11 09:14:03.412161,2024-12-11 09:14:08.435927,0 days 00:00:05.023766,0.5160104739546674,0.01609943131978475,0.038848292700214115,6,48,73,0.8901324768573897,0.8076249777751531,0.5073117954043552,COMPLETE
11,0.4715665198235655,0.4023383006947288,2024-12-11 09:14:08.436544,2024-12-11 09:14:34.123516,0 days 00:00:25.686972,0.5123116153764046,0.5523529536687974,0.2143990205545314,32,26,1361,2.883710730340507,1.110696535424825,0.7324636342142186,COMPLETE
12,0.3845187548661428,0.4478183958710337,2024-12-11 09:14:34.124215,2024-12-11 09:15:00.022711,0 days 00:00:25.898496,0.5913443688685003,1.7596728393117416,0.6300381529984189,24,29,1439,0.9011542999914364,0.19087613099210343,0.6898168564170699,COMPLETE
13,0.5181391222730161,0.38514578520388154,2024-12-11 09:15:00.023318,2024-12-11 09:15:24.220593,0 days 00:00:24.197275,0.8204942726133899,0.8634806469475711,0.028205114369962037,46,16,630,1.0899474473486896,0.7961242043942618,0.5335707852090881,COMPLETE
14,0.45796738326496317,0.4960263863668094,2024-12-11 09:15:24.221203,2024-12-11 09:16:14.654679,0 days 00:00:50.433476,0.8247274657845316,0.7804118500190522,0.0012116351348207023,15,15,496,1.1105020306881783,0.6879961026517862,0.511684362630761,COMPLETE
15,0.45736159481061867,0.411714763900713,2024-12-11 09:16:14.655299,2024-12-11 09:16:19.768835,0 days 00:00:05.113536,0.8100966986025583,1.3775596559993055,0.18635432634957727,46,15,129,1.854337974631373,1.3167365729357812,0.557448083939903,COMPLETE
