number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_feature_rate,params_lr,params_n_tree,params_tree_depth,state
0,0.4003831218360994,0.4522470892562872,2025-01-29 12:38:38.676945,2025-01-29 12:58:00.949075,0 days 00:19:22.272130,128,0.6,0.00019586775626909212,97,3,COMPLETE
1,0.42178358725535847,0.44222479290430794,2025-01-29 12:58:00.950614,2025-01-29 13:07:32.162633,0 days 00:09:31.212019,128,0.85,0.00023307388165394737,67,2,COMPLETE
2,0.27623230515630326,0.535532148134262,2025-01-29 13:07:32.164508,2025-01-29 13:24:33.450891,0 days 00:17:01.286383,128,0.4,0.0002463465959424827,84,4,COMPLETE
3,0.2722979066107321,0.5298653941161796,2025-01-29 13:24:33.452523,2025-01-29 13:50:58.404376,0 days 00:26:24.951853,128,0.35,0.00016449487469666994,77,5,COMPLETE
4,0.2972765667688555,0.5082497560597666,2025-01-29 13:50:58.405902,2025-01-29 14:02:45.454776,0 days 00:11:47.048874,256,0.5,0.00018252974102857773,46,4,COMPLETE
5,0.43743757950695816,0.43866083307232007,2025-01-29 14:02:45.456349,2025-01-29 14:06:15.956442,0 days 00:03:30.500093,128,0.45000000000000007,0.0006856535796005935,24,2,COMPLETE
6,0.2902198808023465,0.5021010802672763,2025-01-29 14:06:15.958369,2025-01-29 14:24:05.430676,0 days 00:17:49.472307,256,0.9,0.00045017468887247254,100,5,COMPLETE
7,0.10198227506712632,0.7058175120856409,2025-01-29 14:24:05.432092,2025-01-29 14:41:13.839973,0 days 00:17:08.407881,256,0.35,0.00011371290116462353,68,5,COMPLETE
8,0.4211350909875901,0.4463396231759864,2025-01-29 14:41:13.841540,2025-01-29 14:44:37.699598,0 days 00:03:23.858058,256,0.85,0.00026214943042807457,12,1,COMPLETE
9,0.38120415895792537,0.4569946082514903,2025-01-29 14:44:37.700776,2025-01-29 14:55:16.411916,0 days 00:10:38.711140,256,0.8,0.00042529834088737465,96,3,COMPLETE
10,0.41041585868306385,0.4600741630439753,2025-01-29 14:55:16.413999,2025-01-29 15:03:24.291760,0 days 00:08:07.877761,128,0.1,0.0009742619276987832,22,1,COMPLETE
11,0.4360512609505832,0.43413100886699996,2025-01-29 15:03:24.293410,2025-01-29 15:06:47.072533,0 days 00:03:22.779123,128,0.65,0.0009283751456492515,36,2,COMPLETE
12,0.43171368455673076,0.44249799315991256,2025-01-29 15:06:47.074594,2025-01-29 15:10:05.060395,0 days 00:03:17.985801,128,0.65,0.0009565161191407243,37,2,COMPLETE
13,0.4447233848581623,0.42891301615277183,2025-01-29 15:10:05.062762,2025-01-29 15:13:35.245737,0 days 00:03:30.182975,128,0.65,0.0007021961028364188,30,2,COMPLETE
14,0.40860169454865697,0.446725365485891,2025-01-29 15:13:35.247781,2025-01-29 15:18:15.307079,0 days 00:04:40.059298,128,0.7000000000000001,0.0004122973991195437,33,2,COMPLETE
15,0.42066420143501126,0.4522727157170964,2025-01-29 15:18:15.309515,2025-01-29 15:37:25.638913,0 days 00:19:10.329398,128,0.15000000000000002,0.000644193944065444,53,1,COMPLETE
16,0.3109908971059167,0.5083197309850261,2025-01-29 15:37:25.641365,2025-01-29 15:39:10.994468,0 days 00:01:45.353103,128,0.75,0.00032601485941158927,12,3,COMPLETE
17,0.25094384278212123,0.5251275913530756,2025-01-29 15:39:10.996461,2025-01-29 15:45:07.508470,0 days 00:05:56.512009,128,0.25,0.0006212202772422365,52,4,COMPLETE
18,0.3868130629628324,0.4637010951347043,2025-01-29 15:45:07.511625,2025-01-29 15:49:39.789390,0 days 00:04:32.277765,256,0.6,0.0005433514140851577,37,2,COMPLETE
19,0.33478215300596526,0.4890057521533221,2025-01-29 15:49:39.791862,2025-01-29 15:50:18.163625,0 days 00:00:38.371763,128,0.95,0.0008205427270776796,5,3,COMPLETE
20,0.4481706097046446,0.43731488852030403,2025-01-29 15:50:18.165292,2025-01-29 15:57:48.832196,0 days 00:07:30.666904,128,0.5,0.0003370917665180941,24,1,COMPLETE
21,0.44485305149199517,0.43720294011514627,2025-01-29 15:57:48.834315,2025-01-29 16:04:29.528078,0 days 00:06:40.693763,128,0.55,0.0003188889775495046,24,1,COMPLETE
22,0.44007159882635366,0.4364157031656835,2025-01-29 16:04:29.529817,2025-01-29 16:11:57.942345,0 days 00:07:28.412528,128,0.5,0.0003385159978220242,23,1,COMPLETE
23,0.45591672599233474,0.43184308982881714,2025-01-29 16:11:57.944020,2025-01-29 16:21:41.385509,0 days 00:09:43.441489,128,0.55,0.0005146773029565217,48,1,COMPLETE
24,0.44815153560111315,0.4348217811208236,2025-01-29 16:21:41.387185,2025-01-29 16:30:27.576995,0 days 00:08:46.189810,128,0.7000000000000001,0.000490184242712503,59,1,COMPLETE
25,0.4185146966673579,0.45539261583385626,2025-01-29 16:30:27.578871,2025-01-29 16:52:33.429244,0 days 00:22:05.850373,256,0.25,0.0004976208836188982,61,1,COMPLETE
26,0.43737930423756544,0.4332368459204548,2025-01-29 16:52:33.430693,2025-01-29 16:56:33.327970,0 days 00:03:59.897277,128,0.7000000000000001,0.0007183762824521584,45,2,COMPLETE
27,0.4412771951374359,0.4377849911178924,2025-01-29 16:56:33.329307,2025-01-29 17:08:02.066256,0 days 00:11:28.736949,128,0.4,0.0005586239028308161,56,1,COMPLETE
28,0.42481205488653534,0.4465755565826578,2025-01-29 17:08:02.067870,2025-01-29 17:14:12.253262,0 days 00:06:10.185392,256,0.6,0.0007708351948816977,47,1,COMPLETE
29,0.4484701312527205,0.42819976897909545,2025-01-29 17:14:12.254820,2025-01-29 17:22:45.160660,0 days 00:08:32.905840,128,0.6,0.0005643464597255829,62,2,COMPLETE
30,0.38466165831466215,0.46342989431621423,2025-01-29 17:22:45.163191,2025-01-29 17:32:02.085272,0 days 00:09:16.922081,128,0.6,0.00038741343127981413,78,3,COMPLETE
31,0.4477475083134047,0.43609982188736607,2025-01-29 17:32:02.086323,2025-01-29 17:42:50.510891,0 days 00:10:48.424568,128,0.55,0.0004916703933340298,60,1,COMPLETE
32,0.4540327371839969,0.42721672309824454,2025-01-29 17:42:50.512795,2025-01-29 17:51:55.307512,0 days 00:09:04.794717,128,0.45000000000000007,0.0005983545377754523,68,2,COMPLETE
33,0.43418533475620047,0.4390761747950961,2025-01-29 17:51:55.308954,2025-01-29 18:01:10.854511,0 days 00:09:15.545557,128,0.45000000000000007,0.0005842427721985804,68,2,COMPLETE
34,0.39743002950899997,0.4528401419669831,2025-01-29 18:01:10.856147,2025-01-29 18:13:47.919861,0 days 00:12:37.063714,128,0.25,0.0006757183765154938,75,3,COMPLETE
35,0.4486954623410595,0.4292861145125297,2025-01-29 18:13:47.921441,2025-01-29 18:23:43.069238,0 days 00:09:55.147797,128,0.4,0.0008286096191342631,85,2,COMPLETE
36,0.43542677245753847,0.4372286778363373,2025-01-29 18:23:43.071204,2025-01-29 18:35:02.779578,0 days 00:11:19.708374,128,0.35,0.0008256226380518768,82,2,COMPLETE
37,0.2741481014209099,0.5077676441402443,2025-01-29 18:35:02.782174,2025-01-29 18:45:59.372779,0 days 00:10:56.590605,128,0.45000000000000007,0.00038090438075071963,87,4,COMPLETE
38,0.22221158585791995,0.5699770666947207,2025-01-29 18:45:59.375402,2025-01-29 18:53:38.328106,0 days 00:07:38.952704,256,0.4,0.0002663675126479871,43,3,COMPLETE
39,0.3409533709636728,0.4840171294246611,2025-01-29 18:53:38.329614,2025-01-29 19:09:21.455772,0 days 00:15:43.126158,128,0.55,0.0002262473687038759,66,4,COMPLETE
40,0.42033021692917566,0.44641395980916465,2025-01-29 19:09:21.457766,2025-01-29 19:22:37.396324,0 days 00:13:15.938558,256,0.4,0.0005776525240776149,73,2,COMPLETE
41,0.42578124200864254,0.43974594548179946,2025-01-29 19:22:37.398323,2025-01-29 19:39:39.212572,0 days 00:17:01.814249,128,0.35,0.00045349982872157547,94,2,COMPLETE
42,0.41708201200183553,0.4392588114421521,2025-01-29 19:39:39.215156,2025-01-29 19:51:03.828085,0 days 00:11:24.612929,128,0.5,0.00015423405542287473,31,2,COMPLETE
43,0.23585354677797077,0.5402458837479898,2025-01-29 19:51:03.830617,2025-01-29 20:01:43.866932,0 days 00:10:40.036315,128,0.30000000000000004,0.0006981436821294453,64,5,COMPLETE
44,0.45536706812246297,0.42313989826819876,2025-01-29 20:01:43.869658,2025-01-29 20:13:30.269796,0 days 00:11:46.400138,128,0.45000000000000007,0.0006058989494522313,72,2,COMPLETE
45,0.30772819609946145,0.49591866286612235,2025-01-29 20:13:30.273049,2025-01-29 20:49:29.234082,0 days 00:35:58.961033,256,0.45000000000000007,0.00011599986417982315,89,3,COMPLETE
46,0.20309065484336575,0.579763545961671,2025-01-29 20:49:29.237022,2025-01-29 21:06:37.810299,0 days 00:17:08.573277,256,0.15000000000000002,0.000857348459009814,71,5,COMPLETE
47,0.2872415670745841,0.5022609094914408,2025-01-29 21:06:37.812522,2025-01-29 21:26:18.131383,0 days 00:19:40.318861,256,0.30000000000000004,0.00028501350238640215,80,4,COMPLETE
48,0.3415326202502425,0.4807517687572915,2025-01-29 21:26:18.134421,2025-01-29 21:32:51.433579,0 days 00:06:33.299158,128,0.85,0.000997323172423527,86,4,COMPLETE
49,0.3907151833824526,0.4556259774753554,2025-01-29 21:32:51.435728,2025-01-29 21:45:11.265978,0 days 00:12:19.830250,256,0.45000000000000007,0.0006234926535799443,91,3,COMPLETE
