number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lasso_weight,params_lr,params_n_layers,params_neurons,state
0,0.5124483515916356,0.3980625546295555,2025-01-07 13:28:58.542547,2025-01-07 13:29:36.802897,0 days 00:00:38.260350,16,0.05,0.051057857987527516,0.0004050931496105235,2,1900,COMPLETE
1,0.4898109086556005,0.40823337012104555,2025-01-07 13:29:36.806194,2025-01-07 13:30:01.521451,0 days 00:00:24.715257,32,0.25,0.25378228321083,0.0007267936478940311,3,1400,COMPLETE
2,0.46369171700772494,0.43048592863774016,2025-01-07 13:30:01.523900,2025-01-07 13:30:17.094572,0 days 00:00:15.570672,16,0.4,0.26778345636309686,0.0006525564393413041,2,1100,COMPLETE
3,0.4389850961552405,0.4569316241485093,2025-01-07 13:30:17.096334,2025-01-07 13:30:35.817011,0 days 00:00:18.720677,16,0.5,0.16541545058207918,0.0005333109210940909,2,1300,COMPLETE
4,0.5086150217365353,0.408483289005085,2025-01-07 13:30:35.817885,2025-01-07 13:31:01.390329,0 days 00:00:25.572444,128,0.0,0.2636595341909112,0.0005723572438582113,3,1700,COMPLETE
5,0.49930179973867217,0.3981352160927247,2025-01-07 13:31:01.393388,2025-01-07 13:31:33.733780,0 days 00:00:32.340392,16,0.35000000000000003,0.23030980310628246,0.0004540490672676954,1,800,COMPLETE
6,0.49867047960545874,0.40833564004678946,2025-01-07 13:31:33.735506,2025-01-07 13:31:54.720945,0 days 00:00:20.985439,64,0.1,0.01903242583048015,0.0005446642727231376,2,1900,COMPLETE
7,0.5146576543939905,0.4029915700000628,2025-01-07 13:31:54.724217,2025-01-07 13:32:12.736665,0 days 00:00:18.012448,64,0.0,0.3017258657398994,0.00015035346731327064,1,1300,COMPLETE
8,0.4936902489471816,0.41676991946449454,2025-01-07 13:32:12.738421,2025-01-07 13:32:30.933411,0 days 00:00:18.194990,64,0.4,0.11179236108100743,0.0002896302712111147,1,1100,COMPLETE
9,0.503870158391872,0.4068062910675173,2025-01-07 13:32:30.935093,2025-01-07 13:33:01.296550,0 days 00:00:30.361457,32,0.30000000000000004,0.18015012504172093,0.00022710896814062283,3,1500,COMPLETE
10,0.5243685950423178,0.39133220202961755,2025-01-07 13:33:01.300577,2025-01-07 13:33:24.474502,0 days 00:00:23.173925,128,0.15000000000000002,0.36307369266353134,0.0009087776149606955,2,400,COMPLETE
11,0.5037547310515176,0.4002522095408006,2025-01-07 13:33:24.476876,2025-01-07 13:33:41.223009,0 days 00:00:16.746133,128,0.15000000000000002,0.343703827848869,0.0009907514862880996,2,200,COMPLETE
12,0.511126074892824,0.39689599311767865,2025-01-07 13:33:41.224550,2025-01-07 13:34:10.949141,0 days 00:00:29.724591,128,0.15000000000000002,0.39970543760942495,0.0009436964480519072,2,100,COMPLETE
