number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_n_layers,params_neurons,state
0,0.500903337895547,0.4089065808420315,2024-12-11 16:24:31.837603,2024-12-11 16:24:46.189495,0 days 00:00:14.351892,32,0.2,0.0002445292160154341,2,700,COMPLETE
1,0.45626596318433704,0.43321464461909465,2024-12-11 16:24:46.190156,2024-12-11 16:24:56.962649,0 days 00:00:10.772493,16,0.05,0.0002191445826209303,1,900,COMPLETE
2,0.4857139549750308,0.42111308635468314,2024-12-11 16:24:56.963969,2024-12-11 16:25:13.730296,0 days 00:00:16.766327,64,0.5,0.0002605010821056495,2,2000,COMPLETE
3,0.46522730229565584,0.4231319260224291,2024-12-11 16:25:13.733642,2024-12-11 16:25:27.484400,0 days 00:00:13.750758,16,0.5,0.0001580185378930947,1,1300,COMPLETE
4,0.5126994488539904,0.4182678716006918,2024-12-11 16:25:27.485956,2024-12-11 16:25:44.135339,0 days 00:00:16.649383,32,0.2,0.0008587872534897917,3,1100,COMPLETE
5,0.454741122263871,0.4247752887905006,2024-12-11 16:25:44.138627,2024-12-11 16:25:59.330498,0 days 00:00:15.191871,16,0.2,0.000214870270023548,1,900,COMPLETE
6,0.4869925819606373,0.41774454031930325,2024-12-11 16:25:59.331414,2024-12-11 16:26:17.856362,0 days 00:00:18.524948,16,0.0,0.00013391551917673076,2,2000,COMPLETE
7,0.46545589547693833,0.4189165103088822,2024-12-11 16:26:17.859599,2024-12-11 16:26:30.892688,0 days 00:00:13.033089,32,0.25,0.00014222773322436637,1,700,COMPLETE
8,0.4969450967170272,0.4094107561722365,2024-12-11 16:26:30.893748,2024-12-11 16:26:51.063237,0 days 00:00:20.169489,128,0.35000000000000003,0.00011367965876253505,2,1900,COMPLETE
9,0.4878192964886514,0.40587908896080255,2024-12-11 16:26:51.064836,2024-12-11 16:27:06.467932,0 days 00:00:15.403096,128,0.15000000000000002,0.0005013713064670465,2,1700,COMPLETE
10,0.49705996800572405,0.41525616672750265,2024-12-11 16:27:06.470887,2024-12-11 16:27:23.160720,0 days 00:00:16.689833,32,0.35000000000000003,0.00038223535750314593,3,200,COMPLETE
11,0.5121917969182965,0.4020905010833675,2024-12-11 16:27:23.162462,2024-12-11 16:27:39.889152,0 days 00:00:16.726690,32,0.1,0.0008477533257071208,3,400,COMPLETE
12,0.48965128376697775,0.40833466779457855,2024-12-11 16:27:39.891226,2024-12-11 16:27:50.780901,0 days 00:00:10.889675,32,0.05,0.0009816338872182119,3,100,COMPLETE
13,0.5123091256418771,0.40336565658962814,2024-12-11 16:27:50.782320,2024-12-11 16:28:03.943353,0 days 00:00:13.161033,64,0.1,0.0009104133818658813,3,400,COMPLETE
14,0.515750876317275,0.43655688171104945,2024-12-11 16:28:03.945487,2024-12-11 16:28:25.243949,0 days 00:00:21.298462,32,0.35000000000000003,0.0006330506679273028,3,1400,COMPLETE
15,0.46308126277509876,0.45420918893718615,2024-12-11 16:28:25.247837,2024-12-11 16:28:44.073709,0 days 00:00:18.825872,32,0.35000000000000003,0.0006956570727713813,3,1400,COMPLETE
16,0.4955229067558564,0.40276651463209745,2024-12-11 16:28:44.077078,2024-12-11 16:28:53.312878,0 days 00:00:09.235800,64,0.0,0.0006150938578815216,3,400,COMPLETE
17,0.4863417476101092,0.41407689370856193,2024-12-11 16:28:53.315470,2024-12-11 16:29:10.292910,0 days 00:00:16.977440,128,0.30000000000000004,0.000441793732115601,2,500,COMPLETE
18,0.4957484050240678,0.4068585338708151,2024-12-11 16:29:10.294790,2024-12-11 16:29:31.272544,0 days 00:00:20.977754,32,0.1,0.0006913979370128473,3,1600,COMPLETE
19,0.4115977370558678,0.4750097032074782,2024-12-11 16:29:31.276366,2024-12-11 16:29:44.017985,0 days 00:00:12.741619,32,0.45,0.0005445554878879483,3,1200,COMPLETE
20,0.49906395654074764,0.3999586604479344,2024-12-11 16:29:44.018651,2024-12-11 16:29:59.701449,0 days 00:00:15.682798,64,0.1,0.00036003010966619643,3,600,COMPLETE
21,0.5012099997799162,0.3986024356945847,2024-12-11 16:29:59.703804,2024-12-11 16:30:14.908490,0 days 00:00:15.204686,64,0.1,0.0007477181074705825,3,700,COMPLETE
