number,values_0,values_1,datetime_start,datetime_complete,duration,params_BN,params_aggregation,params_batch_size,params_depth,params_dropout_bond,params_dropout_ffn,params_hidden_bond,params_hidden_ffn,params_init_lr,params_layer,params_warmup_epochs,state
0,0.34280743229700866,0.5257379412651062,2024-12-18 00:48:45.681780,2024-12-18 01:00:09.469682,0 days 00:11:23.787902,True,sum,128,3,0.25,0.15000000000000002,600,2000,0.0002979662863278567,5,7,COMPLETE
1,0.2863544377048004,0.6311991214752197,2024-12-18 01:00:09.473690,2024-12-18 01:19:02.738500,0 days 00:18:53.264810,False,sum,128,2,0.1,0.30000000000000004,900,1400,0.0006678422239819404,1,3,COMPLETE
2,0.6185044508049559,0.4175031781196594,2024-12-18 01:19:02.750575,2024-12-18 01:26:12.506464,0 days 00:07:09.755889,False,norm,16,5,0.1,0.05,500,900,0.0001679291785826474,1,8,COMPLETE
3,0.453327603025761,0.44361966848373413,2024-12-18 01:26:12.514865,2024-12-18 01:34:07.982615,0 days 00:07:55.467750,False,norm,32,3,0.4,0.45,200,500,0.00011722221937535955,4,8,COMPLETE
4,0.19077009161578892,0.5605676770210266,2024-12-18 01:34:07.994687,2024-12-18 01:40:12.421827,0 days 00:06:04.427140,True,sum,16,1,0.05,0.35000000000000003,500,1900,0.0002723974501912266,1,10,COMPLETE
5,0.010625191465284435,0.6230459213256836,2024-12-18 01:40:12.434282,2024-12-18 01:47:02.985099,0 days 00:06:50.550817,True,sum,16,5,0.05,0.4,400,800,0.00011195958479090367,5,2,COMPLETE
6,0.3927055889495932,0.4876135289669037,2024-12-18 01:47:02.987051,2024-12-18 01:56:08.564230,0 days 00:09:05.577179,False,norm,32,1,0.2,0.25,500,1300,0.0002073181441757577,3,3,COMPLETE
7,0.5452703776160495,0.4121779203414917,2024-12-18 01:56:08.566243,2024-12-18 02:06:15.126712,0 days 00:10:06.560469,True,norm,128,4,0.35000000000000003,0.25,200,1400,0.0005618868655673099,1,3,COMPLETE
8,0.6593925147641764,0.3595931828022003,2024-12-18 02:06:15.132427,2024-12-18 02:12:40.876515,0 days 00:06:25.744088,True,sum,64,2,0.0,0.30000000000000004,500,500,0.0002839104720219943,1,3,COMPLETE
9,0.5724775950475828,0.4648239314556122,2024-12-18 02:12:40.888200,2024-12-18 02:21:12.390087,0 days 00:08:31.501887,True,sum,64,1,0.4,0.05,1000,1400,0.0004544860241787504,5,3,COMPLETE
10,0.6339316485825472,0.3506300449371338,2024-12-18 02:21:12.394694,2024-12-18 02:27:02.612790,0 days 00:05:50.218096,True,mean,64,2,0.5,0.15000000000000002,800,100,0.000998754223603081,3,5,COMPLETE
11,0.7380046168186202,0.29826751351356506,2024-12-18 02:27:02.618291,2024-12-18 02:34:33.001464,0 days 00:07:30.383173,True,mean,64,2,0.0,0.15000000000000002,800,300,0.00040981687477242005,3,5,COMPLETE
12,0.6875935990746281,0.35111966729164124,2024-12-18 02:34:33.011599,2024-12-18 02:42:08.120756,0 days 00:07:35.109157,True,mean,64,2,0.0,0.15000000000000002,700,100,0.0003929321906139916,2,5,COMPLETE
13,0.7736376524404287,0.316263347864151,2024-12-18 02:42:08.129594,2024-12-18 02:50:05.783229,0 days 00:07:57.653635,True,mean,64,4,0.0,0.15000000000000002,700,100,0.00040882820474516556,2,5,COMPLETE
14,0.7258553363767981,0.3285350799560547,2024-12-18 02:50:05.792844,2024-12-18 02:57:01.064244,0 days 00:06:55.271400,True,mean,64,4,0.15000000000000002,0.0,700,400,0.00039749939978357717,2,5,COMPLETE
15,0.7195139746803186,0.31991487741470337,2024-12-18 02:57:01.077531,2024-12-18 03:04:23.114065,0 days 00:07:22.036534,True,mean,64,3,0.0,0.2,1000,300,0.0005519314164486922,3,6,COMPLETE
16,0.4749184190081932,0.46823692321777344,2024-12-18 03:04:23.130258,2024-12-18 03:14:39.828863,0 days 00:10:16.698605,True,mean,64,4,0.30000000000000004,0.1,800,700,0.0003640334639566287,2,6,COMPLETE
17,0.3157714134246178,0.5661841034889221,2024-12-18 03:14:39.845731,2024-12-18 03:23:11.496922,0 days 00:08:31.651191,True,mean,64,3,0.15000000000000002,0.5,800,100,0.00022197992591181984,4,4,COMPLETE
18,,,2024-12-18 03:23:11.499203,2024-12-18 03:30:26.730098,0 days 00:07:15.230895,False,mean,32,4,0.1,0.2,700,1100,0.0003319360341406521,4,7,FAIL
19,0.3958188095538835,0.4572373628616333,2024-12-18 03:30:26.734047,2024-12-18 03:37:27.667270,0 days 00:07:00.933223,False,mean,32,4,0.1,0.2,300,1100,0.00047336210548461487,4,7,COMPLETE
20,0.6931303165281785,0.3335701823234558,2024-12-18 03:37:27.675840,2024-12-18 03:45:49.765246,0 days 00:08:22.089406,True,mean,64,5,0.2,0.0,700,300,0.00033537230314394296,2,10,COMPLETE
21,0.709041191291729,0.45583927631378174,2024-12-18 03:45:49.772817,2024-12-18 03:54:22.957019,0 days 00:08:33.184202,True,mean,64,2,0.05,0.1,900,700,0.0007021863671187878,3,4,COMPLETE
22,0.6401556880107968,0.36425384879112244,2024-12-18 03:54:22.963498,2024-12-18 04:00:57.566557,0 days 00:06:34.603059,True,mean,64,3,0.0,0.2,1000,300,0.0004969569383775268,3,6,COMPLETE
23,0.4555496883292003,0.45238712430000305,2024-12-18 04:00:57.574174,2024-12-18 04:08:17.939844,0 days 00:07:20.365670,True,mean,64,4,0.0,0.2,600,300,0.0003682839118458212,3,5,COMPLETE
24,0.5402631902228061,0.39885613322257996,2024-12-18 04:08:17.954161,2024-12-18 04:18:48.567486,0 days 00:10:30.613325,False,mean,64,2,0.05,0.1,900,500,0.0006156778280843808,2,7,COMPLETE
25,0.001927974431033928,0.6711630821228027,2024-12-18 04:18:48.572041,2024-12-18 04:26:48.303392,0 days 00:07:59.731351,True,mean,16,3,0.0,0.25,100,1700,0.00045504640100781687,4,4,COMPLETE
26,0.4350130798747904,0.5254326462745667,2024-12-18 04:26:48.314712,2024-12-18 04:34:05.044124,0 days 00:07:16.729412,True,mean,32,1,0.1,0.05,700,200,0.0003167490060501141,3,6,COMPLETE
27,0.7348257407945945,0.33144351840019226,2024-12-18 04:34:05.056770,2024-12-18 04:45:07.200739,0 days 00:11:02.143969,True,mean,128,3,0.5,0.15000000000000002,800,600,0.0005538485315480155,2,6,COMPLETE
28,0.6203580696964546,0.381224662065506,2024-12-18 04:45:07.214075,2024-12-18 04:54:59.189992,0 days 00:09:51.975917,False,norm,64,4,0.05,0.2,600,300,0.00025209993183359617,2,4,COMPLETE
29,0.3638219405560143,0.543999433517456,2024-12-18 04:54:59.194757,2024-12-18 05:04:52.154714,0 days 00:09:52.959957,True,mean,64,5,0.15000000000000002,0.1,900,1000,0.00033562641930813086,3,2,COMPLETE
30,0.5876634301149462,0.382257878780365,2024-12-18 05:04:52.166296,2024-12-18 05:14:09.813169,0 days 00:09:17.646873,True,mean,128,2,0.25,0.15000000000000002,600,200,0.0003011958470165901,4,8,COMPLETE
31,0.45159061829837177,0.49619758129119873,2024-12-18 05:14:09.826289,2024-12-18 05:20:47.084396,0 days 00:06:37.258107,True,norm,16,3,0.0,0.30000000000000004,400,400,0.00041430965014702163,3,9,COMPLETE
32,0.7067319633202601,0.3312757909297943,2024-12-18 05:20:47.086101,2024-12-18 05:32:13.851782,0 days 00:11:26.765681,True,mean,128,3,0.05,0.15000000000000002,800,600,0.0005431167513553084,2,6,COMPLETE
33,0.6175852201413796,0.3678942322731018,2024-12-18 05:32:13.855094,2024-12-18 05:39:56.231162,0 days 00:07:42.376068,True,mean,64,3,0.5,0.2,700,100,0.0004090526248434567,2,5,COMPLETE
34,0.010990158278733403,0.6102567315101624,2024-12-18 05:39:56.232761,2024-12-18 05:51:41.163496,0 days 00:11:44.930735,False,sum,128,4,0.1,0.05,800,200,0.0007326808576076079,2,7,COMPLETE
35,0.5905240861399639,0.3965294063091278,2024-12-18 05:51:41.172788,2024-12-18 06:00:38.939355,0 days 00:08:57.766567,False,mean,64,2,0.0,0.15000000000000002,1000,400,0.00015896866810020398,1,5,COMPLETE
