number,values_0,values_1,datetime_start,datetime_complete,duration,params_average_before_softmax,params_n_estimators,params_softmax_temperature,state
0,0.5013146893237159,0.4178233364034236,2025-01-14 15:47:57.931058,2025-01-14 15:49:48.378651,0 days 00:01:50.447593,False,19,0.06403335079362563,COMPLETE
1,0.5047822487297255,0.40101147230642253,2025-01-14 15:49:48.379439,2025-01-14 15:52:38.311705,0 days 00:02:49.932266,False,29,0.9060925984596826,COMPLETE
2,0.5025417407109641,0.40487985468678767,2025-01-14 15:52:38.312591,2025-01-14 15:54:05.637029,0 days 00:01:27.324438,False,14,0.3632834710194452,COMPLETE
3,0.5062571172843735,0.4005175642372213,2025-01-14 15:54:05.637861,2025-01-14 15:56:38.066980,0 days 00:02:32.429119,False,25,0.8790838320744698,COMPLETE
4,0.5009894042901959,0.4097610652711416,2025-01-14 15:56:38.067936,2025-01-14 16:00:04.589329,0 days 00:03:26.521393,True,34,0.24925628713811926,COMPLETE
5,0.5043837188937357,0.4014408295262929,2025-01-14 16:00:04.590186,2025-01-14 16:07:12.060368,0 days 00:07:07.470182,False,75,0.5817971417076387,COMPLETE
6,0.505346887244723,0.40162247229278397,2025-01-14 16:07:12.061264,2025-01-14 16:11:48.189113,0 days 00:04:36.127849,False,44,0.9973252486594878,COMPLETE
7,0.5037054278171534,0.4047416560104219,2025-01-14 16:11:48.189953,2025-01-14 16:14:49.394931,0 days 00:03:01.204978,True,28,0.36680586065723286,COMPLETE
8,0.5033614351020834,0.4025907590479685,2025-01-14 16:14:49.395706,2025-01-14 16:16:34.468969,0 days 00:01:45.073263,False,16,0.9320948607949749,COMPLETE
9,0.5044698986670564,0.4014936044476799,2025-01-14 16:16:34.469657,2025-01-14 16:18:40.131742,0 days 00:02:05.662085,False,21,0.6519085996369212,COMPLETE
10,0.5050673413185076,0.4012914196713179,2025-01-14 16:18:40.132542,2025-01-14 16:25:26.897498,0 days 00:06:46.764956,True,66,0.740079900171249,COMPLETE
11,0.5047585117666717,0.40093515733705665,2025-01-14 16:25:26.898333,2025-01-14 16:35:42.850714,0 days 00:10:15.952381,False,99,0.8041183174717107,COMPLETE
12,0.49494158295211205,0.402992238166514,2025-01-14 16:35:42.851764,2025-01-14 16:35:54.565726,0 days 00:00:11.713962,True,1,0.7363532470544193,COMPLETE
13,0.5048225241113784,0.401043463007097,2025-01-14 16:35:54.566388,2025-01-14 16:46:16.130044,0 days 00:10:21.563656,False,100,0.8210012939166886,COMPLETE
14,0.504564058011186,0.40092102631655796,2025-01-14 16:46:16.131081,2025-01-14 16:51:38.552603,0 days 00:05:22.421522,False,55,0.7996918562607485,COMPLETE
15,0.4963380607472219,0.40454666276147694,2025-01-14 16:51:38.553564,2025-01-14 16:51:59.022712,0 days 00:00:20.469148,True,3,0.9920150557790943,COMPLETE
16,0.5051802846278883,0.40050625851351757,2025-01-14 16:51:59.023445,2025-01-14 16:56:32.719813,0 days 00:04:33.696368,False,44,0.615157152710375,COMPLETE
17,0.5051804936182689,0.4005049697189832,2025-01-14 16:56:32.720561,2025-01-14 17:01:22.809797,0 days 00:04:50.089236,False,44,0.6153528429704638,COMPLETE
18,0.5039851519145265,0.4028740621963525,2025-01-14 17:01:22.810758,2025-01-14 17:10:01.914471,0 days 00:08:39.103713,True,83,0.5397628256907342,COMPLETE
19,0.5040843626192151,0.4010417065200973,2025-01-14 17:10:01.915343,2025-01-14 17:15:33.808328,0 days 00:05:31.892985,False,53,0.6791504825957154,COMPLETE
20,0.5047313162870969,0.40132946502181943,2025-01-14 17:15:33.809009,2025-01-14 17:19:47.275584,0 days 00:04:13.466575,False,40,0.8773647359932396,COMPLETE
21,0.5048971493393626,0.4013849062334671,2025-01-14 17:19:47.276560,2025-01-14 17:20:58.803791,0 days 00:01:11.527231,False,11,0.635318521955655,COMPLETE
22,0.5049008134114057,0.4011668460486243,2025-01-14 17:20:58.804846,2025-01-14 17:25:13.989640,0 days 00:04:15.184794,False,41,0.8772933236261453,COMPLETE
23,0.505401009851776,0.4029799024686535,2025-01-14 17:25:13.990386,2025-01-14 17:27:45.583043,0 days 00:02:31.592657,True,25,0.48489190307921964,COMPLETE
24,0.5053466423156102,0.4004085092043691,2025-01-14 17:27:45.583745,2025-01-14 17:34:11.873256,0 days 00:06:26.289511,False,64,0.7288351237707777,COMPLETE
