number,values_0,values_1,datetime_start,datetime_complete,duration,params_amount_heads,params_attn_dropout,params_batch_size,params_dropout,params_encoder_output_dim,params_ff_dropout,params_head_dim,params_layer_norm,params_lr,params_n_layers,params_neurons,params_transformer_depth,state
0,0.43195897340774536,0.43755903840065,2025-01-15 01:38:41.325600,2025-01-15 01:48:29.550682,0 days 00:09:48.225082,3,0.30000000000000004,64,0.15000000000000002,273,0.4,90,0,0.00035791101064794356,1,1300,7,COMPLETE
1,0.4388965666294098,0.4367161691188812,2025-01-15 01:48:29.551386,2025-01-15 01:53:25.188370,0 days 00:04:55.636984,6,0.0,32,0.45,140,0.45,71,0,0.00010476441029192678,3,1600,4,COMPLETE
2,0.43933504819869995,0.43594688177108765,2025-01-15 01:53:25.189163,2025-01-15 02:00:27.585184,0 days 00:07:02.396021,3,0.1,16,0.1,260,0.1,52,0,0.00015137643105111496,3,1900,6,COMPLETE
3,0.013125861063599586,0.6072002649307251,2025-01-15 02:00:27.585891,2025-01-15 02:01:44.520986,0 days 00:01:16.935095,3,0.35000000000000003,16,0.15000000000000002,229,0.45,96,0,0.007976528491047415,2,1500,2,COMPLETE
4,-0.00038022996159270406,0.6088423728942871,2025-01-15 02:01:44.521652,2025-01-15 02:06:14.315591,0 days 00:04:29.793939,7,0.25,32,0.5,253,0.2,110,1,0.0024368673672398836,2,1200,7,COMPLETE
5,0.393402636051178,0.45551443099975586,2025-01-15 02:06:14.316433,2025-01-15 02:10:59.460679,0 days 00:04:45.144246,2,0.5,32,0.45,287,0.15000000000000002,51,1,0.00011946132215496507,1,600,4,COMPLETE
6,0.44034767150878906,0.435293048620224,2025-01-15 02:10:59.461439,2025-01-15 02:21:05.026931,0 days 00:10:05.565492,7,0.4,16,0.1,231,0.2,123,0,0.0003148919876815542,3,2000,6,COMPLETE
7,0.40037816762924194,0.44693273305892944,2025-01-15 02:21:05.027961,2025-01-15 02:24:05.476343,0 days 00:03:00.448382,2,0.5,32,0.45,234,0.05,41,1,0.00022228302609100472,3,1400,3,COMPLETE
8,0.015495514497160912,0.6055704951286316,2025-01-15 02:24:05.477146,2025-01-15 02:26:43.304110,0 days 00:02:37.826964,6,0.15000000000000002,32,0.15000000000000002,190,0.4,123,1,0.0041409467670057935,3,1500,4,COMPLETE
9,-0.0051274774596095085,0.6094377636909485,2025-01-15 02:26:43.305066,2025-01-15 02:31:36.081744,0 days 00:04:52.776678,6,0.5,128,0.2,261,0.0,84,1,0.007853578694368094,2,1500,7,COMPLETE
10,0.4523943066596985,0.42677050828933716,2025-01-15 02:31:36.082525,2025-01-15 02:41:01.374907,0 days 00:09:25.292382,5,0.4,16,0.0,334,0.30000000000000004,124,0,0.0005008178256888232,2,100,5,COMPLETE
11,0.4404277801513672,0.4340350031852722,2025-01-15 02:41:01.375643,2025-01-15 02:50:41.175040,0 days 00:09:39.799397,5,0.4,16,0.0,349,0.30000000000000004,128,0,0.0006829645745722513,2,300,5,COMPLETE
12,0.44226542115211487,0.43042653799057007,2025-01-15 02:50:41.176075,2025-01-15 02:59:03.606856,0 days 00:08:22.430781,5,0.4,16,0.0,351,0.30000000000000004,69,0,0.0008282152622791357,2,100,5,COMPLETE
13,0.22108764946460724,0.529788613319397,2025-01-15 02:59:03.607676,2025-01-15 03:06:38.861559,0 days 00:07:35.253883,4,0.2,128,0.0,352,0.30000000000000004,106,0,0.0009363413843342844,1,100,5,COMPLETE
14,0.29983964562416077,0.49091967940330505,2025-01-15 03:06:38.862469,2025-01-15 03:09:02.109741,0 days 00:02:23.247272,5,0.4,64,0.30000000000000004,309,0.30000000000000004,70,0,0.0005972655773278939,2,700,2,COMPLETE
15,0.43792685866355896,0.4307946264743805,2025-01-15 03:09:02.110577,2025-01-15 03:17:32.082285,0 days 00:08:29.971708,4,0.30000000000000004,16,0.0,317,0.25,107,0,0.0011746506795120484,1,500,6,COMPLETE
16,0.4584225118160248,0.4219281077384949,2025-01-15 03:17:32.083176,2025-01-15 03:24:36.930383,0 days 00:07:04.847207,5,0.0,16,0.30000000000000004,192,0.35000000000000003,72,0,0.0017974041124848858,2,900,5,COMPLETE
17,0.2702021598815918,0.5081009268760681,2025-01-15 03:24:36.931211,2025-01-15 03:26:34.791536,0 days 00:01:57.860325,4,0.0,128,0.30000000000000004,192,0.5,32,0,0.0017936506329200665,1,900,3,COMPLETE
18,0.07619597017765045,0.5824815630912781,2025-01-15 03:26:34.792313,2025-01-15 03:28:18.694551,0 days 00:01:43.902238,6,0.1,64,0.35000000000000003,135,0.35000000000000003,60,1,0.0028367064070681154,2,1000,3,COMPLETE
19,0.3397788107395172,0.47352781891822815,2025-01-15 03:28:18.695313,2025-01-15 03:35:33.659528,0 days 00:07:14.964215,5,0.05,16,0.35000000000000003,174,0.5,81,0,0.004411232742455381,2,400,6,COMPLETE
20,0.2369959056377411,0.5157235264778137,2025-01-15 03:35:33.660657,2025-01-15 03:40:28.029494,0 days 00:04:54.368837,7,0.2,16,0.25,160,0.4,61,1,0.001326098029496346,1,800,5,COMPLETE
21,0.4284045696258545,0.4408093988895416,2025-01-15 03:40:28.030264,2025-01-15 03:46:24.120447,0 days 00:05:56.090183,5,0.1,16,0.35000000000000003,207,0.35000000000000003,74,0,0.0021053618830697714,2,1800,5,COMPLETE
22,0.43647608160972595,0.439536988735199,2025-01-15 03:46:24.121256,2025-01-15 03:50:26.375085,0 days 00:04:02.253829,4,0.05,16,0.25,205,0.35000000000000003,63,0,0.001764177026857666,2,1100,4,COMPLETE
23,0.4069312512874603,0.4446825087070465,2025-01-15 03:50:26.376062,2025-01-15 03:55:59.878654,0 days 00:05:33.502592,5,0.2,128,0.4,159,0.25,94,0,0.0007618078011519582,2,200,5,COMPLETE
24,0.13333557546138763,0.556408703327179,2025-01-15 03:55:59.879437,2025-01-15 04:01:23.606655,0 days 00:05:23.727218,6,0.0,64,0.30000000000000004,211,0.25,77,1,0.0013206043586914125,3,1700,6,COMPLETE
25,0.44183820486068726,0.43647947907447815,2025-01-15 04:01:23.607544,2025-01-15 04:06:04.634667,0 days 00:04:41.027123,5,0.15000000000000002,16,0.2,174,0.45,50,0,0.0005176181652108047,2,900,5,COMPLETE
26,0.4494868218898773,0.4305152893066406,2025-01-15 04:06:04.635491,2025-01-15 04:11:20.292703,0 days 00:05:15.657212,4,0.25,16,0.25,219,0.35000000000000003,87,0,0.0009445818700485773,2,1200,4,COMPLETE
27,0.3645377457141876,0.47066888213157654,2025-01-15 04:11:20.293486,2025-01-15 04:14:48.234105,0 days 00:03:27.940619,4,0.25,16,0.25,184,0.15000000000000002,87,0,0.0032077977842250353,1,1100,4,COMPLETE
28,0.3576137125492096,0.4635331630706787,2025-01-15 04:14:48.234847,2025-01-15 04:17:01.988181,0 days 00:02:13.753334,3,0.15000000000000002,64,0.4,151,0.0,41,0,0.0015779395665958494,3,600,3,COMPLETE
29,0.1419319361448288,0.5447080135345459,2025-01-15 04:17:01.988967,2025-01-15 04:21:06.736372,0 days 00:04:04.747405,2,0.30000000000000004,128,0.2,220,0.4,92,0,0.00037948578667466404,1,1300,7,COMPLETE
30,0.3370573818683624,0.477506548166275,2025-01-15 04:21:06.737208,2025-01-15 04:31:25.234827,0 days 00:10:18.497619,6,0.05,64,0.4,294,0.35000000000000003,100,0,0.0009718944799637752,2,1300,6,COMPLETE
31,0.45520272850990295,0.4278598725795746,2025-01-15 04:31:25.235662,2025-01-15 04:37:46.636372,0 days 00:06:21.400710,5,0.45,16,0.30000000000000004,198,0.30000000000000004,67,0,0.0008881366697896816,2,100,5,COMPLETE
32,0.35076507925987244,0.4760527014732361,2025-01-15 04:37:46.637188,2025-01-15 04:40:30.912438,0 days 00:02:44.275250,4,0.45,16,0.30000000000000004,175,0.45,79,0,0.0021674708761239437,2,300,4,COMPLETE
33,0.4652900695800781,0.4153844714164734,2025-01-15 04:40:30.913225,2025-01-15 04:46:32.817639,0 days 00:06:01.904414,5,0.0,16,0.35000000000000003,128,0.35000000000000003,65,0,0.0012096813738055074,2,800,6,COMPLETE
34,0.2746886610984802,0.4996257722377777,2025-01-15 04:46:32.818457,2025-01-15 04:51:34.631335,0 days 00:05:01.812878,5,0.0,32,0.5,132,0.2,66,1,0.0005043587686379559,3,800,7,COMPLETE
35,0.2737261652946472,0.5032142996788025,2025-01-15 04:51:34.632484,2025-01-15 04:55:28.001764,0 days 00:03:53.369280,3,0.35000000000000003,16,0.35000000000000003,146,0.4,57,1,0.0001873960864506321,2,1700,6,COMPLETE
