number,values_0,values_1,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.4666593682876428,0.42458146303026006,2024-12-11 10:03:53.371893,2024-12-11 10:04:16.090055,0 days 00:00:22.718162,0.5880093089741298,0.8659881878590105,0.07157742632423772,1,29,1354,0.17907547656602338,0.2719612209469444,0.7305570552802368,COMPLETE
1,0.3637104890950874,0.46756120475928203,2024-12-11 10:04:16.090759,2024-12-11 10:04:41.518954,0 days 00:00:25.428195,0.5835295247749781,0.6909927401024527,0.6645425770091931,29,12,1483,2.069050508598982,0.12381541497588679,0.9075613328587033,COMPLETE
2,0.39946556475890715,0.4609608881499911,2024-12-11 10:04:41.519581,2024-12-11 10:04:53.659309,0 days 00:00:12.139728,0.6100518716477233,2.267631780228539,0.3311600765156922,73,35,670,1.8907426432127894,2.476791486194312,0.9799792577138602,COMPLETE
3,0.44841628054674204,0.4255334184763628,2024-12-11 10:04:53.659913,2024-12-11 10:05:23.287937,0 days 00:00:29.628024,0.6910364075081805,0.6666657210368065,0.20596889782192584,11,9,1671,0.43892956627567464,2.899130782941036,0.7137334099307288,COMPLETE
4,0.25610455336784765,0.5606991902677796,2024-12-11 10:05:23.288599,2024-12-11 10:05:32.172063,0 days 00:00:08.883464,0.9672884944260858,2.029990126589155,0.9539028762291262,72,9,439,1.722146584387687,2.164193184879541,0.7586781273018954,COMPLETE
5,0.402783419642029,0.4519313835286637,2024-12-11 10:05:32.172723,2024-12-11 10:05:53.995185,0 days 00:00:21.822462,0.5742414744310966,1.9981783003712519,0.34256576798641947,72,20,1278,2.508907332257244,2.448203251910477,0.970807319285951,COMPLETE
6,0.37081375945351736,0.4624321997891797,2024-12-11 10:05:53.995807,2024-12-11 10:06:12.335683,0 days 00:00:18.339876,0.5100961347743322,1.9049019651798569,0.4060634173464221,48,24,1079,1.2111938858990203,2.988789600453456,0.8944570661783298,COMPLETE
7,0.3694193427535133,0.47513193832257183,2024-12-11 10:06:12.336404,2024-12-11 10:06:34.135511,0 days 00:00:21.799107,0.7583279850586603,2.5019632044826743,0.3823035063380741,56,15,1240,1.1409378261052063,2.1988485477929944,0.5207799058168001,COMPLETE
8,0.1978147626628956,0.6421308256736675,2024-12-11 10:06:34.136183,2024-12-11 10:07:00.627665,0 days 00:00:26.491482,0.7852631191021768,0.15707054353939665,0.9010614260312695,10,6,1429,0.9522659092963295,0.03247737189221006,0.597663311566924,COMPLETE
9,0.37625574846956067,0.4687037385022622,2024-12-11 10:07:00.628336,2024-12-11 10:07:15.929507,0 days 00:00:15.301171,0.8946631789954844,2.1920885428470127,0.5263136925607517,9,15,837,2.6265929176715357,2.9310648820263805,0.7702723961230411,COMPLETE
10,0.42948324897185053,0.4453987973294402,2024-12-11 10:07:15.930229,2024-12-11 10:07:50.630478,0 days 00:00:34.700249,0.6733054046461195,2.8859959617751416,0.051973641535046466,27,48,1992,0.04574013499758184,1.1246234042403032,0.6088362447520862,COMPLETE
11,0.4639504499861095,0.42569011157789605,2024-12-11 10:07:50.631117,2024-12-11 10:08:24.557560,0 days 00:00:33.926443,0.6713980758019074,1.1357734638243282,0.03526461145398946,2,34,1865,0.027569694542792123,0.7450959879229406,0.6873848306289125,COMPLETE
12,0.4001659029972089,0.46935939393779097,2024-12-11 10:08:24.558259,2024-12-11 10:08:27.990395,0 days 00:00:03.432136,0.5161024335372498,1.2420514664883973,0.04969652432689241,1,34,144,0.595490805559182,0.6474743556041562,0.8102368348356772,COMPLETE
13,0.4324936239996006,0.4364860069955247,2024-12-11 10:08:27.990986,2024-12-11 10:08:58.199659,0 days 00:00:30.208673,0.6611767849856212,1.3505965487108385,0.16654564003062697,22,31,1745,0.032959513029570314,0.6732836343946953,0.6951910771485585,COMPLETE
14,0.43548882723644244,0.447575361115269,2024-12-11 10:08:58.200336,2024-12-11 10:09:39.728128,0 days 00:00:41.527792,0.7997721584639155,1.0129585090169548,0.003877594927841399,5,44,922,1.4247876313484116,1.6104530287986603,0.833658380265393,COMPLETE
15,0.42470306774154,0.4452567008914989,2024-12-11 10:09:39.728836,2024-12-11 10:10:13.435597,0 days 00:00:33.706761,0.6234383842551438,1.676240830501576,0.1483218300020973,18,38,1976,0.7732567193194319,0.4204961344440227,0.6612713248677682,COMPLETE
16,0.3860994769873371,0.4673803575131081,2024-12-11 10:10:13.436335,2024-12-11 10:10:26.158179,0 days 00:00:12.721844,0.6938122857218849,0.07075673629445078,0.5597428145867436,38,29,635,2.9856390289743655,0.9697967808008523,0.8088153425973021,COMPLETE
17,0.43598153432857495,0.44069322674280664,2024-12-11 10:10:26.158834,2024-12-11 10:10:44.620849,0 days 00:00:18.462015,0.5523502918217948,1.5781498437743522,0.25568178782911916,1,24,1096,0.40826740846322096,0.3256073011773797,0.7092260965157802,COMPLETE
18,0.43397879111247145,0.44088105782383824,2024-12-11 10:10:44.621498,2024-12-11 10:11:14.510840,0 days 00:00:29.889342,0.5001451769743475,0.9110704702551682,0.11074490748040042,15,2,1673,1.443074476852693,1.2764996090700378,0.5002868086981049,COMPLETE
19,0.4228004939477879,0.44454265795626197,2024-12-11 10:11:14.511504,2024-12-11 10:11:40.134014,0 days 00:00:25.622510,0.635089214160322,0.3680530217523886,0.27244830979709067,59,41,1422,0.7878172765876381,0.6877068879410064,0.6398040597897302,COMPLETE
20,0.4604506131885319,0.43654080650285626,2024-12-11 10:11:40.134685,2024-12-11 10:11:43.918205,0 days 00:00:03.783520,0.7251869191202522,1.2187051521515009,0.09783533911925396,35,21,62,0.24874619028837347,0.2921822493289258,0.7402886493013153,COMPLETE
21,0.4187522337481533,0.4409159522429299,2024-12-11 10:11:43.918879,2024-12-11 10:12:11.005090,0 days 00:00:27.086211,0.5554986636975542,0.7687471981692728,0.24371913621570068,12,29,1563,0.4152211670988897,0.047633250356816564,0.7148243244748929,COMPLETE
22,0.4352660989940119,0.43319973881557194,2024-12-11 10:12:11.005800,2024-12-11 10:12:34.988695,0 days 00:00:23.982895,0.6261159317625287,0.42597805010574447,0.15089291859169957,8,19,1278,0.3108280764136413,1.5280840601209351,0.6718349274822966,COMPLETE
23,0.4384612915706976,0.4324697134085705,2024-12-11 10:12:34.989364,2024-12-11 10:13:04.668783,0 days 00:00:29.679419,0.5865124869845104,0.6375436766711258,0.1985038754348789,18,50,1676,0.5911470090154943,0.48868812171260634,0.75168011874255,COMPLETE
24,0.3772578499818986,0.4873250104284696,2024-12-11 10:13:04.669442,2024-12-11 10:13:11.968128,0 days 00:00:07.298686,0.7230301562125858,1.0710225900956085,0.011338370799189694,1,26,379,0.02867404225001277,0.8103378378918523,0.571079968983099,COMPLETE
25,0.4436466765902046,0.42981855871621377,2024-12-11 10:13:11.968781,2024-12-11 10:13:34.341848,0 days 00:00:22.373067,0.6614429743583239,0.8486902184155933,0.11327642346071677,47,34,1172,0.6014032861703769,0.27480655622527983,0.6435525129320055,COMPLETE
26,0.44289433383913457,0.43729751001926215,2024-12-11 10:13:34.342605,2024-12-11 10:14:05.343057,0 days 00:00:31.000452,0.5369637683298653,1.4084494073724447,0.21157844523227717,23,42,1835,0.2279006637993931,0.5172020685689853,0.6839512165431282,COMPLETE
27,0.3200495314562161,0.5401386727293979,2024-12-11 10:14:05.343727,2024-12-11 10:14:22.104391,0 days 00:00:16.760664,0.6023804219298186,0.5226157569780061,0.7852789554244513,6,38,930,1.0017601505378302,0.797367566555157,0.7306307771058926,COMPLETE
28,0.4557988736624276,0.4321651271859534,2024-12-11 10:14:22.105047,2024-12-11 10:14:47.311888,0 days 00:00:25.206841,0.5476817806701613,1.0253311344869667,0.07469794971590465,14,28,1364,0.441113301236006,0.25367315837854476,0.7920272190642237,COMPLETE
29,0.3396006839735853,0.4864849753036487,2024-12-11 10:14:47.312584,2024-12-11 10:15:01.389329,0 days 00:00:14.076745,0.5957864761511338,0.6753991958733475,0.6360611494101959,34,16,770,1.7432277918998422,0.028296840069110624,0.8591614860881609,COMPLETE
30,0.38348356665236205,0.46228429262353526,2024-12-11 10:15:01.389985,2024-12-11 10:15:28.394278,0 days 00:00:27.004293,0.5749677720171813,0.2620336241458623,0.4542510894327554,5,32,1562,2.27764137687393,0.224045904771631,0.7735587112398596,COMPLETE
31,0.32432604277006216,0.4924956443362477,2024-12-11 10:15:28.395022,2024-12-11 10:15:52.785991,0 days 00:00:24.390969,0.5523617295484731,0.0103812690818752,0.6822831105339751,14,26,1343,0.222502387579121,0.18846021520280054,0.9315518803218121,COMPLETE
32,0.41475720403735555,0.44266059098161614,2024-12-11 10:15:52.786638,2024-12-11 10:16:19.675168,0 days 00:00:26.888530,0.8266363114804601,1.0264069639558948,0.3130778990194647,65,38,1512,1.8979742515324463,0.49488338533076615,0.796446675302906,COMPLETE
33,0.4598503562956833,0.4285922319310863,2024-12-11 10:16:19.675899,2024-12-11 10:16:41.532196,0 days 00:00:21.856297,0.9875782686341716,0.6470054341022589,0.07196071663119609,5,28,1027,2.056855984596984,1.8124023337919675,0.7168417053735565,COMPLETE
34,0.4349045328982992,0.4411392427536919,2024-12-11 10:16:41.532896,2024-12-11 10:16:52.889118,0 days 00:00:11.356222,0.9914712562021519,0.48505998389628957,0.1975662406582222,5,22,547,2.1693118720346574,1.70053669477009,0.9852284972545091,COMPLETE
35,0.41343379481057446,0.44705341283400213,2024-12-11 10:16:52.889783,2024-12-11 10:17:13.956242,0 days 00:00:21.066459,0.9311637370407779,0.7538865682791571,0.3071382364996684,44,12,1128,1.5622361574116896,1.838334311333757,0.721045727278029,COMPLETE
36,0.39984423644071476,0.45309848547169607,2024-12-11 10:17:13.956907,2024-12-11 10:17:31.274674,0 days 00:00:17.317767,0.6300947032008228,1.5253204158936042,0.3889674524245583,75,31,973,1.1781861479804956,1.2348921026451452,0.855515768138923,COMPLETE
37,0.3998639826013043,0.44638330717813357,2024-12-11 10:17:31.275342,2024-12-11 10:17:40.748730,0 days 00:00:09.473388,0.8677371767385537,0.27115046059007986,0.35994870352972186,54,1,392,0.13398332788415013,0.988100682535235,0.95210606972737,COMPLETE
38,0.2671491503411737,0.5257018173227779,2024-12-11 10:17:40.749397,2024-12-11 10:18:01.546671,0 days 00:00:20.797274,0.5989314484577679,1.822619218820174,0.9086420922850813,68,8,1211,1.9627487897262865,1.9497072476119393,0.8986918501165558,COMPLETE
39,0.43012665390316507,0.45316520415456285,2024-12-11 10:18:01.547395,2024-12-11 10:18:09.676861,0 days 00:00:08.129466,0.9389702289259898,2.5287641147154534,0.036299606628877934,29,19,264,1.3326093390777973,0.13949125732683476,0.7578904025245193,COMPLETE
40,0.2712408413562573,0.5316747704402578,2024-12-11 10:18:09.677522,2024-12-11 10:18:27.571943,0 days 00:00:17.894421,0.5742436849030944,0.5814210829966784,0.99809969330739,10,23,1030,1.7269444161465848,2.5399235856707585,0.999396919639115,COMPLETE
